ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
601,"Está presentando muchas fallas. Convierte automáticamente el teclado de números a teclado de letras. Y genera pérdida de tiempo y errores para ingresar los números de yape.",not_applicable,"Bug de teclado que genera errores de digitación"
602,"Ojalá puedan arreglar esas caídas qué tiene, aveces hace pasar mal momento",not_applicable,"Caídas que causan situaciones embarazosas"
603,"Que horrible está la verificación de Yape cuando se cambia a otro celular me lleva mucho tiempo que la maldita app verifique mi rostro y que cada 15 segundos tenga que estar haciendo el mismo procedimiento, que tedioso, arreglen eso.",authenticity,"Verificación facial tediosa cada 15 segundos al cambiar dispositivo"
604,"me gustaría que esta aplicacion tenga algun método de reversar una transacción, que cada transacción tenga una doble autorización, decir si yapeas por error 500 soles y querias yapear 5.00 despues de enviar que haya como una autorización. para que se haga efectivo el monto yapeado asi como lo hace mercado libre.",non_repudiation,"Solicitud de reversión y doble autorización para transacciones"
605,"Es mentira que se pueda yapear al exterior, ya que los que están fuera del país no pueden crear una cuenta en la aplicación. Al menos desde Italia no se puede, no me acepta el número celular y no aparece la opción del DNI.",not_applicable,"Imposibilidad de crear cuenta desde el exterior"
606,"Buenas tardes, he instalado la aplicacion 3 veces en mi dispositivo, y las 3 veces me sale lo mismo cuando intento ingresar ""Ups, ocurrio un error, intente más tarde"".",not_applicable,"Error Ups persistente tras 3 instalaciones"
607,"Es incomodo que hay que actualizar cada mes, y lo otro que, uno necesita realizar las operaciones de forma rápida, y si ponen su publicidad hacen perder tiempo valioso para el usuario.",not_applicable,"Actualizaciones mensuales y publicidad retardan operaciones"
608,"No puedo ingresar a la tienda, llevo un mes sin poder, me contacté con soporte y nada de solución, me dijeron que esperara a otra actualización, ya lo actualicé y el problema persiste solución por favor",not_applicable,"Un mes sin acceso a tienda pese a soporte y actualizaciones"
609,"Gran aplicación, he probado en mas de dos moviles . El app de yape solo muestra hasta 25 notificaciones. reiniciando el celular o borrando manualmente una notificacion recien aparece una nueva. Que explicación dan?",not_applicable,"Límite de 25 notificaciones requiere reinicio para nuevas"
610,"Esta última actualización me impide hacer yapes con tranquilidad,a cada momento me sale error de app y tengo que estar pausando. Donde pueden solucionar este problema, porque en el WhatsApp no hay información",not_applicable,"Errores constantes tras última actualización"
611,"No me deja iniciar sesión en mi nuevo celular 😔 ya lo intenté varias veces hasta lo volví a instalar y desinstalar, como debo de hacer en ese caso.",authenticity,"Imposibilidad de iniciar sesión en nuevo dispositivo"
612,"todo bien pero aveces cuando quiero entrar , ingreso el yape entra y automáticamente vuelve ala pantalla principal",not_applicable,"App se cierra automáticamente tras ingresar"
613,"sale error cierre la app y vuelva ingresar y todo los días pasa eso lo borre y lo volví instalar y nada",not_applicable,"Error diario persistente pese a reinstalación"
614,"el servicio se cae desde media noche hasta las 3 am, tanto Yape como la app de BCP.",not_applicable,"Caídas sistemáticas nocturnas YAPE y BCP 12AM-3AM"
