ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
501,"HORRIBLE!! SE CAE EN EL PEOR MOMENTO, DONDE QUEDA SU AREA DE SOPORTE PARA QUE REALICEN UN MANTENIMIENTO Y/O ACTUALIZACIÓN¿?. EXACTO! NO LO TIENEN Y SII LO TIENEN NO SIRVEN. SI EN CASO SUCEDE LO DE AHORA (NO FUNCIONA), PARA ESE TIPO DE ACTUALIZACIONES NO ENVÍAN NINGUN TIPO DE SMS, SE LES CAE Y YA! VUELVO Y REPITO. PÉSIMO SERVICIO.",not_applicable,"Crítica severa sobre falta de soporte y comunicación"
502,"sería mas bacán si hubiera una opción por reembolso por qué en el momento que alguien se equivoque en yapear a alguien más se pueda hacer el reembolso con pasar información con captura del yape o allá alguna manera de hacer un reembolso por qué a mayoría de usuarios les pasa está situaciónes y por lo que veo no hay solución y no se ve una solución exacta a estos temas así que quisiera que se haga algo con esto por favor",non_repudiation,"Solicitud de mecanismo de reembolso para errores de envío"
503,"Desde la última actualización esta muy lenta la app, después de hacer un yape se demora para poder hacer otro yape, en vez de mejorar a caído, espero vuelva hacer como antes",not_applicable,"Lentitud tras última actualización"
504,"desde hace un tiempo, está cobrando su comisión exagerada...ayer me depositaron 70soles y realicé 3 movimientos y veo que me falta 8.9 soles...no sé porque tanta comisión, y lo peor es que no sale en los movimientos el depósito que me realizaron o me están descontando de otra situación...",integrity,"Comisiones ocultas de 8.9 soles sin transparencia en movimientos"
505,"Si para mí que no puedo escanear mi DNI en la aplicación me hace tedioso porque no carga, peor será para los adultos mayores. se cuelga la app varias veces! A pesar que tengo un teléfono de gama alta.",authenticity,"Falla en escaneo de DNI incluso en dispositivos high-end"
506,"Son estafadores y delincuentes, no me devolvieron el dinero que se desapareció de mi cuenta BCP y lo peor mienten y dicen que si lo van a devolver y hasta plazo de 48 horas dijeron y nada , han pasado 36 horas avilés y hasta ahora no han devuelto nada , hago esta denuncia pública , para que no caigan en esta aplicación de delincuentes y estafadores",integrity,"Dinero desaparecido de cuenta BCP sin devolución pese a promesas - denuncia pública"
507,"muy mal , a cada rato me sale UPS, hubo error vuelve a intentar , estresa porque soy repartidor y doy vuelto y yapeo a mi empresa con esta app , pero así con esos errores no se puede",not_applicable,"Errores constantes afectan trabajo de repartidor"
508,"Tiene muchos errores llevo intentando desde hace 3 días crear una cuenta y solo me envía no pudimos validar tu identidad y lleva así todos los días y no me sale una solución real",authenticity,"3 días sin poder validar identidad para crear cuenta"
509,"deseo utilizar el Yaoe por una emergencia y me sale que se encuentra en mantenimiento Y varias veces realiza la misma acción deberían de programar sus actualizaciones en horas de madrugada donde muchas veces no es tan urgente el utilizar la aplicación",not_applicable,"Mantenimientos no programados en emergencias"
510,"Cada vez que quiero usar la App se demora en cargar. Tengo conexión a Internet y todo. Pero últimamente esta teniendo muchas fallas",not_applicable,"Lentitud creciente pese a buena conexión"
