ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
1201,"Entre en la app y me aparecip que faltaba actualizar y me puse a actulizarlo cosa que áparece error, eh eliminando algunas aplicaciones pensando que era por falta de espacio en el telefono, pero no funciona, luego de la misma forma reinicie el celular y tampoco funciona. Mi cuenta esta solo con el dni que puedo hacer en ese caso .",not_applicable,"Actualización error pese eliminar apps + cuenta DNI solo"
1202,"Quiero descargar la app pero me sale."" Por motivos de seguridad yape no puede ser utilizado en dispositivos que hayan obtenido privilegios de administrador"" y estoy leyendo muchos reclamos de personas que ya lo descargaron y les esta fallando.. y nadie va a dar una respuesta??? En verdad son unos irresponsables. Que molesto todo esto..solucionen el problema o sino eliminen ese aplicativo..🤬🤬🤬",confidentiality,"Dispositivos administrador bloqueados + reclamos masivos sin respuesta"
1203,"Es muy útil,pero sugeriría 2 cosas,1. q debería funcionar está app sin megas ya q si no contamos con megas se nos hace un via Crucis,y lo otro q por favor no pidan actualizaciones a cada rato o en su defecto q la actualización q nos piden sea a nuestra descicion y no obligarnos ya q a veces estamos con el tiempo ajustado y queremos yapear rapido y en eso nos pide actualizar .Gracias",not_applicable,"Sugerencia: funcionar sin datos + actualizaciones opcionales"
1204,"Yape es incompatible en dispositivos con android 7.0, sale ""dispositivo incompatible"". Ya se hizo liberar caché e reinstalar de nuevo. Parece que la ultima actualización no permite usar la aplicación en esta versión. Con la obligación de cambio de dispositivo móvil.",not_applicable,"Android 7.0 incompatible - obliga cambio dispositivo"
1205,"Deben solucionar de una vez, el problema con la actualización que no sirve, afecta a muchas personas q utilizan esta aplicación y el dinero se queda estancado justo cuando uno más lo necesita!!! Soluciones pronto x favor... No se puede quedar el dinero ahí estancado!!!",accountability,"Actualización no sirve + dinero estancado cuando más necesita"
1206,"Desde hace unos días no he podido ingresar a mi Yape. A la hora de ingresar a la aplicación, se queda en la pantalla principal morada con el logo. Ante esa problemática, he tenido que desinstalarlo para volverlo a instalar, pero en ese proceso de re instalación, solo llega al 60% y no descarga por completo. Creí que era mi teléfono, pero otros amigos reportan el mismo problema haciendo el mismo procedimiento. Quiero una solución ya que tengo dinero en mi cuenta que es independiente a una bcp.",accountability,"Pantalla morada + 60% instalación + amigos mismo problema + dinero independiente BCP"
1207,"Antes estaba bien, pero desde hace 2 meses cada vez que abro la aplicación el tablero numérico para poner la clave me sale en blanco y es imposible ingresar a mi cuenta hay que cerrar y abrir la aplicación muchas veces y no es problema de mi celular que es un Samsung galaxy note 10... arreglen ese bug de una vez.",authenticity,"2 meses tablero numérico blanco Galaxy Note 10"
1208,"Últimamente ha estado demorando demasiado para poder ingresar al yape. Además el teclado debería ser aleatorio como antes. Así como el mismo sonido o notificación de antes, ahora ya ni me avisan cuando alguien me yapea, tengo q entrar al app para poder verificar y eso es algo tedioso. Eso debería arreglarlo",authenticity,"Teclado no aleatorio + sin notificaciones yapeos recibidos"
1209,"Mi ex preferencia con esta aplicación es mala. En primer lugar llevo demasiadas horas intentado registrarme y no acepta me dice que ocurrió un error y que vuelva a intentarlo luego de unos minutos o cambiar a otro tipo de registro. Además el tiempo que proporciona para tomarte una foto y una a tu dni, es demasiado corto.",authenticity,"Horas registrándose error + tiempo foto DNI muy corto"
1210,"Desde que se colgó el sistema de yape hace tres días el 30 de Julio no puedo abrir el aplicativo, hice todo lo que pidieron reiniciar mi equipo, dedinstalar yape volver a instalar y volver a reiniciar llamé a Yape por WhatsApp me pidieron captura de pantalla, y todo pero no logro abrir, no es mi equipo porque todas las app instaladas funcionan perfectamente.",not_applicable,"30 julio: 3 días sin abrir pese seguir instrucciones WhatsApp"
