ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
701,"De vez en cuando la app se queda. No se puede ver saldo, ni hacer transacciones...",not_applicable,"Bloqueo intermitente impide operaciones"
702,"siempre se cae, no se porque ahora te pide ubicación??? y tiene una contraseña solo de números, super básico para hackeos",confidentiality,"Solicitud de ubicación innecesaria + contraseña numérica vulnerable"
703,"Antes sabía quién me hacía pagos con solo escuchar el sonido, después dejo de funcionar, y solo lo veía con la notificación de yape, ahora ni eso me sale ahora, tengo q ingresar y es una perdida de tiempo estar en ese proceso ya q ni la notificación aparece, estoy demasiado descontenta con cada actualización.",not_applicable,"Deterioro progresivo: sonido→notificación→nada"
704,"Excelente aplicación para recibir y enviar dinero de la manera más segura rápido y fácil Es muy útil y necesario de ahorrar tiempo y dinero",not_applicable,"Comentario positivo"
705,"Es realmente molesto que alguien diga. OCURRIÓ UN INCONVENIENTE, INTÉNTALO EN UNOD MINUTOS, #yape tiene que ser, és cada vez más decepcionante que en cada actualización, supuestamente para ""mejoras"", resulte siendo molesto y con pérdida de tiempo para algunos usuarios. No se si es solo a mi, pero esta fallando con más frecuencia. Revisen. Por favor. Gracias",not_applicable,"Fallas crecientes con cada actualización"
706,"Me parece un fastidio gigante que a las 6 am no haya yape si tengo mi dinero ahí es porque confío pero la verdad que molesto no poder yapear mi pasaje",not_applicable,"No funciona 6 AM - afecta transporte"
707,"buenas porke ya no sale el sonido yape cuando me yapean me dan una solución porfavor",not_applicable,"Pérdida de sonido característico"
708,"muy sencillo de manejar pero a la vez muy contradictorio y abusivo al momento del interés en préstamos",not_applicable,"Crítica a intereses abusivos en préstamos"
709,"últimamente se para actualizando o estando en mantenimiento, me disgusto que hagan eso a cada rato",not_applicable,"Mantenimientos y actualizaciones frecuentes"
710,"La última actualización se puso como Interbank Plim ahora no puedo escribir el número de teléfono por qué salen letras no pueden arreglar un bug que les hace perder clientes",not_applicable,"Bug crítico: números se convierten en letras"
711,"Todo muy bien con la actualizacion . Quisiera saber porque en mi dispositivo se elimino el BCP y no me aparece para instalar.",not_applicable,"App BCP desaparecida tras actualización YAPE"
712,"intento ingresar ye dice que cierre la aplicación y vuelva a ingresar y no puedo ingresar",not_applicable,"Ciclo infinito de cierre sin acceso"
713,"Hay un gran problema al tratar de crear una cuenta, ya sea con RUC, con pasaporte o CE, simplemente te saca del aplicativo y no te deja hacer el registro, pero cuando intentas con DNI allí si te deja, converse con atención al cliente y simplemente no me dieron solución, y es lamentable ya que yo como usuario requiero tener este aplicativo para pagar y recibir pagos de mis clientes, mal, muy mal de verdad!!!!!",authenticity,"Solo acepta DNI - rechaza RUC, pasaporte, CE"
714,"buenos días cuando activan la opción para cambiar dólares. dice bajo pero no está activo",not_applicable,"Función cambio de dólares inactiva"
