ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
401,"recomendada",not_applicable,"Comentario positivo"
402,"muy malo",not_applicable,"Opinión general negativa"
403,"la descarga se queda en 86% pésimo servicio",not_applicable,"Problema de descarga"
404,"es muy necese rio y bueno",not_applicable,"Comentario positivo"
405,"No responde yape mejoren su servicio",not_applicable,"Problema de funcionamiento"
406,"excelente",not_applicable,"Comentario positivo"
407,"quiero actualizar pero me sale que el aplicativo no es compatible con mi equipo mi preocupación es si seguiré recibiendo los yapeas o no se podra.",not_applicable,"Preocupación por incompatibilidad tras actualización"
408,"exelente app ayuda y facilita en todo los pagos, monedero virtual y exacto.",not_applicable,"Comentario positivo"
409,"ahora quiero actualizar y no me deja con mi celular",not_applicable,"Problema de actualización"
410,"disculpen necesito urgente hacer un pago y no lo puedo realizar agradecería me permitan hacerlo y después veré lo de la actualización se debe respetar la opinión del cliente y no interrumpir el servicio abruptamente",not_applicable,"Bloqueo de servicio por actualización forzada"
411,"BASURA",not_applicable,"Opinión general muy negativa"
412,"Todo muy bien con la aplicación pero muchas veces se traba y no deja yapear hace quedar como ratero a uno.",not_applicable,"Fallas que causan imagen negativa del usuario"
413,"PÉSIMA!!! YAPE ME HIZO COBROS DE PROMOCIONES "" QUE YO NO ELEGÍ, NÍ COMPRÉ,ESTA FUÉ HACE 6 DÍAS Y ME DIJERON QUE ME. RESPONDERÍAN EN 48 HORAS Y NO ME HAN LLAMADO,NI REEMBOLSADO "" PÉSIMO!!! YO DESCUBRÍ ESTE YAPE QUE ME COBRARON, PORQUE RECIBÍ UN MENSAJE"" FELICITÁNDOME POR LA COMPRA EXITOSA DE LA PROMOCIÓN "" DE LO CONTRARIO NO ME HUBIERA ENTERADO !!! TODAVÍA QUIERO LA DEVOLUCIÓN DE ESA PROMOCIÓN ,QUE YO NO ELEGÍ COMPRAR !!!",integrity,"Cobros de promociones no autorizadas descubiertas por mensaje de felicitación"
414,"no puedo actualizar la aplicación",not_applicable,"Problema de actualización"
415,"cambie de chip y espero que mi yape siga a como del lugar con las cantidades de dinero",not_applicable,"Preocupación por cambio de chip"
416,"No carga rápido cuando quieres actualizar): ( .",not_applicable,"Lentitud en actualización"
417,"pésimo",not_applicable,"Opinión general negativa"
418,"bueno y confiable? yape es una app de calidad",not_applicable,"Comentario positivo"
419,"te manda actualizar cada cierto tiempo",not_applicable,"Molestia por actualizaciones frecuentes"
420,"no puedo abrirlo",not_applicable,"Problema de apertura"
421,"muy lento",not_applicable,"Problema de rendimiento"
422,"Bueno",not_applicable,"Comentario positivo"
423,"No puedo entrar a la opción de PROMOCIONES se queda en blanco. No pasa lo mismo cuando ingreso a PAGOS.",not_applicable,"Falla específica en sección promociones"
424,"no puedo actualizar mi yape ayuda",not_applicable,"Problema de actualización"
425,"Excelente aplicación",not_applicable,"Comentario positivo"
426,"hacen perder el tiempo",not_applicable,"Crítica por pérdida de tiempo"
427,"Una basura en cuanto a actualizaciones, Nisiquiera podría criticar lo nuevo que trae la actualización porque el problema es que simplemente no se puede actualizar",not_applicable,"Imposibilidad de actualizar"
428,"por casualidad yapie a otra persona y no pude recuperarlo, a pesar de ser un Gran Banco, Permiten eso... muestran el desinterés por el Cliente que confía en Ustedes",non_repudiation,"Imposibilidad de recuperar pago erróneo pese a ser banco grande"
429,"es un ahorro y nos sirve como un prestamo",not_applicable,"Comentario positivo"
430,"Buena",not_applicable,"Comentario positivo"
431,"me.pide mas espacio, que no tengo",not_applicable,"Problema de espacio"
432,"es incómodo que a cada rato esten haciendo actualizaciones y peor aún que a cada rato hay demasiados anuncios inecesarios",not_applicable,"Molestia por actualizaciones y publicidad"
433,"se ma malogró y mi plata está ahí",integrity,"App dañada con dinero atrapado"
434,"está última actualización hace que se demore demasiado en ingresar, ya no puedo ni yapear ya que es demasiado lo que demora 😠",not_applicable,"Lentitud extrema tras última actualización"
435,"trabaja bien",not_applicable,"Comentario positivo"
436,"Muy bueno y todo, pero ahora me están quitando plata... Me han quitado 10 soles ahora último, y otros 30 soles que me quitaron no hace mucho tmb que antes me quitaba 5 soles y ahora quitan gran cantidad... Un amigo tmb le pasa eso y me molesta mucho que estés quitando y quisiera saber el por qué. Ahora me da miedo tener plata en yape porque capaz me quita de nuevo y me dan ganas de desinstalarlo. Por favor, háganos saber por qué y qué tenemos que hacer.",integrity,"Robo sistemático escalado: 5→30→10 soles - patrón confirmado con otros usuarios"
437,"Pésimo en un apoyo y no saben dar solución, son unos incompetente, voy a denunciar negligencia en un apoyo.",not_applicable,"Crítica al soporte técnico"
438,"Cada vez más lento y para terminar aveces no abre",not_applicable,"Deterioro progresivo de rendimiento"
439,"cada vez más lenta deben lanzar una versión lite y optimizar la app",not_applicable,"Sugerencia de optimización"
440,"da muchas facilidades y eso es bueno",not_applicable,"Comentario positivo"
441,"A cada rato pide la ubicación, antes no pedía",confidentiality,"Solicitud repetitiva de ubicación como nuevo comportamiento"
442,"está un poco lento la señal ,pero lo pueden mejorar.",not_applicable,"Problema de conectividad"
443,"La app es bastante buena pero ultimamente se demora en cargar para realizar pagos, otra cosa que me ha incomodado muchísimo es que ya no me permite pedir mi crédito yape pese a que siempre lo pago a tiempo o antes de la fecha de vencimiento pero desde la última actualización ya no me da esa opción y me sale que no hay ninguna campaña de préstamo, inconveniente que jamás tuve antes. Espero que al menos puedan arreglar ese problema del crédito yape ya que tengo un buen historial de pagos.",accountability,"Pérdida de acceso a créditos pese a historial perfecto tras actualización"
