ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
801,"Desde hace mucho no puedo acceder a la opción de Promos, me sale activa tu ubicación, al darle continuar, solo se queda cargando...",not_applicable,"Bloqueo permanente de promociones por ubicación"
802,"Cada vez peor, se cuelga con muchos contactos Sigue sin funcionar bien, las correcciones no son las adecuadas.",not_applicable,"Deterioro progresivo sin correcciones efectivas"
803,"a cada rato actualización???? ya he actualizado varias veces y vuelven con lo mismo que pesados son.....😡😡",not_applicable,"Actualizaciones excesivas repetitivas"
804,"estuve pagando puntual todos mis créditos y nunca me eh atrasado en ninguno de los pagos y de la nada me lo quitaron :/",accountability,"Retiro arbitrario de crédito pese a pagos puntuales"
805,"está siendo muy lento para abrir la aplicación",not_applicable,"Lentitud extrema al abrir"
806,"pésimo, es lento para escribir, se traba el teclado nose que paso en ves de ser eficiente se pone cada día Peor, cambiare de yape a plin..",not_applicable,"Teclado trabado - migración a Plin"
807,"una app muy útil no lo vamos a negar, demasiado pesada hace esperar para hacer una gestión y no carga promociones.",not_applicable,"App pesada no carga promociones"
808,"No me deja actualizar la app, siempre me obliga a desinstalar y nuevamente tengo que colocar mis datos y es incómodo hacerlo cada vez tengo que pagar. Y otra cosa: no veo la necesidad de que se tenga actualizar cada mes, es realmente incómodo, sin solucionan eso dejaré solo una estrella, y en el peor de los casos cambiarme a plin u otra app.",not_applicable,"Fuerza desinstalar mensual - migración a Plin"
809,"Yo siempre he utilizado Yape, es más, hablo bien del aplicativo con todos mis contactos destacando su rapidez y eficacia, pero con la nueva actualización, no he podido volver a entrar, no me aparecen los números para la contraseña de acceso. Quito el internet y lo vuelvo a poner, y ni así, se queda cargando.",authenticity,"Números de contraseña no aparecen tras actualización"
810,"Pesima actualización, llevo 3 dias tratando de actualizar la app y no se puede realizar, teniendo espacion libre en mi tarjeta de memoria. Más de las veces la mayoria de usuarios tenemos problemas con las actualizaciones y en cada actualización hacen descuentos, los que llevamos contabilidad de nuestros ingresos, nos hemos dado cuenta y más aun que presentamos reclaro alguno por la mensajería de Facebook de yape y no hacen nada. Que tal robo la de YAPE. 😡😡😡",integrity,"3 días sin poder actualizar + descuentos en cada actualización = ROBO"
811,"No me parece que cada corto tiempo me pidan estar actualizando, si a las finales siempre observo las mismas funcionalidades y no hay nada novedoso, esa situacion(actualización) me pone de mal humor, bueno fuera que perdiera unos minutos por actualizarla, sino que me pide que elimine algunas App para crear espacio en el dispositivo y poder actualizar dicha App(Yape) y eso si que me pone mal humorado.",not_applicable,"Actualizaciones frecuentes sin mejoras + eliminar apps"
812,"se requiere actualizar varias veces el cual incomoda por qué aveces quiero yapear rápido pero tengo que esperar hasta que se vuelva a actualizar...",not_applicable,"Actualizaciones múltiples bloquean yapeos rápidos"
813,"Todo bien con la app. Pero hoy (23-1-23) me salio q hay una actualización y no puedo usar la app si no actualizo. Pero cuando entro aqui para actualizar no aparece el boton para actualizar la app. Solo aparece ""instalar en otros dispositivos"" y yo no tengo otros dispositivos para eso. Sin eso no me deja usarlo. Basicamente es ""si no instalas en otro dispositivo, no usaras la app"". Muy mal",not_applicable,"Fuerza instalar en otros dispositivos inexistentes"
814,"Casi siempre tiene fallas, voy a pagar y me dice que no tengo saldo o que no he activado las compras por internet aunque cumpla con estos requisitos. Y por cierto, ya me comuniqué con BCP por su canal de WhatsApp y no me ayudaron, me dijeron que cierre y vuelva a abrir cuando esto pasa. Simplemente la app no funciona correctamente y no solo me pasa a mí, varios de mis amigos tienen este problema ocasionalmente",not_applicable,"Fallas constantes saldo/compras + BCP no ayuda"
815,"Pero qué está pasando, llevo más de una hora esperando a que se actualice y nada, gira y gira la carga... ni con datos propios, ni conectado a una red WiFi, que terrible -.- . La aplicación en sí es muy buena, pero este tipo de cosas que suceden de vez en cuando, hacen aburrir, porque no debería ser así, se supone que uno escoge esto para una rápida acción de pagos o beneficios recibidos, espero que puedan solucionarlo lo más pronto posible, aunque no quisiera pensar que es solo con mi Yape. Ty",not_applicable,"Más de 1 hora esperando actualización"
816,"Es buena opción pero desde el dos de junio no se puede abrir,me sale error que debo de hacer?",not_applicable,"Sin acceso desde 2 de junio"
817,"pueden retirar el molestoso mensaje solicitud de presicion de ubicacion, es muy molestoso.",not_applicable,"Solicitud ubicación molestosa persistente"
818,"Tengo una Custom ROM, porque mi celular es viejito y quería darle una nueva vida, y ya por eso el Yape deja de funcionar, que tontería.",not_applicable,"Discriminación contra Custom ROM"
819,"basura de app se me para bloqueando en mi propio teléfono a pesar de que no entro y cuando lo necesito lo encuentro bloqueado total basura.",accountability,"Auto-bloqueo sin uso previo"
820,"La aplicación últimamente está teniendo fallas, no se si sea solo mi caso pero cuando quiero yapear o hacer una recarga a mi celular no me permite y se sale de la aplicación automáticamente. Me parece un poco teidoso ya que lo desinstale y lo volví a instalar y me sigue pasando lo mismo. Espero que me ayuden por que en este aplicativo manejo todos los días mis transacciones y no puedo seguir con este problema.",not_applicable,"Salida automática en yapeos y recargas"
821,"Me resulta practico su uso para realizar pagos, pero de un momento a otro cada vez que quiero abrir la aplicación me sale ERROR INTENTELO MÁS TARDE es fastidioso que tenga fallas y que cada vez que lo quiera usar, tengo que eliminarlo y volverlo a descargar, si no lo hago no funciona. ¡¡¡ya lo he tenido que descargar más de 20 veces!!!!😠😠.",not_applicable,"20 descargas por error permanente"
822,"Desde hace algunos meses no he podido realizar ni un solo yapeo, cada vez que lo intento me dice que ha ocurrido un error inesperado y que debo intentar más tarde! Al principio pensé que era una falla a nivel general, pero he visto que otros si pueden yapear sin problemas y yo aún no puedo.. Siempre que intento yapear me sale lo mismo y no veo solución alguna, por favor mejoren esa parte.. Incluso cuando quiero ver mi saldo disponible, me sigue diciendo error inesperado.",not_applicable,"Meses sin poder yapear ni ver saldo"
823,"Me gustaría que lo pudiéramos usar los extranjeros, con su cedula, también necesitamos una app para pagar acá en peru",not_applicable,"Solicitud acceso para extranjeros"
824,"La nueva versión 3.0.4 está mega horrible, no le pongo menos estrellas nomás porque sirve y pues es una herramienta. Pero asu, está última versión está feisisma, háganse un favor y no actualicen. Es más, los números esos para poner los seis dígitos ya no se mueven. HAGAN ACTUALIZACION YAPE, SOLO QUIERO LA VERSION ANTERIOR!!",authenticity,"Versión 3.0.4 horrible - números fijos sin seguridad"
825,"Un asco de aplicación, 0 estrellas. Recién me instale la app, me cree una cuenta y cerré la app. Volví a entrar para realizar un depósito y no me dejaba entrar, salía un mensaje de ""solo se permite una sola cuenta con un solo número, 'ponga' en ingresar"" ponía en ingresar y nada, todo se repetía. Ahora tengo una cuenta que no puedo utilizar. Pésimo servicio",accountability,"Cuenta creada inutilizable por loop error"
826,"Desde la última actualización en la aplicación me sale error cuando realizó alguna operación, además el tamaño de las letras ha aumentado y no funciona con datos móviles solo con wi-fi. Un problema que me viene pasando desde hace un mes, por ello ya no la tengo instalada en mi celular por temas de seguridad.",confidentiality,"Solo funciona con WiFi + desinstalada por seguridad"
827,"Hola, no me llegan las notificaciones de yape. Ya he revisado la configuración de permisos de notificaciones y todo esta activado, he vuelto a instalar y nada sigue igual! Las notificaciones me dejaron de llegar de la nada y si área de soporte por WhatsApp es PÉSIMA! ninguna solución dan. ¿A qué se debe que ya no me lleguen las notificaciones de yape?",not_applicable,"Sin notificaciones pese a reinstalación"
828,"Intentaba yapear y me parecería no podía realizarnos en esos momentos y que lo intente luego; pero revisando los movimientos de mi tarjeta en efecto yape había extraído los montos, pero en el historial yape aun no sale que se efectuó el yapeo. Al final pagué un servicio tres veces más de su costo. Muy mal, una aplicación de este tipo no puede tener estos errores. Quién me devuelve mi plata? Ni siquiera hay un número para reportar o comunicar este incidente en la aplicación.",integrity,"Pago 3 veces un servicio sin historial de yapeos"
829,"Estoy desconforme con la aplicación ,ya que de mi cuenta hubo un descuento sin mi autorización de un monto elevado,diciendo que me han yapeado doble ,y yo tengo la contabilidad de toda mi cuenta y mis movimientos de todo el año , en ningún momento me figura un yapeo doble , y hasta ahora estoy esperando la devolución de ese dinero ,que no es posible que la aplicación quite dinero así nada más y sin pruebas ,espero una respuesta . No recomiendo esta aplicación",integrity,"Descuento sin autorización monto elevado por supuesto yapeo doble"
830,"Pésima aplicación, presenta errores. Intenté ingresar y solo aparecía ""error"" 😡",not_applicable,"Solo muestra error al ingresar"
831,"Mi tarjeta expiró y para actualizar mis datos yape pone muchos peros con los procesos, intente volverme a inscribir como 5 veces por que siempre en el último paso del reconocimiento facial se reiniciaba y ahora me bloquearon los intentos por 48 horas, es una total pérdida de tiempo y burla para nosotros los usuarios, en lugar de hacer los trámites más rápido y fácil para los usuarios, con cada actualización es más difícil instalar yape",authenticity,"5 intentos reiniciados en facial → bloqueo 48 horas"
832,"Es muy tedioso estar volviendo atrás solo por qué la aplicación no reconoce el rostro y sale error, vuelve a intentarlo más tarde, ya son varias las veces que intento y no reconoce, ando sin yape por qué la misma aplicación cerró mi cuenta de la nada y que hubo un error de conexión, intento otra vez, pongo mi rostro y nada. Ya quiten eso, con solo los datos nesecarios es suficiente, que pereza estar así la verdad",authenticity,"App cerró cuenta + facial no reconoce"
833,"Con la nueva actualización de validar por foto, me han bloqueado el registro por superar el límite de intentos de validación facial. Me comuniqué por teléfono y por el Messenger, pero solo me dicen que es imposible que pueda registrarme. Deberían corregirlo, porque veo que no soy el único con ese problema y a muchos nos es útil para nuestros negocios, pero con restricciones como esta, nos obligan a usar otras Billeteras. Deben quitar el límite de montos, para todos los tipos de registro.",authenticity,"Facial masivo: imposible registrarse para negocios"
834,"El reconocimiento facial de esta app esta pesimo y me bloquearon 24 para volver a intentarlo Que arreglen eso !!! No se puede validar los datos solo porque en la foto no me reconoce la foto de mi dni es de ase unos años y ahora mi rosto a cambiado un poco y por ese motivo pido que lo arreglen lo antes posible ya que causa incomonidades no soy la primera a kien le sucede algo parecido y no tiene solucion",authenticity,"24 horas bloqueo facial por cambio natural rostro"
835,"Siempre he usado Yape y me ha sido muy útil para mis compras diarias, he depositado mucha confianza en esta aplicación ya que este me permitía pagar en cualquier lugar y momento siempre que no dispongo dinero fisico. Sin embargo desde la última actualización esto ya no es posible puesto que no tengo un plan de datos contratado y la aplicación se me hace ""inutil"" me están forzando a pagar las ""recargas"" para poder usarlo y nisiquiera se puede recargar desde la misma app. Espero una solución.",not_applicable,"Forzado a contratar datos - app inútil sin plan"
