ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
1,"no puedo meter el numero de celular para habrir cuenta",not_applicable,"Problema de registro/creación de cuenta, no específicamente de seguridad"
2,"no suena cuando llega un yape",not_applicable,"Problema de notificaciones de sonido"
3,"me gustaría saber x k no suena cuando me yapea",not_applicable,"Consulta sobre notificaciones de sonido"
4,"no puedo entrar pork no puedo",not_applicable,"Problema de acceso general sin detalles específicos"
5,"Lo único malo de Yape es que si por error yapeas a otro número no se puede hacer nada para que puedan devolver, Si Yape está respaldado por BCP es lo mínimo que pueden hacer para así nos puedas devolver ese dinero que por apurados yapeamos a otro número",non_repudiation,"Imposibilidad de reversión de transacciones erróneas - falta de mecanismo de devolución"
6,"no quiere entrar yape",not_applicable,"Problema de acceso general"
7,"no puedo usarlo",not_applicable,"Problema de uso general sin especificar"
8,"Por qué no me permite activar la biometría digital o facial en mi teléfono? Desinstalé y volví a instalar la aplicación y sigue saliendo el mismo mensaje: ""ocurrió un inconveniente""",authenticity,"Falla en activación de autenticación biométrica persistente"
9,"mala está ap",not_applicable,"Opinión general negativa"
10,"no puedo crear la cuenta",not_applicable,"Problema en creación de cuenta"
11,"aplicación mrd me equivoqué y no puede hacer el cece o devolución del dinero",non_repudiation,"Imposibilidad de cancelar o devolver dinero por error - falta de reversión"
12,"Soy menor de edad y no me deja crear una cuenta quiero invertir en algo Pero no me deja ,por eso el país no crece ,hay muchos niños que necesitan o quieren ayudar en su economía Pero la app no deja eso es lo que me frustra 😔😔😔",not_applicable,"Restricción por edad para creación de cuenta"
13,"no me deja entrar",not_applicable,"Problema de acceso"
14,"Muy pésimo la verdad no llegan las recargas Gaming .",not_applicable,"Problema con recargas de gaming"
15,"Le daría 5 estrellas si permitiera abrir la aplicación sin datos.",not_applicable,"Sugerencia de funcionalidad offline"
16,"no me permite registrarme con mi tarjeta del banco de la nación",not_applicable,"Problema de registro con tarjeta específica"
17,"me llega al pincho",not_applicable,"Expresión de molestia general"
18,"con la última actualización no se puede acceder a promos sin compartir ubicación, lo cual incómoda mucho",confidentiality,"Solicitud forzada de ubicación para acceso a promociones - exposición de datos privados"
19,"no se como ponerle sonido cua do me llega un yape q no se igual a las otras notificaciones",not_applicable,"Consulta sobre configuración de sonido"
20,"pésimo no me deja yapear 1am tengo que pagar en una bodega o hacer un yapeo no me deja pésimo horrible aplicacion me desvinculo",not_applicable,"Problema de funcionamiento nocturno"
21,"magnifico",not_applicable,"Comentario positivo"
22,"más seguridad necesita yale",not_applicable,"Sugerencia general de seguridad"
23,"me gustaría que implementará la recarga de cp de call of duty Mobile para poder recargar",not_applicable,"Solicitud de nueva funcionalidad"
24,"la aplicación tiene fallas, ingresé mis datos según lo que me pedía y no me dejó crear mi cuenta por qué aún no cumplo 18 años, si soy del 2007 como es posible que no tenga 18 si los cumplí hace un mes atras, muy mala la aplicación por esa parte ehh",authenticity,"Error en validación de edad - cálculo incorrecto de fecha de nacimiento"
25,"uno puede hacer pagos siendo de Venezuela para Perú, lo necesitoooooooooooo",not_applicable,"Consulta sobre pagos internacionales"
26,"muy buena",not_applicable,"Comentario positivo"
27,"Bueno",not_applicable,"Comentario neutral/positivo"
28,"le dare una estrella porque aun el yape no brinda el numero de celular al numero yapeado , :v ,",confidentiality,"Falta de información del remitente en transacciones - problema de identificación"
29,"Mucho anuncio oltimamente",not_applicable,"Queja sobre publicidad"
30,"no me sale el sonido de yape",not_applicable,"Problema de notificaciones de sonido"
31,"malo",not_applicable,"Opinión general negativa"
32,"Pésima aplicación, pronto no existira más. Puesto que el sonido de la notificación no funciona en la mayoría de celulares ya sea en Android o iPhone, creando estafas cuando se trata de recibir dinero rápido. Ya que el sonido de la notificación avisaba, pero ahora no lo hace!",integrity,"Falla de notificaciones facilitando estafas - compromete verificación de transacciones"
33,"me robaron ko instalen yape",not_applicable,"Advertencia por experiencia de robo"
34,"no me deja hacer una cuenta",not_applicable,"Problema en creación de cuenta"
35,"tengo un problema al registrarme y es que al escanear mi DNI lo enfoco perfectamente en el cuadro pero la aplicación lo escanea desde un distinto ángulo, podrían poner un apartado en dónde el usuario pueda presionar y tomar la foto o elegirlo desde galería, para evitar esos errores grotescos.",authenticity,"Falla en escaneo de documento de identidad - proceso de verificación defectuoso"
36,"véngo pagando credito puntuales ahora con la actulizacion me lo quitaron cuando vengo osgando putual por meses ahora no me sale se pasaron me voy cambiar",accountability,"Pérdida de historial crediticio tras actualización - inconsistencia en datos"
37,"tengo un problema para ingresar a mí yape,tengo mi correo y mi clave pero al momento que me solicitan el código que envían a mi número nunca llega para confirmar.",authenticity,"Códigos de verificación SMS que no llegan - falla en autenticación"
38,"No llega los mensajes de texto al crear por primera vez el yape, codigo sms incorrectos a pesar de tener buena señal, y me ha bloqueado por 24 horas. No me deja leer los terminos y condiciones que es muy importante, es muy largo como de costumbre para que al final me diga que ha expirado el tiempo para crear el yape. Como es posible aceptar los terminos y condiciones si la aplicacion no permite mas tiempo para poder leerlos completamente, y no tiene para descargarlo para despues leerlos.",authenticity,"Códigos SMS incorrectos y bloqueo por 24 horas - falla sistemática de verificación"
39,"bien",not_applicable,"Comentario positivo"
40,"una. basura. yape no puedo ingresar. con mis. datos",authenticity,"Imposibilidad de acceso con credenciales válidas"
41,"Bueno",not_applicable,"Comentario positivo"
42,"muy malo no se puede descargar rápido las aplicaciones",not_applicable,"Problema de velocidad de descarga"
43,"no puedo abrir mi yape",not_applicable,"Problema de acceso a la aplicación"
44,"Se ha vuelto lento, esperar hasta 15 20 segundos que la app reaccione después de una publicidad es un caos",not_applicable,"Problema de rendimiento tras publicidad"
45,"Casi siempre a partir de medianoche su sistema se cae, una emergencia o un pago urgente por salud y no hay manera de hacerlo ya que el sistema presenta error.",not_applicable,"Caídas sistemáticas nocturnas del sistema"
46,"tengo tiempo que no me llega la notificación cuando me yapeando, esa voz que dice yape... no sé por qué ya tengo tiempo, antes si me avisaba por favor traten de ayudarme a solucionar",not_applicable,"Pérdida de notificaciones de voz características"
47,"tenía mi cuenta creada con mi DNI y de ai no puede recuperar es un farsa me dió perder mi dinero que le tenía confiado",accountability,"Pérdida de cuenta y dinero - imposibilidad de recuperación"
48,"mio no puedo reconocer posterior de mi DNI electrónico",authenticity,"Problema en reconocimiento de DNI electrónico"
49,"mi celular es poco x4 Gt y el aplicativo cada rato cuando inicio se cierra y sale+ yape no responde+ arreglen eso por favor ya intenté comunicarme por que página wsp yape y no dan solución y dejan en espera",not_applicable,"Cierre automático en dispositivo específico"
50,"no puedo descargar yape no se a que se debe lo estoy intententando muchas veces ya y nada lo desinstale y lo volví a instalar y ya no quiere dice que ocurrió un problema no se que hacer más ya",not_applicable,"Imposibilidad de descarga tras reinstalación"
51,"No me deja instalar en la honor 200 me sale error",not_applicable,"Error de instalación en dispositivo específico"
52,"ya ingrese, pero me dise que no estoy afiliado y no me pueden yapear",accountability,"Inconsistencia en estado de afiliación tras registro exitoso"
53,"no puedo compartir el comprobante del yapeo",not_applicable,"Problema en funcionalidad de compartir comprobantes"
54,"no descarga",not_aplicable,"Problema de descarga"
55,"desinstale la aplicación yape y ahora no puedo instalarlo nose porque razón ya borre más de 1000 fotos y videos y aún así no puedo instalarlo 😭 Alguien que me de ayude porfavor",not_applicable,"Imposibilidad de reinstalación tras desinstalación"
56,"No deja cambiar de número pese a dus pasos como te pide.",not_applicable,"Problema en cambio de número de teléfono"
57,"no quiero que me manden notificación de diamantes del free fire hasta el día de hoy me robaron pedazos de ladrones ,muy mala aplicación solo engañar a la gente",integrity,"Experiencia de robo a través de notificaciones de terceros"
58,"no instala urgente atender",not_applicable,"Problema de instalación"
59,"buena app",not_applicable,"Comentario positivo"
60,"tengo problemas para descargar la aplicación",not_applicable,"Problema de descarga"
61,"tengo el s24 ultra y ni puedo instalar yape ? que paso",not_applicable,"Incompatibilidad con Samsung S24 Ultra"
62,"quisiera que me ayuden cuando salio para actualizar, cargaba todo al 100% pero no actualizaba, me salia vuelve a intentarlo más tarde y mediante ustedes un asesor le dije el problema hizo tal cual las indicaciones ne dijo y sigue igual más ahora que no me deja instalar ahora YAPE:(",not_applicable,"Problema de actualización persistente pese a soporte técnico"
63,"mala experiencia stoy ke instaló mi yape pero no abre mi yape.eso es mi problema kisi3a saber porque noo puedo ingresar a mi yape pero no puedo abrir mi yape hecho mucho pero no puedo no sé porque anteriormente tenía mi yape pero lo decintale y en otro dispositivo lo bolbi ah instalar pero lamentablemente no puedo acceder a mi yape k es de vital importancia para mi espero poder saber como puedo Acer para acceder ami yape ..espero atentamente algo de ayuda para acceder ami yape k no logro entra",not_applicable,"Problema persistente de acceso tras reinstalación en nuevo dispositivo"
64,"por que no puedo actualizar la aplicación del yape",not_applicable,"Problema de actualización"
65,"no sé puede actualizar el app",not_applicable,"Problema de actualización"
66,"me descontó dinero (45soles)",integrity,"Descuento no autorizado de dinero - violación de integridad financiera"
67,"No me drja descarga la aplicscion. ....",not_applicable,"Problema de descarga"
68,"mejoren su optimización al actualizar me da error",not_applicable,"Error de optimización en actualización"
