ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
101,"todo bien pero no sé q paso de la nada ahora sale q tengo 00/$ saldo solucionen el problema",integrity,"Saldo que aparece en 0 repentinamente sin causa aparente"
102,"no se puede instalar la app",not_applicable,"Problema de instalación"
103,"aplicación de mrd, necesariamente tengo que ser mayor?",not_applicable,"Molestia por restricción de edad"
104,"Estaba yapeandole a alguien, y de pronto me apareció un ""ocurrió un inconveniente, no te podemos mostrar tu salario"" detesto eso, me da la sensación de que mi dinero acabará desaparecido. La última se me perdió una mínima de dinero, pero eso no debía ocurrir.",integrity,"Error durante transacción con antecedente de pérdida de dinero"
105,"ARREGLEN EL PROBLEMA DE YAPE POR LAS MADRUGADAS!!!!!!",not_applicable,"Fallas sistemáticas nocturnas"
106,"no me agarra la aplicación 😔",not_applicable,"Problema de acceso"
107,"deberían de crear cantidades de pago como de 5, 10, 20, 50 en su pantalla principal. y de hacer un segundo filtro antes q se realice el pago. cómo en el aplicativo del BCP para verificar los datos antes de yapear.",non_repudiation,"Solicitud de verificación adicional antes de pagos"
108,"no deja poner el número completo",not_applicable,"Problema de interfaz"
109,"ta mal optimizadoo",not_applicable,"Problema de optimización"
110,"creo que no es buena aplicación...ya que ni me permite crear una cuenta",not_applicable,"Problema en creación de cuenta"
111,"Se cierra cuando entró a ayuda y darle a el comercio no reconoce mi pago.",not_applicable,"Cierre de aplicación al buscar ayuda"
112,"Se desactiva el sonido de yape en mis 2 celulares",not_applicable,"Problema de notificaciones en múltiples dispositivos"
113,"no se puede vincular ala cuenta de caja Huancayo",not_applicable,"Problema de vinculación bancaria"
114,"durante la noche la app para fallando y no permite realizar los pagos. causa malestar",not_applicable,"Fallas nocturnas sistemáticas"
115,"Buenos días anoche me plinearon S/50.00 soles y al abrir hoy mi app de Yape solo hay S/1.73 😱 a que se debio",integrity,"Recepción de pago Plin pero saldo no refleja el monto correcto"
116,"muy buena",not_applicable,"Comentario positivo"
117,"no sólo desaparece saldos te dicen q en 72 horas el dinero de compras rechazadas estará en tú cuenta no lo hacen así es malísimo.",integrity,"Desaparición de saldos y no devolución en plazo prometido"
