ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
201,"tiene defectos que no se puede usar rn este dispositivo",not_applicable,"Incompatibilidad de dispositivo"
202,"Yodo bien",not_applicable,"Comentario positivo"
203,"Es una porquería estar actualizando cada momento",not_applicable,"Molestia por frecuencia de actualizaciones"
204,"la real en madrugadas eh quedado fuera en carreteras xq el yape no funciona puedo tolerar, me envían un dinero pongo ver saldo y me sale q tengo 1sol , siempre supe q en cualquier momento algo fallaría xq estás en el Perú (peruano disq pendejo) un niño tiene más creatividad en manejar un aplicativo ,reniego d la aplicación q para estos tiempos no dan servicio para futuro xq empiezan a dar sospechas d estafar cuando lo vean necesario ,no seré parte d esto",integrity,"Dinero enviado pero saldo solo muestra 1 sol - desconfianza por posible estafa"
205,"Se desaparece el dinero de mi billetera lleve la cuenta a que se deve",integrity,"Desaparición de dinero de la billetera"
206,"por qué no puede leer el QR",not_applicable,"Problema de lectura QR"
207,"no puedo ingresar a yape me sale k algo salió mala lo desinstalo y lo vuelvo a instalar y nada que abre",not_applicable,"Problema persistente pese a reinstalación"
208,"no puedo ingresar a la aplicación de yapeeeee ayuda",not_applicable,"Problema de acceso"
209,"buena solo que al beses te descuentan",integrity,"Descuentos ocasionales no autorizados"
210,"HOrrible",not_applicable,"Opinión general negativa"
211,"eh tratado de hacer una compra por internet y no me han validado a pesar que yape me cobró",integrity,"Cobro realizado pero compra no validada"
212,"porque no puedo entrar",not_applicable,"Problema de acceso"
213,"ok",not_applicable,"Comentario neutral"
214,"todo excelente solo que el sonido se desactiva y no suena como siempre",not_applicable,"Desactivación de sonido"
215,"no se actualiza",not_applicable,"Problema de actualización"
216,"muy. bueno",not_applicable,"Comentario positivo"
217,"es buena la aplicación, solamente que cuando quiero cerrar sesión es un poco complicado",not_applicable,"Dificultad para cerrar sesión"
218,"como hago que el yape no me congele mi dinero oh retención del mismo porque me yapearon 400 soles y me los tetubo el BCP",integrity,"Retención/congelamiento de 400 soles por BCP"
219,"buenas por q cuando me yapean ya suena cuando llega antes sonaba y decía yape",not_applicable,"Pérdida de sonido característico"
220,"la app no me reconoce y no puedo crear una cuenta 😞 .",authenticity,"Falla en reconocimiento para creación de cuenta"
221,"si me gustó",not_applicable,"Comentario positivo"
222,"no puedo entrar a yape",not_applicable,"Problema de acceso"
223,"que siempre pide actualización y si mi cel está lleno no puedo..",not_applicable,"Imposibilidad de actualizar por espacio"
224,"bueno",not_applicable,"Comentario positivo"
225,"muy buena",not_applicable,"Comentario positivo"
226,"Muy buena app Pero tiene un dicho problema muy ocurrente esque es al momento de recargar saldo, .osea no entiendo el límite por yapeo por persona eso realmente es molestoso y si no debería aver eso Yaque uno necesita primordialmente para sus labores o trabajos , realizar llamadas o usar Internet no, Pero haces algo de 3 o2 veces de recarga y ya no se puede más honestamente espero que en la siguiente versión no ocurra está tontera",not_applicable,"Limitaciones en recargas"
227,"antes pagaba los créditos semana antes que termine la fecha límite y tú historial crediticio subía, ahora los préstamos cada vez más bajos y uno pagando antes de tiempo incluso, que ilógico Y ahora evalúan a tu pareja osea porlas pagó puntual, tontera!",accountability,"Deterioro de historial crediticio pese a pagos puntuales"
228,"Quisiera saber por qué en el celular Samsung A16 no tiene activado el propio sonidito de YAPE? AYUUUDAAAAAAAA..",not_applicable,"Problema de sonido en Samsung A16"
229,"fatal me bloquearon la cuenta y tengo plata no se ya inicie varias veces y sale que tú cuenta está en proceso o renovación devuelveme mi cuenta yo tengo plata ahy",accountability,"Cuenta bloqueada con dinero - estado de renovación indefinido"
230,"Demasiadas actualizaciones piden ya aburren",not_applicable,"Molestia por frecuencia de actualizaciones"
231,"una porquería de madrugada. mejoren su sistema",not_applicable,"Fallas nocturnas"
232,"muy buena app lo malo es que pide muchas actualizaciones",not_applicable,"Molestia por actualizaciones frecuentes"
233,"se congela",not_applicable,"Problema de congelamiento"
234,"excelente",not_applicable,"Comentario positivo"
235,"En mi equipo no me permite ingresar la app, antes me permitía hasta el viernes y ahora no me permite y no se si es el equipo o la app",not_applicable,"Pérdida de acceso en dispositivo específico"
236,"me encanta pero abeses tiene pequeñas falla",not_applicable,"Fallas menores ocasionales"
237,"muy mal",not_applicable,"Opinión general negativa"
238,"con todo lo que sucede dar información pública es dar.informacion a terceros que no compete",confidentiality,"Preocupación por divulgación de información a terceros"
239,"suele abandonarte.",not_applicable,"Problema de funcionamiento general"
240,"ahurita no tengo transferencia en Yapy ...actualizeme x fabo.",not_applicable,"Problema de transferencias"
241,"Ok",not_applicable,"Comentario neutral"
242,"no salen los movimientos hechos con tarjeta",not_applicable,"Problema de visualización de movimientos"
243,"En este celular no quiere abrir yape como puedo hacerlo",not_applicable,"Problema de apertura en dispositivo específico"
244,"lo incómodo es que se tiene que actualizar cada semana 😉",not_applicable,"Molestia por actualizaciones semanales"
245,"ya aburre que yape esté actualizando cada cierto tiempo 😡ay veces no tengo mucho espacio en mi teléfono",not_applicable,"Molestia por actualizaciones y espacio"
246,"muy bueno",not_applicable,"Comentario positivo"
247,"Es de mucha ayuda.",not_applicable,"Comentario positivo"
248,"es una gran facilidad para todo tipo de transacciones económicas",not_applicable,"Comentario positivo"
249,"todo bien, hasta que en esta última actualización se desactivó el sonido de *yapee* al recibir yapeos",not_applicable,"Pérdida de sonido tras actualización"
250,"todo bien ! pero mucho actualizan y aveces no hay espacio para la.actualización 🤷",not_applicable,"Molestia por frecuencia de actualizaciones"
251,"no sé que pasá con el yape es muy complicado",not_applicable,"Problema general de complejidad"
252,"a cada rato me sale actualizar, eso atrasa, debería de mejorar.",not_applicable,"Molestia por actualizaciones frecuentes"
253,"me pidio actualizar yape y lo actualize y no funciona",not_applicable,"No funciona tras actualización"
254,"Me es muy útil, PEROOOO es una molestia sus actualizaciones, este mes actualize hace unos 10 días y otra vez sale ""actualizar"" LO PEOR es que en el momento que se necesita NO se puede usar hasta hacer actualización y eso es un gran percance porque a veces se está con poca batería y al pedir actualizar no deja entrar a la app, ojalá puedan resolver eso , una emergencia y hay que estar perdiendo tiempo, a veces uno olvida actualizar, pero 2 veces en 1 mes que MOLESTO...por eso le doy 2 estrellas",not_applicable,"Bloqueo de acceso por actualizaciones obligatorias"
255,"Por q no se puede instalar el yape en mi móvil ??",not_applicable,"Problema de instalación"
256,"No deseo actualizar porque la memoria del celular se recarga y no hay acceso al yape",not_applicable,"Imposibilidad de acceso por no actualizar"
257,"Cada vez pesa mas las actualizaciones",not_applicable,"Aumento de tamaño en actualizaciones"
258,"pueden dejar de estar actualizando constantemente está cgd4 de app??? cuántas actualizaciones más van hacer ?? si siempre es la misma estupidez, no me dejan usar la app por sus constantes actualizaciones, un desastre sus programadores enserio",not_applicable,"Frustración por actualizaciones constantes"
