ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
1101,"No está cargando la aplicación se queda solo la pantalla morada , ya revise el almacenamiento todo bien , el internet , desinstale y instale pero nada no me está funcionando ya reinicie mi celular como 4 veces pero igual no me está cargando , tengo dinero hay y lo nececito urgente , podrían tratar de resolver lo más rápido posible .",accountability,"Dinero retenido pantalla morada - necesita urgente"
1102,"Quien me puede ayudar!!! O en donde puedo presentar mi queja y que me ayuden, a la persona que me quiere yapear le aparece un sms indicando que Error no se a realizo niuna transición. La cual si me habían yapeado y como tres veces y se dio cuenta que le habían descontado a través de su app del BCP y ami nunca se me notifico el yape q me envió como tres veces y a esta persona tampoco se le notifico las 3 veces que me había yapeado!!! Y ahora no me pueden YAPEAR. ESTA MAL ESTA APP",integrity,"3 veces descuento BCP sin notificación + bloqueado yapeos"
1103,"Es buena la aplicación pero no se puede tener la confianza porque si fallas en un número y mandas sin verificar el nombre ya no podrías hacer que la plata que enviaste por error se reembolse por eso sería bueno que ahiga un plazo para que podamos cancelar el envío de sierto monto, es decir cuál es la seguridad que da la empresa En momentos de desesperación abeses fallamos en un número u otro error. Y no podemos solucionar este problema Por favor que en la nueva actualización se agregué",not_applicable,"Sugerencia cancelar yapeos erróneos"
1104,"Terrible, siempre falla cuando quiero hacer una transacción y me pide validar si se pagó o no... saben lo terrible que es eso para un cliente?¿ o para un vendedor que debe atender a más personas??? supuestamente permite agilizar el proceso de compra pero termina generando incomodidad al cliente y al vendedor, pésimo! por suerte, más establecimientos aceptan otros medios como plin y tunki, para que se acabe la mentira de Yape",integrity,"Fallas transacciones + competencia PLIN/TUNKI superior"
1105,"Agreguen las recargas mensuales de freefire porfa. Me piden mucho en mi establecimiento y no se puede directo por yape",not_applicable,"Sugerencia recargas FreeFire mensuales"
1106,"No reconoce mi clave,y cada vez que quiero ingresar sale que NO TENGO MÁS INTENTOS. Lo volví a instalar luego de un par de meses y sigue lo mismo. Es una soncera esta app, y lo peor que en vez de que haya una opción para cambiar la clave,solo te manda a face porque la única opción es eliminar la cuenta y con eso dar 3 días para sacar el dinero y si no retiramos el dinero en ese tiempo,se pierde todo.",accountability,"Clave no reconoce + 3 días retirar o pierde todo"
1107,"Muy útil la aplicación pero me acaba de suceder un problema, cuando quise pagar x medio d la app y me cobro el dinero pero a la otra persona no le llegaba lo yapeado. Me preocupa mucho esta situación ya q feliz mente no fue una cantidad fuerte de dinero y si hubiera sido así tendría q pagar otra vez y quien me repone lo perdido? No se confíen...",integrity,"Cobro sin llegada destinatario - preocupa montos grandes"
1108,"Acabo de instalar esta apk y me encuentro con esto no se si sea un bug o un error de la aplicacion pero en si no me deja hacer recargas al internar hacerlo nomas se queda la pantalla de color morada, les pido que lo arreglen😐🙄.",not_applicable,"Instalación nueva: recargas pantalla morada"
1109,"Hace una semana en mi celular se demora en abrir y por lo general se congela en la pantalla morada o sino sale mensaje que dice Yape no responde/ cerrar app o esperar... No me llegan notificaciones cuando me yapean. He notado que se ha dado desde que ahora sale la opcion de activar el biometrico en la parte inferior.",not_applicable,"1 semana pantalla morada + sin notificaciones desde biométrico"
1110,"Un total robo esta aplicación. Hoy día hice un yapeo de 25 soles y salió un mensaje de que supuestamente ""hubo un error"" al yapear. Verifico la app del banco y me salió que había hecho un envío por 25 soles, pero ese dinero nunca le llegó a mi contacto. Es la segunda vez que me pasa lo mismo. Con total descaro esta aplicación roba el dinero a sus usuarios y lo peor es que no hay un respaldo para presentar el reclamo.",integrity,"2da vez robo: 25 soles descuento sin llegada + sin respaldo reclamo"
1111,"cuando realizas el pago con yape y minimiza y vuelves a abrir la aplicación se queda con la sección aperturada. Eso es inseguro. Un supuesto que te quiten el celular y se queda con la secion abierta 🥺, estaba mas seguro cuando minimiza y se cierra la sección. Pero es buena aplicación facilita bastante las operaciones.",confidentiality,"Sesión abierta tras minimizar - robo celular acceso directo"
1112,"Nunca lo instalen. Si se pudiese dar cero estrellas o negativas, lo haría. Intenté ingresar a mi cuenta pero no pude, me bloqueron el ingreso. Dice 24 horas pero ya pasó como 3 semana y no puedo acceder, sigue bloqueado. Al parecer de esta forma se quedan con tu liquidez, con tu dinero. Ni te atienden por WhatsApp, solo te pasean. Es una Completa Estafa. En verdad es una aplicación puerca (de porq..ia).",accountability,"3 semanas bloqueado pese 24h + retienen liquidez - estafa completa"
1113,"Pésima app, dicen que han actualizado y llevo una semana intento yapear. He revisado todo, he reiniciado mi celular, libere espacio, verifique la red de internet y aún así no puedo. Ojalá que alguien cree una app que valga la pena. En serio pésima, mi familia y clientes tienen un problema similar. Nunca resuelven ningún problema.",not_applicable,"1 semana sin yapear post-actualización + familia/clientes mismo problema"
1114,"Está última actualización no me agrada mucho, todo es muy grande y las demás personas pueden ver todo con normalidad aparte que al poner mi número secreto de 6 dígitos no sale número en desorden haciendo que las demás personas puedan ver y memorizar mi pin. Haber si actualizan eso y hacer todo más pequeño.",confidentiality,"PIN números fijos permiten memorización observadores"
1115,"Es muy molestoso toda la publicidad, opciones de credito, de compras etc. que han ido agregando con cada actualización, y, que aparece apenas inicias sesion. Se ocupan la MITAD de la pantalla, considero que es demasiado para cuando uno solo quiere verificar sus movimientos.",not_applicable,"Publicidad mitad pantalla obstaculiza verificar movimientos"
1116,"Hola la verdad nunca antes he tenido problemas con esta aplicacion por el contrario me parece muy buena, pero hace unos dias me sale ACTUALIZAR lo hago y me vuelve a salir el mismo mensaje hasta he desinstalado la aplicacion y la he vuelto a descargar y me sigue saliendo actualizar y no puedo hacer nada por Yape , POR FAVOR PIDO VERIFIQUEN TODAS ESTAS FALLAS PARA SEGUIR UTILIZANDO ESTA APLICACIÓN POR FAVOR, GRACIAS!!",not_applicable,"Bucle actualizar infinito pese a desinstalar/reinstalar"
1117,"Es rápido y confiable. Sin embargo, le falta mejorar la opción del mensaje de compartir el yapeo, supongo que le llega un aviso al yapeado pero, éste es un simple mensaje de texto de WhatsApp que dice que te han yapeado que cualquiera podría escribir, debería incluir la imagen de confirmación de la aplicación o algo similar con el logo de Yape que le dé credibilidad, especialmente cuando se envía a un tercero para que esté informado",not_applicable,"Sugerencia mensajes WhatsApp con logo credibilidad"
1118,"Antes pensaba que Yape sería una muy buena opción como medio de pago pero con estas actualizaciones lo único que te causan son malos ratos , no quiere abrir , muestra conflicto de transferencia con algunos bancos, incluso realiza el yapeo con errores que si no te fijas bien hasta puedes realizar un doble yapeo, Realmente una lastima y seguiré confiando con el efectivo",integrity,"Doble yapeo si no te fijas + conflictos bancos"
1119,"Esto aplicación ya se convirtió en lago tedioso, antes cuando tenía el yape solo con el DNI no había ningún problema, ahora que lo vinculado al banco de la nación, es un problema, no se puede realizar yapeo, sale que ocurrió un error, y después me aparece que se descontó de mi cuenta de banco. Cambiaré a Tunki, pésimo",integrity,"Banco Nación: error yapeo pero descuenta cuenta - migra TUNKI"
1120,"necesito ayuda no puedo crear mi yape ya saqué mi cita en el bcp pero me sale cerrar aplicación y vuelve a intentar cuando entro a la aplicación del yape",not_applicable,"Cita BCP pero app cierra al crear cuenta"
1121,"Por favor arreglen la app, está presentando muchos errores de sistema, al momento de pagar dice error, y se cierra, no registra ningún movimiento en la app, pero te llega una notificación del BCP que realizaste una operación, y efectivamente cuando ingresas a la app del BCP aparece el descuento. Por favor, no sólo piensen en cobrar comisiones en Yape.",integrity,"Error pago + descuento BCP sin registro YAPE"
1122,"La app estaba funcionando bien pero de unos días para acá no abre, cuando trato de entrar me sale que hay un error, la desinstalé y la volví a instalar y nada que funciona, es bien complicado porque necesito utilizarla para hacer pagos y no he podido hacerlo, necesito lo antes posible que tomen en cuenta el problema que esto me está ocasionando, supongo que tal vez no sea yo la única persona que está pasando por ésta situación, espero respuesta y soluciones inmediatas, de antemano gracias 🤦‍♀️",not_applicable,"Días sin abrir pese reinstalación - pagos bloqueados"
1123,"Está totalmente fallando la app no se puede yapear dicen nueva aplicación pero la verdad está peor que antes estoy instalando de nuevo a ver qué pasa. Debería de haber otra forma de actualizar la apps porque el realidad nosotros los comerciantes estamos perdiendo ventas porque ahora todos pagan con yape y si no hay yape no pagan y se pierde la venta.",not_applicable,"Comerciantes pierden ventas: clientes solo pagan YAPE"
1124,"La actualización me está demorando más de 24 horas, probé con mis datos, probé con una red wifi. Revise el almacenamiento todo bien. La app es muy buena pero estas. Cosas cuando mejor los nesecitas te desaniman a recomendar o utilizarlo. Esta es otra reseña lamentable, ya llevo más de 5 días sin poder actualizar. Yape me envió para que me contacte por mensajería lamentablemente no me dio ninguna solución. Por carecer de opciones",not_applicable,"Más de 5 días actualizando + mensajería sin solución"
1125,"Apple fatal, quise crearme una cuenta y nunca me lo creo porque nunca entré. Ahora lo desinstalé y lo volví a intentar crear y me sale que ya tengo una cuenta. Intento ingresar y me sale error y me bota de la app. Un desastre de App. Le daría cero estrellas pero tiene que al menos ponerle algo. Ni lo he utilizado. Horror de App, no pierdan su tiempo.",authenticity,"Cuenta fantasma: dice ya existe pero no puede ingresar"
1126,"tengo serio problema con yape no me deja entrar dise error conexión y me saca espero que lo corrijan",not_applicable,"Error conexión expulsa de app"
1127,"No pude validar mi identidad. Me regresa a la pantalla anterior sin mostrar mensaje de error ni nada. No deberían confiar en la IA este tipo de validación. Ya lo desinstalé. Y veo que sucede lo mismo con apps similares. Y yo que solo quería cobrar el bono. Ni modo. Adiós!!!",authenticity,"IA validación falla sin mensaje - perdió bono"
1128,"Seria perfecta si al momento de yo hacer un yapeo tambien me mande una notificacion de otro color de "" Haz realizado un yape por 35 S/ "" Y otra bug es que cuando estas en la app yape si alguien te yapea ya no te sale la notificacion corrigan eso porfavor. Hay gente que registra las notificacionws para saber si cuadra con el ""saldo actual "" a la hora de cerrar caja.",not_applicable,"Sugerencia notificaciones yapeos enviados + bug notificaciones"
1129,"Pésima aplicación!!! Hace meses que no puedo usarla, salen mensajes como ""Uy, Yape no responde"" o ""ocurrió un inconveniente inténtalo más tarde""... Son meses ya que salen estos mensajes, desinstalé, volví a instalar, incluso cambié de teléfono y sigue igual... Increíble que un banco cómo el BCP no tenga una buena aplicación!!!",not_applicable,"Meses inutilizable pese cambio teléfono - BCP sin app buena"
1130,"Antes de la última actualización, podía usar Yape y hacer operaciones, sin necesidad de tener mb (datos móviles). Lo cual era genial poder hacer operaciones, pagos, recargas, cuando no tenía datos. Y ahora ya no es posible. Es posible que arreglen ese fallo.?",not_applicable,"Última actualización requiere datos móviles obligatorios"
1131,"Horrible la ejecución de la aplicación, presenta demasiados errores, no se puede utilizar la aplicación. Instale y desinstale la aplicación en repetidas ocasiones y sigue sin funcionar, reinicie mi dispositivo muchas veces y aún nada, más de un problema está generando.",not_applicable,"Múltiples reinstalaciones/reinicios sin solución"
1132,"Tengo la aplicación y de verdad que SOLO por qué es práctica la sigo manteniendo. He hecho operaciones y en más de una ocasión me ha salido error incluso cuando he finalizado el yapeo. Voy a revisar mi estado de cuenta y ya me lo habian descargado pero a la persona que recepciona nunca le llega el mensaje de confirmación. He tenido que hacer captura de pantalla de mi estado de los ahorros dónde se me debita el yapeo para confirmarle que se hizo la operación. Eso ya es molestoso... ojalá mejoren",integrity,"Yapeo finalizado + descuento pero sin confirmación destinatario"
1133,"Lo he actualizado mi yape, y ahora ya no se abre para yapear, antes de actualizar leí algunos comentarios y no quise actualizar, pero cada que queria abrir me decia hay una actualización, y no me dejaba abrir por tanto lo actualice y ahora no abre el app, pésimo la actualización, urgente corrigen o sino vuelven al anterior versión que si era bueno. Desde la actualización del app ya no se abre el yape son dos días que no puedo yapear, solucionen urgente Sigue el yape sin abrirse, que mal,",not_applicable,"Actualización forzada destruyó app funcionamiento + 2 días sin yapear"
1134,"Instale yape y todo iba bien hasta que vino la última actualización y empezaron los problemas. No podía yapear y me salía que había ocurrido un error y que lo intente más tarde. Lo desinstale y volví a instalar y seguía igual. Al final me desafilie. Hasta que no arreglen su aplicativo no voy a utilizarlo",not_applicable,"Última actualización destruyó funcionamiento - desafilió"
1135,"Porque no funciona bien la opción de escanear DNI???!! Literalmente lo he enfocado varias veces bien y no funciona!! Mejoren su inteligencia artificial o agreguen más opciones como agregar imágenes Edith: Ahora no me deja siquiera registrarme con la opción del DNI , es enserio?? Me sale error!",authenticity,"Escaneo DNI múltiples intentos falla + registro bloqueado"
1136,"Uso mucho la aplicación me gustaba mucho pero últimamente no me llega las notificaciones de los yape qué me realizan y la verdad era muy útil qué llegara ese mensaje avisando con tantas estafas que Estac habiendo si era muy útil pero ahora tengo q estar ingresando a cada rato a hacer la verificación de los depósitos y es perdida de tiempo y aveces x tema de trabajo no se puede hacer",not_applicable,"Sin notificaciones yapeos recibidos - verificación manual constante"
1137,"Seria mas optimo si por lo menos se pudiera hacer recargas a celular o pagos de servicios. Es una gran perdida de uso el limitarse a una cosa nada mas teniendo para ser un app multifuncional mejor uso Agora o muchas otras apps mas eficientes y que dan mas facilidades pero lamentablemente hay personas a las que tengo que yapear y te go que usar agora y mi app de banco para hacer las otras transacciones GG por la competencia y a mejorar",not_applicable,"Sugerencia multifuncional vs competencia AGORA superior"
1138,"Buenas tardes Sí para comunicarles que me parece muy mal qué periódicamente estén solicitando actualizaciones cuál me perjudica porque mi smartphone no tiene mucha capacidad para actualizar cada momento hay que tener una buena cantidad de memoria libre.... Muy mal señores del yape hace tres días que no puedo ver mi saldo",not_applicable,"Actualizaciones periódicas saturan memoria + 3 días sin saldo"
1139,"Últimamente no se puede acceder, tienes que estar insistiendo muchas veces para que recien puedas ingresar a la App, para yapear, demora mucho en procesarse y sale el anuncio de error en la aplicación o que están solucionando un problema.. ya lo desinstalé y volví a instalar, pero el problema persiste... Ojalá y puedan arreglar eso ya que para mí es muy útil esta aplicación",not_applicable,"Múltiples intentos acceso + demora procesamiento pese reinstalación"
1140,"Estimados tengan cuidado!, me va pasando en dos ocasiones, que he realizado una transacción, yapeando, que al final me sale como error con el banco, sin embargo en mi cuenta afiliada a yape, se hace el descuento, pero no figura en mi yape ni en el de la persona a quien yapeo. Ya les escribí, en las dos ocasiones y no hay ninguna respuesta o solución.",integrity,"2 ocasiones: error banco pero descuento sin registros YAPE"
1141,"Primero que no me dejaba yapear, intente muchos días, un día simplemente me dijo que reingrese mis datos, luego que mi cuenta coincidía con otra asociada, intenté recuperar mi contraseña, pide dni, rostro, etc y a las finales solo me sale que expiró sesión, así unas mil veces. Te hace perder toda la mañana, además de que intento reinstalar e igual, no instala nada.",authenticity,"Días sin yapear + recuperación facial expira sesión 1000 veces"
1142,"Todo estaba bien con YAPE, es confiable y segura, aumentaron la capacidad de transferencia muy bueno, también aumentaron la cantidad de entidades afiliadas para pagos. Incluso hay para crédito que no es de mi interés y también para compras. Todo bonito. Lo que detesto es que suene la vocecita YAPE para tonterías de ofertas que me confunden porque esa era de exclusividad para la recepción de PAGOS. que mal con ustedes, pónganse otro timbre de notificación o que sea programable porque molesta.",not_applicable,"Sonido YAPE ofertas confunde vs pagos exclusivos"
1143,"Muy buena app para lo que fue creada, una desgracia con tanta publicidad y gran Guaneada con la instalación de las muy constantes actualizaciones, disque son 32 mb pero al final no puedes hacer la actualización con 660 mb de espacio libre porque te pude más espacio libre, no son claros.......👎",not_applicable,"32MB requiere 660MB+ espacio - engaño actualizaciones"
1144,"Me pedían la aplicacion con ña opcion de solo dni, y por mas que lo intento y reintento, esa opcion a la verdad esta para elegir, pero a ña hora en la hora no se ejecita nunca y todo los pasos siguientes llevan a cambiar ña opcion para asociarlo cpn una cuenta, ... senti como una tomada de pelo dice la opcion pero np se ejecuta nunca .. y lo otro es el escaneo directo del documento , no se puede y mas cuando uno no cuenta x las limitaciones económicas con un celular de ultima generacion",authenticity,"DNI solo opción falsa + escaneo falla celulares económicos"
1145,"Al inicio de me hacía fácil hacer giros y lo demás pero ya hace mes y medio que no me llegan los yapeos al inicio pensé que era el internet o que demoraría en llegar pero paso días y nunca llegó verifique y todo está registrado a mi cuenta y no entiendo por qué no me llega me estafaron llame a los números que pusieron para preguntar o consultas y no me dieron ninguna solución y eso que mi cuenta esta vinculada con mi tarjeta y siendo así no debería de ver ningún problema pero no todo está mal",integrity,"Mes y medio yapeos no llegan pese registro cuenta - estafa"
1146,"Perdi mi comentario anterior y ahora no se hacer. Llevo años trabajando con el BCP y ahora pues esta app no funciona y no me sirve. No puedo ir al banco cada rato y sobre todo cuando estoy lejos. Pues hasta estoy planeando en bacaciones cambiar de banco y tener un aplicativo que si funcione porque hace meses que no solucionan este problema. Ojala no pierda este comentario y no sepa que respusta tienen.",accountability,"Años BCP + meses sin solución - planea cambiar banco"
1147,"Horrible aplicación o pésimo trabajo del banco, hace poco cambie de tarjeta y de celular volví a instalar yape al nuevo y agregar mi número y los dígitos de la nueva tarjeta y sale que los datos ya están registrados, ahora crear una cuenta con tu DNI pésimo horrible el scaner y para tomar la selfie a pesar de enfocar bien el rostro nada, una pérdida de tiempo, definitavemnete mejoren eso era una muy buena app.",authenticity,"Datos nuevos registrados + scanner/selfie falla enfoque correcto"
1148,"está que falla la aplicación que se cierra y no funciona, luego funciona y se vuelve a cerrar.",not_applicable,"Cierra/funciona/cierra cíclicamente"
1149,"De verdad los cambios son para mejorar, pero este cambio fue todo lo contrario, el sistema de ingreso de clave de seguridad debió mantenerse en modo rotativo, la interfaz terrible de grande, aparte cada vez que abro la aplicación me dice en una ventana qué están presentando problemas y con hoy ya van 3 días que no puedo hacer un yape",authenticity,"Clave fija (no rotativa) + 3 días problemas yapear"
1150,"Una aplicación que tiene muchas fallas, es la enésima vez que me retienen el dinero, porque tienen problemas con mi banco, encima el yapeo no se hizo y me descontaron el dinero de mi cuenta bancaria. Si tanto problema tienen con el banco de la nación, deberían mejor no afiliarse con ese banco. En mi experiencia, no me sirvió para nada esta aplicación.",integrity,"Enésima retención dinero Banco Nación + descuento sin yapeo"
