ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
1001,"La app está inservible hace ya 2 semanas, es increíble que uno de los bancos más grandes del Perú tenga un servicio tan pésimo con una de sus aplicaciones principales. Reportes tras reportes de errores de parte de sus usuarios (la mayoría reportando lo mismo) y lo único que dicen es envíenos por FB la captura del error. P. madre. Resuelvan el problema ya!",not_applicable,"2 semanas inservible - banco más grande Perú servicio pésimo"
1002,"La descargue para juntar dinero por una causa, la cuenta que tengo no esta asociada con ninguna tarjeta, al inicio podía yapear normal a mis contactos, ahora después de una semana, no me deja yapear absolutamente nada, y me sale que es error de tu banco. Quiero una solución ahora, ese dinero no se puede quedar ahí.",accountability,"Dinero para causa bloqueado - no puede quedar ahí"
1003,"Entre a yape a validar unos pagos y sale error al abrir . Lo desinstale y lo instale otra vez y seguía el problema. Probé en otro equipo que tiene yape y estaba con el mismo mensaje, parece que o hay sistema Deberían te de mensajes claros para no tener que desinsrale e instalar otra vez. No es la primera vez que yape no indica y te hace ir L banco o desinflamar",not_applicable,"Error múltiples equipos - sistema caído sin mensajes claros"
1004,"Probé la app para poder recargar una línea móvil, pero me doy con la sorpresa de que no puedo recargar el dichoso yape a menos que alguien que tenga saldo me transfiera el monto que necesito. Entonces si no conozco a nadie que use yape nunca podré recargarlo. No tiene sentido ese procedimiento, más rápido sería ir a un cajero o agente y recargarlo ahí, en fin nunca llegaré a usarlo",not_applicable,"Sistema circular: necesita YAPE para recargar YAPE"
1005,"Estos dos últimos días he tratado de ingresar a yape pero no me deja, me sale error. He visto que los demás yape si funcionan, pero el mío nada. Ya hice de todo pero aún no me deja ni siquiera crear otra cuenta. Me sale ¡Ups algo salió mal! Cierra la aplicación y todo ello, pero al final nada.",not_applicable,"2 días sin acceso - otros funcionan pero el suyo no"
1006,"Muy mala desde su actualización a la hora de renovar o crear cuenta no reconoce el rostro para nada... Y por más que lo vuelves a intentar dice ""reconocimiento fallido"" cuando soy yo.... debería ser suficiente con el reconocimiento del dni.... Se ha vuelto un problema no puedo tener una cuenta hasta ahora!!!",authenticity,"Reconocimiento facial fallido sistemático - no reconoce usuario real"
1007,"Intento instalar la app, y me bloquean la cuenta solo por un error, en lugar de votación hace 3 años, y dicen vuelve intentar en 24 horas, creo que deben hacer más simple el procedimiento y si se equivocan volver a intentar, no ahí mismo bloquear, me parece adsurdo, solo complican las cosas, espero que Yape, pueda tener en cuenta estás cosas, ahora tengo que esperar 24 horas otra ves para registrar, que pasa si la memoria falla y dígito mal?? Otra ves 24 horas esperar?? No me parece justo.",authenticity,"Bloqueo 24h por error - sistema punitivo desproporcionado"
1008,"A veces funciona bien y otras por nada, dejándote mal en las bodegas o comercios que deseas comprar...ahora me he pasado como 2 horas en transferir un poco de dinero a otra persona y ahora me dice "" esta opción no está disponible, pero puede seguir usando YAPE mientras se soluciona"".. .y que otra miércoles opción tengo para usar Yape , si la App, no funciona?????",not_applicable,"2 horas transferir dinero - opción no disponible pero siga usando"
1009,"Desde hace más de una semana tengo el problema de que demora en cargar demasiado para poder ingresar a mi cuenta. La pantalla se queda morada y tengo que esperar varios minutos antes que aparezca los números para insertar mi código, ya instalé y desinstale la aplicación más de dos veces y continua el problema",authenticity,"Más de 1 semana pantalla morada - números tardan minutos"
1010,"No puedo ni siquiera usarla después de rellenar el dichoso formulario no me deja entrar y sale ""de produjo un problema ""error, vuelve a intentarlo más tarde"" y ya llevo así 3 días dónde ni siquiera llegó a entrar a la app , que fastidio . Mejoren ese problema y cambiaré mi calificación hasta el momento no anda nada bien",not_applicable,"3 días sin poder entrar tras completar formulario"
1011,"Intente poner otro número de tarjeta y da error. Eso es en todos los casos. E imagino a todos les pasa lo mismo, solo acepta BCP cual es el chiste asi. Hacen mucha publicidad para que la descarguemos pero no cumplen lo que dicen. Mis clientes aparte de ser solo del BCP se les complica crear una cuenta y encima no me pueden pagar ya que no hacepta sus tarjetas. Antes de lamzarla la aplicación deberían solucionar los problemas no creen?",not_applicable,"Solo acepta BCP - publicidad engañosa otros bancos"
1012,"Lean esto!! Cuidado con aceptar y yapear a las (promociones) por qué si es en comida muchas veces están al mismo precio que pagarlas sin esta.en cuanto recargas para Cabify , juegos y seguro otras cosas está app no se hace responsable si la recarga no llego sino que te dicen ya te dimos el codigo y ya es la culpa de Cabify , del juego en cuestion oh los productos que pidió... Y claro el bot lo entretiene por 3 horas con lo mismo. suerte si le solucionan, solo usen para pagar y cobrar suerte.",integrity,"No se responsabiliza recargas fallidas - 3h bot entretenimiento"
1013,"Buenas noches, vengo hacer mi reclamo sobre la app yape, que no puedo ingresar me aparece acceso bloqueado  en el mensenger de yape me dice que tiene que llamar al número de BCP, llame al número y aparece la opción yape en cuál me dice que tiene que ingresar a la página se yape en la opción ayuda, eh ingresado y me dice que cualquier otra duda ingrese al messenger, perdida total de tiempo. En el cual me dicen que cambie de número, le pregunto el motivo, y solo me dice por seguridad.",accountability,"Acceso bloqueado - círculo vicioso atención sin solución"
1014,"en los ultimos 15 dias me paso que los cliente tratan de pagar de plin a yape, y pese a que me muestran captura de pantalla y se les descuenta de su saldo, a mi noe llega nada, y es un problema ya que aveces tantos mis clientes estan apurados y se supone que las transacciones son rapidas, ellos luego tienen que estar llamando a su banco para verificar porque se les descuenta y no se efectua la operacion. en fin una perdida de 1 hora, disguste del cliente e incertidumbre de que me llegue el pago.",integrity,"15 días Plin→YAPE: descuenta pero no llega - clientes apurados"
1015,"Me cambie a otra app porque, tengo 9 meses tratando de recuperar mi yape, ya que cambie de número y nadie me ha podido solucionar, no por facebook, no en la pagina oficial, ni en la agencia de forma presencial, ni vía telefónica. Puse un reclamo y hace 2 o 3 meses y eso quedó ahí, nadie me contactó y nadie me ha podido solucionar.",accountability,"9 meses sin solución cambio número - migró otra app"
1016,"Pésimo, tuve un problema al momento de yapear dentro de la aplicación y hasta ahora no me devuelven mi dinero , lo han hecho pasar como que yo he yapeado a un conocido y a esa persona no le ha llegado nada , eso recién me entero porque reclame , por que si no jamás me mandaban el correo , siendo sincera funcionaba pero cuando ocurre problemas así no dan solución, no me lo volvería a descargar , no es seguro, no ofrecen solución rápidas y se olvidan de contestar",integrity,"Yapeo no llega pero lo hacen pasar como realizado"
1017,"Queja N°2: esta es la segunda o tercera vez que Yape me dice ""Hemos tenido inconvenientes con uno de los bancos"" o cosas así, y no he podido Yapear y me pueden Yapear, tampoco puedo ver mi Saldo ni nada por el estilo. Estoy disgustado. BN. No sé qué le pasa a la Aplicación, 😡 la he actualizado, he borrado datos, reiniciado el celular, y no puedo Yapear nada a Nadie. ""ocurrido un error, intente más tarde"", siempre me sale eso.... Solucionen eso, un Mes esperando que lo arreglen y nada!.",not_applicable,"1 mes esperando arreglen - 2da o 3ra vez mismo problema"
1018,"Soy usuario constante mejor dicho era!!! Usuario constante de yape he decidido dejar de usarlo porque al realizar transferencia de daba error me debitaban el dinero del banco y no me aparecía el movimiento ni en mi yape ni en el yape destinatario y luego tenía que hacer una serie de reclamos y esperar de 2 a 3 días para la reposición del dinero... Y yo tenía que pagar en el momento y por culpa de eso tuve varios problemas... Así que fue bonito mientras sirvió... En su momento fue buena.",integrity,"Ex-usuario: débito sin movimiento + 2-3 días reposición"
1019,"Una decepción, he intentado afiliar con mi tarjeta visa desde hace semanas y siempre dejan un mismo mensaje sin intentar dar una solución. "Problemas de verificación" "vuelva a intentarlo en 24 horas", "vuelva intentarlo en 48 horas" o "los datos no están en vigencia" ¿cuáles? si mis documentos están en vigencia y a la fecha. Ahora por todos esos intentos de querer verificar, ya "excedí" la cantidad de intentos y ahora no se puede afiliar a una cuenta que ni siquiera me dejaron crear.",authenticity,"Semanas afiliar Visa: 24h→48h→excedió intentos sin crear cuenta"
