ID,Comentario,Clasificacion_ISO25010
901,Se cierra la aplicación,not_applicable
902,No quiere abrir mi aplicativo,not_applicable
903,"Malisima la App del BN, solo nos obliga a sacar plata a través del cajero 👉 porqué de cta a cta no se puede Uffffffff",not_applicable
904,No la uso mucho porque casi nunca funciona 😅 ojalá la puedan arreglar!,not_applicable
905,Tiene fallas no me deja ingresar constantemente,not_applicable
906,Se cierra no habré la aplicación,not_applicable
907,"Que ocurrió, no entra la app, que queda en rojo.",not_applicable
908,Esta lenta no carga nada la app y hastalas patas,not_applicable
909,La app no está funcionando desde hace varios días,not_applicable
910,Bajo,not_applicable
911,No abre app,not_applicable
912,"La aplicación tiene ocasiones de falla, a veces no muestra el estado de cuenta, sale q debido a. Inconveniente no se puede mostrar. Mejorar la aplicación",not_applicable
913,No se puede abrir,not_applicable
914,Es una mala app. Nisiquiera permite ingresar el n de tarjeta,not_applicable
915,Desde ayer me aparece que hubo un error con la operación y me dice que lo intenté luego. Que mal servicio,not_applicable
916,Porque no abre la app,not_applicable
917,"Malo, muy frecuente las fallas",not_applicable
918,No abre la app del banco,not_applicable
919,Pésima ahora no funciona,not_applicable
920,No habre la aplicación,not_applicable
921,"Desde la última actualización no se puede ingresar normalmente a la app. Y no es sólo en mi equipo, sino también ocurre en el de mi familia. Por favor arreglenlo, porque ya lleva tiempo con ese problema. Siempre sale el mensaje: en estos momentos no podemos atenderle, intenté de nuevo más tarde. Pero nunca se puede ingresar, ya más casi un mes con ese problema.",not_applicable
922,"A que se debe que no ingrese a la app, se cierra automáticamente",not_applicable
923,Excelente app,not_applicable
924,Hace varios días no puedo ingresar al aplicativo... Me dice que intente más tarde....que pésimo,not_applicable
925,"Estimados desarrolladores ,a qué se debe que está app no permite hacer transferencias de dinero?",not_applicable
926,Porque no se puede ver en la aplicación todo los movimientos 🤔🤔,not_applicable
927,No se abre lo que acabo de instalar.,not_applicable
928,"Pésima aplicativo, por este medio fui víctima de una estafa de un préstamo no solicitado y lo, peor no me dieron solución dejándome 2 meses en observación para decirme la culpa fue mia , el banco nunca pierde, ahi su personal me dijeron que este aplicativo es el mas inseguro y tienen muchos problemas por eso , no se lo bajen es un peligro ese aplicativo .",resistance
929,No me permite entrar ni poder loguearme al app. Y tengo está falla hace ya varios días.,not_applicable
930,No habre,not_applicable
931,No puedo ingresar me dice sobre permiso,not_applicable
932,"Pésima aplicación, carga demasiado para que te diga que no te pueden atender, te bloquean cuando no has echo nada indebido, deben cambiar de programadores, esta aplicación es un desastre",not_applicable
933,"Muy mala aplicación,pésima mi experiencia con esta app",not_applicable
934,Esta que falla todo lo virtual y no veo anuncios o información advirtiendo ello y cuando se solucionará.,not_applicable
935,Se cae el sistema a cada rato,not_applicable
936,No nos pueden atender cuando lo necesitamos si no cuando quieren,not_applicable
937,"No abre la aplicación, ya varias veces la instalo y nada",not_applicable
938,"De todas las aplicaciones que tengo es la peor, pero debido a que la institución paga ahí el sueldo se utiliza, un servicio pésimo",not_applicable
939,"No sirve, cambien a otro banco 🏦",not_applicable
940,"De día no funciona, solo funciona cuando todos duermen.",not_applicable
941,A veces funciona y otras no,not_applicable
942,Por fin ya funciona en Xiaomi,not_applicable
943,"Lo había desinstalado hace mucho, pero me pide una y otra vez que lo vuelva a instalar y hasta intenta instalarse solo.",not_applicable
944,No funciona,not_applicable
