ID,Comentario,Clasificacion_ISO25010
501,Bien,not_applicable
502,No descarga la App. 2 días,not_applicable
503,Bueno,not_applicable
504,No funciona muy bien la ap cuando se trata de transferir cada nada no te permite y pocas veces si,not_applicable
505,La aplicación se a puesto muy lente y más no responde que lo que responde la verdad me a decepcionado estaba muy bien era lo único que resaltaba de este banco porque la atención personal hasta el perno así que por eso le doy una estrella no mas,not_applicable
506,Mala experiencia,not_applicable
507,Malísima se cuelga a cada rato,not_applicable
508,"No puedo activar el aplicativo, ya fui la banco, dijo que siguiera los pasos que detallan, pero nada",not_applicable
509,"No funciona correctamente, deberían hacer una ap más funcional",not_applicable
510,Casa vez q se actualiza más fallas tiene. No sé puede ni plinear ni hacer una tranferencia,not_applicable
511,"Esta ultima actualizacion no sirve. Ya no carga la aplicación. ¿Para qué cuernos ponen algo que en vez de mejorar lo existente, lo empeora?.",not_applicable
512,No actualiza saldo,not_applicable
513,"Está mejorando,",not_applicable
514,Una porquería de aplicación. No sirve. Cómo todo el banco de la nacion,not_applicable
515,Excelente,not_applicable
516,Pésima aplicación no la recomiendo no se puede ni abrir la aplicación,not_applicable
517,Buenazo,not_applicable
518,Buena,not_applicable
519,Siempre q qiero ingresar a mi cuenta siempre sale vuelva más tarde,not_applicable
520,Se congela demasiado la pantalla y no permite ingresar los datos.... Ahora ya ni se puede entra solo sale un aviso INTENTE MÁS TARDE... APP de porquería,not_applicable
521,"Es un desastre el aplicativo se congela, a cada rato sale eeros con el yape ahora último no se puede hacer ninguna transferencia",not_applicable
522,"Pésima experiencia, no puedo hacer ninguna operación.",not_applicable
523,La aplicación se congela o no funciona como debe de ser desde la última actualización se fregó todo no puedo ni ver mis estados,not_applicable
524,"Cada vez que deseo consultar mi saldo me indica que tengo que actualizar la aplicación para continuar, eso pasa toda la vida y es una pérdida de tiempo.",not_applicable
525,Sabiendo las la cantidad de gente que hay en las agencias debería ser un poco as accesible para activar la banca móvil 📱 en el caso mio tengo que viajar para poder activar la banca móvil debería ser en línea mucho más fácil,not_applicable
526,Mejor no hagan aplicacionew asi,not_applicable
527,Funcionaba bien pero hace una semana para cayendo la aplicación,not_applicable
528,Buena atención,not_applicable
529,No se puede realizar ninguna transacción. Se congela constantemente o se descuenta la supuesta transferencia y ni llega a la cuenta de destino.,integrity
530,Los señores de banco de la nación No funciona bien está app. me sale que en estos momentos no está disponible o error hace 2 días se queda congeladoen inicio ya no funciona no se aque se debe eso debería revisar....,not_applicable
531,"L instale en mi nuevo celular y no abre la página, aparece y se cierra solo, que lástima por esta app",not_applicable
