ID,Comentario,Clasificacion_ISO25010
801,Porque se cierra muy rápido cuando quiero poner mi clave,not_applicable
802,Pésima funcionamiento de esta app,not_applicable
803,Tiene fallos a la hora de generar la clave dinámica desde hace ya varios días por no decir semanas,authenticity
804,Buena,not_applicable
805,"Nuevamente la caída del app, no se pueden ingresar datos ni ver información, por favor solucionen",not_applicable
806,Terrible utilizar este app se cuelga y te puede durar de 3 a 4 días sin poder abrir la,not_applicable
807,"DEBERÍAN ACTUALIZARLO LA APP EL MODO OCULTO DEL SALDO DISPONIBLE Y LOS MOVIMIENTOS SOBRE LA BANCA MOVIL PARA PODER HACER TRANSFERENCIAS A OTRAS CUENTAS, GRACIAS 🌟",confidentiality
808,"Sorprendentemente no solo es una pésima banca presencial, su aplicación es mucho peor. 1 de cada 5 intentos de transferencia realmente funciona, y encima se hizo un bloqueo de cuenta sin autorización que obviamente cobraron para desbloquear. Lástima que no puedo solicitar mi pago en otra banca, porque está no podría ser más inútil.",integrity
809,"Estimados señores, ¿cómo es posible que no se pueda instalar el app en un iPhone que se haya comprado fuera de Perú  si el número de teléfono es peruano",not_applicable
810,Estatal,not_applicable
811,"Que está pasando con la app, cuando uno tiene urgencia de transferir o de entrar a ver si estado de cuenta de falla, mejor estaba con la opción de móvil",not_applicable
812,Una verdadera tortura esta app de las peores que he visto,not_applicable
813,Estoy queriendo abrir la aplicación y no se puede desde hace 3 semanas,not_applicable
814,"No puedo ingresar a mi cuenta porque cada vez que le doy ""ingresar"" no pasa nada.",not_applicable
815,Se cierra sola,not_applicable
816,No sirve esta porqueria de app no puedo registrarme,not_applicable
817,No se puede abrir,not_applicable
818,Una basura de app,not_applicable
819,Cada más asquerosa la experiencia con esta app,not_applicable
820,No hay semana que la app no sufra algún desperfecto y no te permite ingresar. Todo lo del estado es pésimo.,not_applicable
821,"A pesar de que ya se afilió a la clave dinámica no deja transferir, nunca llega el codigo cuando quiero quiero terminar la operación, me obligan a ir al banco, q porquería de aplicativo",authenticity
822,No me deja actualizar mis datos :c,not_applicable
823,No. Reconoce el número de tarjeta,authenticity
824,No carga,not_applicable
825,Una mrd,not_applicable
826,Pésima la aplicación,not_applicable
827,Es la peor APP del sistema financiero...una desgracia...,not_applicable
828,Una app tan basura,not_applicable
829,Muy buena,not_applicable
830,No puedo ingresar crear mi cuenta no responde la apk,not_applicable
831,No abre la aplicación,not_applicable
832,No reconoce el número de mi tarjeta,authenticity
833,No entra la aplicación ptm,not_applicable
834,Llevo todo el día intentando abrir el aplicativo y siguen sin solucionar los inconvenientes.,not_applicable
835,No me abre la aplicacion,not_applicable
836,Podrían poner la opción de ocultar saldo por favor,not_applicable
837,"Me facilita algunas cosas pero es problemático que no me permita revisar mis movimientos después de finalizada la transferencia. Un día intenté revisar a que cuenta envié el dinero y no me permite, hice la transferencia y al momento siguiente ya no podía verlo.",not_applicable
838,"No sirve la app no se puede ingresar , sale que los datos son erroneos asi que solo queda entrar por internet",authenticity
839,No funciona,not_applicable
840,"No puedo entrar a la app, quiero transferir dinero y no me deja, ya estoy cansado, por favor solucioen eso.......................................................................................................................................................................................................................................................................................................................................................................................................",not_applicable
841,Es buena,not_applicable
842,"Si quieres saber cuan ineficiente es el Estado peruano, usa esta APP. La peor que he probado. Mi recomendación es que no la uses",not_applicable
843,No puedo abrir,not_applicable
844,Pésimo pésimo pésimo aplicativo no sirve para nada,not_applicable
845,Muy pésimo el aplicativo no sale mis movimientos más recientes,not_applicable
846,Pésima no se puede hacer transferencia en cualquier momento,not_applicable
847,"Terrible, no me deja no me deja transferir dinero entre otras cuentas , ni a Yape ni a Plin ni Interbancarias, la aplicación no responde.",not_applicable
848,No funciona la app desde 9 de noviembre 2024,not_applicable
849,No habré el aplicativo,not_applicable
850,No quiere instalarse en mi celular y no se el por que,not_applicable
851,No puedo ingresar hace más de una semana al aplicativo,not_applicable
852,el día de ayer y hoy intento entrar y se cierra sola. e intento varias veces y se cierra de manera inmediata. solucionenlo porfavor,not_applicable
853,"Buenos días señores del banco de la nacion está app estuvo funcionando muy bien con esta aplicación pude transferir de celular a celular pude Yapear,plinear pero en estos instantes estoy intentando yapear no puedo sale entidad de origen no disponible",not_applicable
854,De manera presencial es un asco y de manera virtual también,not_applicable
855,Deseo revisar mi datos y se sale sorpresivamente del aplicativo,not_applicable
856,Malísima muy mala la app es un tormento para ingresar,not_applicable
