ID,Comentario,Clasificacion_ISO25010
601,"La peor app, no sirve para nada Nunca para operativa el peor banco",not_applicable
602,Es una aplicación muy lenta y varias veces te indica que no se pudo concretar la operación y que se debe intentar en otro momento.,not_applicable
603,Pueden arreglar el problema de las transferencias? Llevo 2 días intentando y no puedo,not_applicable
604,"Estos dias está dando muchos fallos, pero un problema puntual es que al intentar transferencias a celular no salen otras opciones como PLIN o AGORA. Es como que se han borradobestas opciones cuando en dias previo todo estaba funcionando normal y estas opciones si aparecían",not_applicable
605,Sapo excelente,not_applicable
606,"Pésima, la App no permite hacer ningun pago, mal",not_applicable
607,"Pésimo servicio no se puede transferir, yapear ni mucho menos pagar con el QR todo mal",not_applicable
608,"Ma(, se cuelga la aplicación, una aplicación que te facilite las cosas, te hace perder tiempl",not_applicable
609,"Cada actualización más basura que la anterior, borren 👍",not_applicable
610,No me permite transferir.,not_applicable
611,"Llevo una semana sin poder realizar ningún tipo de operaciones, de mal en peor.",not_applicable
612,"Esta app, se volvió tan peri tan mala, que ahora no deja hacer ni una transferencia. No tiene función el toque digital. Pésima app.",authenticity
613,Pésimo servicio.,not_applicable
614,"La nueva actualización esta pésima, te rechaza cuando quieres transferir",not_applicable
615,"No puedo pagar por yape ,como antes y solo sale en estos momento no podemos atenderlo,por favor vean nueva actualización",not_applicable
616,"Doy una estrella, aunque quise no darle, porque es malisima la app, es lenta, las operaciones no se dan, mal mal mal",not_applicable
617,No funciona,not_applicable
618,"Se demora muchísimo en abrir la aplicación, también escribo bien la clave y sale incorrecta ,y con la nueva actualización no se puede transferir dinero rápido Todo demora mucho más",authenticity
619,"Tienen más usuarios y tienen una pésima app,super lento ,cuando pagan a los docentes se satura fatal,mejoren en eso por favor.",not_applicable
620,"Lentisima está actualización, la anterior estaba muchísimo más rápido, la pusieron peor. Despedidos esos ing.",not_applicable
621,Los servidores están lentos en todo momento.,not_applicable
622,"La peor aplicación de bancos que existe, se usa obligado por qué es del estado, no pueden mejorarla un poco por favor.",not_applicable
623,"Por qué tiene tantos problemas está app, en lugar de mejorar empeora, ahora ya no se puede enviar dinero por el celular tipo yape",not_applicable
624,Está teniendo problemas no carga la app,not_applicable
625,No funciona muy bien.token digital. He visto y/o uso otro aplicación de banco son muy diferentes respuestas de token digital es al instante y rápido. Además para afiliar no se puede hacer de la misma como los demás aplicativos de banco.,authenticity
626,"Pésimo servicio, porque si ofrecen algo no lo hacen bien, para eso, mejor nada",not_applicable
627,"Pésimo servicio, sus funciones nada que ver...",not_applicable
628,Se cae su línea,not_applicable
629,Por favor arreglen el apk ya no se puede hacer trámites ni movimientos el día de hoy que paso denos una solución a los usuarios que manejamos dinero en su entidad,not_applicable
630,revisen su app está un asco desde ayer y no deja hacer movimientos,not_applicable
631,"Naaa... no se si la app tiene fallas pero no deja generar nada, después de 1 intento te aparece como exedido y ya no te deja intentar nuevamente",authenticity
632,"La nueva actualización no permite realizar el depósito por teléfonos, además de que se demora en ingresar.",not_applicable
633,"Muy problemática la app. Presenta errores y no te permite realizar transferencias por número de celular. Entre la app de un banco estatal y uno privado, este último se la lleva de encuentro a pesar que el público tiene los fondos necesarios para ofrecer una app de vanguardia.",not_applicable
634,"Se pone buena y de hay cae, te pide permiso, que no permite hacer movimientos, una perdida de tiempo total desde tres día estoy en las mismas sin poder agilizar pagos porque la aplicación no permite hacer movimientos pésima",not_applicable
635,"Simplemente una porquería, un dolor de cabeza.",not_applicable
636,Es una porq siempre hay problemas para ingresar para transferir y peor para yape,not_applicable
637,Lugar de mejorar esta hecho una porquería siempre sale con errores,not_applicable
638,Uy lento muchas fallas y solo si van a ventanilla lo solucionan,not_applicable
639,Es una verdadera tortura este aplicativo!!! Para poder publicar debo darles una estrella pero no les daría nada.,not_applicable
640,"No se puede usar ninguna transferencia electrónica, simplemente no sirven y dan ninguna explicación",not_applicable
641,"Que paso con la aplicación, se puso lenta se hizo más pesada, con esta actualización del 19 de febrero 2025",not_applicable
642,"Hasta cuando vamos a esperar para tener confianza en la aplicación, siempre se cuelga para transferir.",not_applicable
643,"Hoy todo el día la aplicación presenta fallas, no se puede hacer ninguna operación",not_applicable
644,"No se puede realizar ninguna transferencia por banca móvil sale que no se puede realizar transacción, solucionen ese problema",not_applicable
645,No descarguen esta basura de aplicación se bugea a cada rato,not_applicable
646,Con la última actualización se ha puesto muy lenta y no me deja hacer transferencias a contactos,not_applicable
647,Lo an mejorado en poner QR pero la an malogrado porqe está demasiado lenta,not_applicable
648,Una porquería de app no deja hacer ningún movimiento,not_applicable
649,Pésimo servicio cada tiempo emprora,not_applicable
