ID,Comentario,Clasificacion_ISO25010
101,"Es intuitiva, pero agreguen el tóken digital. Ahorraría horas de tráfico y papel para llenar la solicitud del token para hacer operaciones en línea con un determinado teléfono.",not_applicable
102,Antes era mejor funcionaba todo conforme pero en últimamente cada rato sale actualizar cuando ingreso sale actualizar el aplicación de banco de la nación,not_applicable
103,"con cada actualización que pasa se vuelve más monse, siniquiera el CVV se puede ver y es algo que realmente hace falta.",accountability
104,Tiende a fallar,not_applicable
105,buena,not_applicable
106,"Banco de porra nunca tiene sistema, su aplicación nunca sirve para consultar saldos y menos para hacer tramites virtuales. Que sentido tiene tener aplicación si igual tengo que ir al banco qué igual nunca tiene sistema.",not_applicable
107,la app está pésima no llega la clave cuando quieres hacer yape o T.intb inmediata y después te sale operación no permitida es un desastre,authenticity
108,No me ds acceso a mi cuenta,not_applicable
109,"no puedo abrir la app me dice que mi teléfono tiene permiso root, qué puedo hacer?",not_applicable
110,"Señores programadores, van tomar en cuenta las opiniones?, hasta cuándo va seguir sin que llegue la clave digital en tiempo real, porque llega recién que salí de la aplicación y eso no puede ser posible, por favor si va ha funcionar bien está aplicación, deberían de una vez ver ese detalle, lo que se esta viendo, una aplicación que no sirve en esa opción; evitamos hacer cola en retirar y depositar en otro😡🤬",authenticity
111,por favor los responsables de la programación del banco de la nación por qué no puedo ingresar a la plataforma del banco de la nación por favor traten de solucionar este caso muchas gracias,not_applicable
112,bueno,not_applicable
113,totalmente pésimo la atención,not_applicable
114,últimamente la app inservible..muchos errores q no terminaría de escribir..,not_applicable
115,No estoy de acuerdo que anden cambiando actualizaciones muy seguido cada dos meses aproximadamente y ellos no me inspira confianza,not_applicable
116,Desde esta última actualización no puedo ingresar a la app porque pide activar servicios de Google no se porqué. Solucionen!!!,not_applicable
117,Demora en cargar,not_applicable
118,"De la nada me vota para actualizar contraseña, y no me reconoce la nueva, me bloquea, espero las 24 horas y resulta que vuelven a actualizar, y ahora me piden con eso de activar servicios Google... pésimo servicio.",authenticity
119,"De mal en peor en cada actualización que hacen, no se merece ni una estrella",not_applicable
120,más o menos,not_applicable
121,no abree,not_applicable
122,no habré me pide activar Google algo q no sirve no puedo hacer mis transferencias,not_applicable
123,cada vez se tiene que estar actualizando y el sistema falla muy mala calidad,not_applicable
124,"este aplicativo de banco de la nación no funciona bien, me pide permiso de roop cuando quiero consultar algo ya no acepta.",not_applicable
125,"Al principio estaba bien que se haya modernizado la app, con los depósitos por número de teléfono y QR, pero ahora esta feo que constantemente pide para actualizar la app y se llena mi memoria de mi teléfono, si no tengo espacio tengo que estar borrando algunos archivos, y si no actualizo no puedo entrar a ver mi estado de cuenta, que fea app.",not_applicable
126,"Limiten las actualizaciones Hay 2 por semana por lo menos, no deja usar la app",not_applicable
127,No me gusta k sale actualizar cada vez que quiero ingresar y es de un día a otro,not_applicable
128,"No me gusta, a cada rato pide actualizar el app",not_applicable
129,buena,not_applicable
130,todo bien,not_applicable
131,"acabo de actualizar el aplicativo y no me funciona la clave, dice k es incorrecto. Y tampoco me permite actualizar mi clave.",authenticity
132,pésima aplicación no ingresa a cada rato pide actualización,not_applicable
133,la aplicación está mala,not_applicable
134,muy lent,not_applicable
135,"ya no se pueden hacer capturas de pantalla, retrocedemos?",accountability
136,"cada día quiere q la actualicen, q barbaridad.",not_applicable
137,buena,not_applicable
138,"no puedo abrir la aplicación, me puede ayudar por favor",not_applicable
139,En vez de mejorar lo malogran lo bueno que tenía la app,not_applicable
140,"Muy Mala esta app, cada vez que desinstalo la app me obliga a ir a la agencia para hacer una cola de 1 hora y tramitar nuevamente mi afiliación, HOY FUÍ y me dijeron que ya estaba, en mi casa traté de sacar mi clave digital y NO ME LLEGA EL CODIGO DE AFILIACIÓN, ahora debo ir otra vez para reclamar eso!!! es una peloteada del infierno que hacen dar a sus clientes SEAN ADULTOS MAYORES y jóvenes.",authenticity
141,mala,not_applicable
142,porque no puedo entrar a mi cuenta en soles,not_applicable
143,solucionen ese problema de que no te llega la calve dinámica digital,authenticity
144,demasiadas actualizaciones,not_applicable
145,hay momentos que no responde,not_applicable
146,tengo problemas para instalar y no me dan respuesta,not_applicable
147,"No permite entrar a la cuenta, sale un mensaje de actualización de datos",not_applicable
148,como que al presente la App esta muy lenta y a cada rato pide actualizar y es aburrido xq aveces hay urgencias,not_applicable
149,"se ha mejorado, aun faltan algunas cosas como la biometria pero en líneas generales esta mejorando",not_applicable
150,No pasa cada se actualiza,not_applicable
151,todos los días pude actualización....😑,not_applicable
152,"con esta última versión que hice el 17 de junio, no he podido ingresar al aplicativo, he seguido los pasos y nada!!! ni por banca por internet",not_applicable
153,cuando actualizo no me permite abrir la aplicación parece que se congela. Y es incómodo porque a cada rato pide actualización.,not_applicable
154,cuando quiero transferir por yape me sale operación no permitida,not_applicable
