ID,Comentario_Original,Clasificacion_ISO_25010_2023
701,Muy lento,not_applicable
702,"La app es demasiado lenta al momento de plinear, además que se cierra automáticamente, cuando trato de plinear a algún contacto.",not_applicable
703,es una total decepción tengo problemas para activar el token digital no funciona me da errores ya tomé las fotos y sigue igual y que desagradable ir al banco por algo que no tiene sentido como activar el token digital que se supone que app es para que lo haga,authenticity
704,"horrible aplicación, se demora al ingresar, no es nada intuitivo y se cuelga mucho",not_applicable
705,"El lado bueno es que te presta seguridad con el cv dinámico, pero el plin es un asco, no carga muchas veces no envía o envía y no da la confirmación, a veces incluso se duplica el envío plin. Y lo peor de todo en un momento de emergencia que uno quiere realizar un plin, el plin no funciona. Un desastre más de una vez he pasado vergüenza.",integrity
706,no entiendo por que retienen mi dinero,not_applicable
707,cuando entro a plin se lentea y se demora mucho en ingresar,not_applicable
708,"No me gusta, si salgo de la aplicación y quiero volver a entrar la app no responde y se queda colgado. Reinicié el celular y nada, luego lo formateé y tampoco funciona como debe ser. Cuando llamé al banco me dijeron que debo cerrar todo para volver a usarlo pero no me parece la solución correcta. HAGAN ALGO PARA SOLUCIONAR ESTO!!",not_applicable
709,"Qué desastre, abre a veces, no se puede plinear, cada vez se pone peor.",not_applicable
710,estaba normal hasta que en un segundo decidió desconocer mi token y eso que hacia nada normal y envie por plin,authenticity
711,decepcion total con el aplicativo,not_applicable
712,malísimo,not_applicable
713,"Es pésima la app, no entra, tengo que reiniciar el teléfono para poder abrir la app.",not_applicable
714,carga y carga,not_applicable
715,un desatre esta aplicacion que hago es lo unico??,not_applicable
716,"no se completa la transacción, se retiene en cuenta pero no hace efectivo el abono",integrity
717,"la aplicación es mala para hacer seguimiento de tus movimientos, las retenciones no son iguales a lo que te cobran luego cuando es en dólares",accountability
718,malísimo está app no puedo crear mi token digital,authenticity
719,"para activar su token digital es un desastre, siempre te sale que tenemos un fallo de comunicación, el otro que no te llega el sms y que decir por el cajero automático también ocurre lo mismo.",authenticity
720,"optimicen mejor la aplicación, se traba demasiado con las animaciones innecesarias, háganlo más minimalista, como BCP o Yape",not_applicable
721,"no sirve eso de activar el token Digital, siempre da error,y uno tiene que ir al cajero, aprendan de Yape que rápido se activa con un selfie, pésima bbva",authenticity
722,"una verdadera mmmmmm, poco confiable, se cuelga no puedes acceder cuando más lo necesitas, complicada poco amigable, miren al frente, xq no hacen una similar al yape.",not_applicable
723,a cada rato piden activar el token esta porquería de app,authenticity
724,"No logro seleccionar mis contactos, cuando quiero hacer un Plim presiono contacto y aparece almacenamiento interno.",not_applicable
725,muy mal experiencia quise depositar 10 soles y altoque se lo cobro sin consentimiento ni nada todo por un mantenimiento que bueno que cambie de banco al bcp,integrity
726,"que app más ineficiente y mediocre, antes ingresaba normal, pero ahora cada vez que intento ingresar se queda cargando la app, ya tengo tiempo con mi celular Samsung A54, en verdad malisima app",not_applicable
727,pésima y horrible un estrés total,not_applicable
728,"maldita app de bando, nunca funciona por eso deje de usar esta tarjeta por esta app que todo falla nada funciona !",not_applicable
729,"la peor aplicación, se cae a cada rato no puedo pagar servicios, me lanza múltiples errores, me bloquea a los minutos de haber obtenido mi token digital.",authenticity
730,"Muy mala La experiencia, no emite el bauvher y el dinero enviado no llega al instante, queda como retenciones..",non_repudiation
731,Porque me quitan mi dinero 2 veces que se cae el Plim y se planea el doble y no te lo devuelven porque siempre se cae Plim tengan más consideración a las quejas que he mandado por llamado y nada te de vuelven no lo cancelaron la transferencia,integrity
732,"mañana mismo me cambio de banco y anuló mi cuenta, porquería",not_applicable
733,"una basura su app, lenta y no ayuda en nada cada vez que se quiere usar el plin demora o sale error el yape es mucho mejor app",not_applicable
734,"La peor app, se desactivar el token cada día y es realmente molesto, cambiense de bancobsi pueden.",authenticity
735,Siempre hay fallas en el programa,not_applicable
736,cobra mantenimiento,not_applicable
737,"La App corre demasiado lento, se traba",not_applicable
738,sus accesos son lentos,not_applicable
739,"tengo la tarjeta con QR, no me puedo afiliar, ya la escanee correctamente y lee la tarjeta luego pide el tipo y número de documento, y no avanza insistí más veces y sale error, busqué ayuda por medios digitales y su asistente virtual no ayuda para nada y solo hay atención por vía telefónica, no existe un canal de atención por WhatsApp o por algún medio escrito, esto es una gran discriminación para personas con problemas de comunicación oral.",authenticity
740,Es malísimo esta app la antigua era mejor x q pagabas bien tus servicios q mal BBVA además me fastidia q de rato en rato el token digital y no te responden .,authenticity
741,No me funciona bien es muy lento todo y me niega a entrar ami cuenta con mi propia clave y me hace perder el tiempo.,authenticity
742,"demora ingresar a la App, la cierro, abro, esta actualizada, pero no abre. Solo abre cuando reinicio mi celular",not_applicable
743,"La app esta fallando cuando hago yapeos no veo movimientos en mi cuenta para hacer transferencia demora mucho para plinear dice error, y x último la targeta debe ser bloqueada cuando el cliente no se acerque a su banco o llame para que se bloquee, pero el mismo banco ve que no entra dinero 2 meses y ya lo bloquean automáticamente no me gusta que bloqueen la targeta sin el concentimiento de la persona",non_repudiation
744,"Pésimo, acabo de abrir una cuenta y ni si quiera puedo afiliarme como nuevo usuario, no pasa de escanear la tarjeta y pedir la clave. Un día y ya me estoy arrepintiendo de ser cliente de este banco.",authenticity
745,"LA APP ES UNA TONTERÍA, Y NI HABLAR DE LAS TARJETAS, UN ROBO TOTAL. NO SE RECOMIENDA NINGUNA DE LAS TARJETAS DE ESTE BANCO, UN TOTAL ROBO DE DINERO Y LO PEOR AL FINAL DE PAGAR ESAS DEUDAS QUE SEGUN ELLOS TE EXPLICAN DESDE EL INICIO, TIENEN LA CARA DURA DE DECIR; ""TIENE UN SALDO A SU FAVOR DE 2 CENTIMOS, DÓNDE QUIERE QUE SE LE DEPOSITE""... DE VERDAD EL PEOR BANCO, CERO RECOMENDADO, SI SE PUDIERA DAR CERO ESTRELLAS LAS DARÍA, ESA ESTRELLA QUE SE LE DA ES PRÁCTICAMENTE POR OBLIGACIÓN.",not_applicable
746,"No me permite descargar la app,",not_applicable
747,bien,not_applicable
748,excelente👍,not_applicable
749,que fea esta aplicación no me deja ingresar para nada al aplicativo pongo la contraseña y me sale error de inicio o le cabio la contra y aun sigue saliendo asi que aplicativi tan malo ya me comunique con la banca movil y hasta ahorita ni una solucion,authenticity
750,esta hasta la weba la aplicación aún se demora en abrir,not_applicable
751,con esta última actualización ya no puedo acceder a mis contactos.,not_applicable
752,"Muy mala experiencia con la App, ya había activado mi token digital hace menos de un mes y de nuevo está que me pide reactivarlo. y el problema no es la seguridad sino la pésima inteligencia artificial que usan para validación por medio de biometría ,nunca válida nada siempre hay que ir necesariamente a un cajero para activarlo de forma manual. Lo cual se me hace un dolor de cabeza porque no puedes hacer ningún proceso sin un token digital.",authenticity
753,tediosa,not_applicable
754,genial,not_applicable
755,me cobran 10 de mantenimiento y no sirve cuando envían pagos cuando uno está pagando el mantenimiento,not_applicable
756,el envío de plin a otros bancos se cuelga cuando está haciendo la operación y no envía la notificación de recepción,non_repudiation
757,La experiencia de usuario es horrible. Por mí le pondría 0 estrellas.,not_applicable
758,"no puedo yapear, se queda colgado y no se puede es que los domingos no funciona yape aqui?",not_applicable
759,arreglen su webada no se puede activar la clave token,authenticity
760,"Que horror van 5 veces que intento abrir el app y no deja, no hay forma que me pidan mi dni x aquí.",not_applicable
761,"Uno tarda demasiado, dos, no puedo hacer una simple transferencia, se cierra la página constantemente. es un desastre de página.",not_applicable
762,"Hola, para informar que mucho se cuelga el app, tengo que estar reiniciando el equipo cada vez que quiero realizar una operación a pesar que tengo el celular de última generación. por favor solucionar este problema, por tanto solo le pongo una estrella.",not_applicable
763,a cada rato se desactiva el token muy por encima de eso falla en el acceso por conexion y no te deja activar tu token no toma las selfies y no lee la tarjera para activarlo,authenticity
764,"Maldición este banco esta destinado a desaparecer, primero cobran mantenimiento si no tienes un saldo mínimo en sus cuentas. Ahora ya ni permiten ingresar de ninguna manera a esta app. Siempre dice: Alguno de los datos es incorrecto, si solo tengo que ingresar mi DNI y clave de cajero 🤷🏻😤",authenticity
765,"últimamente tengo problemas con abrir la app, me obliga a reiniciar mi teléfono",not_applicable
766,pésimo aplicativo todos los días me pide que active mi token digital ya me impacienta hacer todos los días el tomen digital no me deja hacer con tranquilidad mis operaciones,authenticity
767,la app estaba fallando,not_applicable
768,Me cambiaré de cuenta sueldo a BCP muy mala experiencia en la app hasta se me comió plata 🖐🏻,integrity
769,"la app es muy lenta y el token se desconfigura a cada rato, la app no funciona por las madrugadas, mejornaplicacion es la del bcp y yape.",authenticity
770,"La app antes era rápida, luego se puso muy lenta a tal punto que pensé era mi equipo cel, ahora tengo un equipo mucho más moderno y la aplicación no funciona, para cada plin tengo que reiniciar el cel y nuevamente ingresar para hacer transferencias o plin, es una perdedera de tiempo, por favor mejoren. Gracias!",not_applicable
771,es super lento su interfaz para hacer pagos un total desastre demora un montón para procesar un pago tan simple super lento no les recomiendo ! pagos por plin ni transferencias esta app es un desastre año 2025,not_applicable
772,todos los meses me pide actualizar mi número de celular y hasta la fecha no lo arreglan llevo con este problema 8 meeses,authenticity
773,no puedo ingresar para afiliarme,authenticity
774,siempre se congela o no responde el app.,not_applicable
775,"cada que entro me pide de nuevo agregar el token, tengo que volver a tomar la foto de la DNI y de mi cara, que tormento",authenticity
776,de vez en cuando se traba,not_applicable
777,BASURA de app,not_applicable
778,me gusta la app pero el plim funciona muy lento. sería genial poder usar plim sin necesidad de entrar al banco y tener que esperar que avance,not_applicable
779,masomenos,not_applicable
780,"La aplicación está cada vez mal, no se qué está pasando con los apartados pero ahora resulta que no me permite ingresar y yo tengo dinero ahí por favor podrían solucionar el problema. Gracias",not_applicable
781,Un completo desastre!! Lo he tenido que instalar 5 veces para que recién me permita agregar la cuenta a Google Pay.... Nefasto servicio.,not_applicable
782,no quiere funcionar no me deja entrar Aver mis movimientos nada se queda congelado le desintale le volví a instalar no me deja entrar con mi contraseña esta orrible la aplicacion,authenticity
783,no permite acceder,not_applicable
784,no funciona mi app hace días,not_applicable
785,pésimo es un desastre el app,not_applicable
786,"la peor aplicación, no reconoce el código de la tarjeta y no te deja ver tu estado de cuenta",authenticity
787,informacion de los prestamos muy equuvocada,accountability
788,quiero pagar y no se puede porque carga y nunca termina de cargar y mi deuda de vence hoy. no me gusta esta app,not_applicable
789,Arreglen el problema de activación de token digital siempre hay errores con eso ya cansa 😡🤮🤮,authenticity
790,"No funciona bien. Ya estamos abril y el app en la opción ""mi dia a dia* solo nuestra información hasta el 19/03/25. Tanto en ingresos como en gastos. Lamentable, esta parte era de lo mejor que tenia y no funciona bien. Estoy considerando seriamente cambiarme a Interbank que tiene una opción similar y al parecer funciona de maravilla.",accountability
791,"Error imprudente pese a que se registro el numero de celular al activar el token. y ahora nos pide nuevamente reactivar donde se ejecuta los pasos necesarios que nos solicita la app, pese así nos bota error se efectua la llamada inmediata y tampoko nos da solucion. es increible esto que uno es de provincia ya que el banco no tiene sedes en todas las provincias. y lo que uno tiene que aser es viajar encima gastar su platita que se consigue con mucho esfuerzo para solucionar problemas tecnicos",authenticity
