ID,Comentario_Original,Clasificacion_ISO_25010_2023
101,"Deberían de seguir modernizado la app y también la página web. BCP e Interbank les saca muchísima ventaja ante la accesibilidad y la imagen, sus aplicaciones y páginas webs son más fáciles de entender y tienen mejor apariencia.",not_applicable
102,"Cambie de teléfono y ahora no puedo ocultar saldos con mano o cámara, no ingresa a la aplicación hasta que se reinicia, malisimo",confidentiality
103,plin,not_applicable
104,actualice la app hoy y se reinicia a cada rato,not_applicable
105,"Pésimo, no me deja entrar al App, tengo que reiniciar mi celular, muchos pasos para llegar a plinear",not_applicable
106,"no funciona , como es posible que un aplicativo de banco no funcione, todo el tiempo se queda cargando y no puedo pagar mis consumos con el plin , que también debería ser un aplicativo aparte",not_applicable
107,"Tengo problemas para ingresar a la aplicacion, y ahora no puedo activar mi token digital ni con la tarjeta ni mandado fotos de mi DNI una porquería de aplicación, por eso Interbank es mejor",authenticity
108,pésima aplicación .. no se puede ingresar,not_applicable
109,Es un app pésima me pide que active el toquen digital lo activo y se cuelga y no puedo usar Plin porque pide toquen digital,authenticity
110,"No me deja iniciar sesión, dice error!!🙂🙂",not_applicable
111,"el peor de todos los aplicativos de banco, siempre se cuelga, necesitas pagar algo y de pronto ya no te permite nada, el saldo siempre visible y todos a tu alrededor lo pueden ver, la distribución del menú es insoportable, no tengo NADA BUENO que decir de este aplicativo. por culpa de esta app creo que voy a cambiar de banco. MALÍSIMO MALÍSIMO MALÍSIMO",confidentiality
112,una aplicación muy pésima desde la actualización y muy pésimo muy lenta no activa no Token no sirve prácticamente para nada el peor aplicativo de mi vida durante años fui fiel a BBVA pero ahora me cambio no puedo hacer transferencia nada prácticamente no se puede trabajar gracias,authenticity
113,"estoy teniendo muchos problemas con el aplicativo, super lento, no se puede hacer transferencias y no puedo activar la opción de Plim",authenticity
114,"No puedo activar mi huella, cambiar contraseña, ni activar Plin, tengo días intentándolo y siempre sale un error que dice que lo intente luego, una desgracia.",authenticity
115,"una mejor optimización y más fluidez, con tiempos de carga molestos",not_applicable
116,lenta,not_applicable
117,"Muy pésima, no me muestra las opciones más básicas, como la descarga de EECC, es muy lenta, confunde su interfaz, etc. Gracias",not_applicable
118,"pésimo, me cobraron por error 500 soles de multa q ni figuraba en mi estado de cuenta, simplemente no cuadraba porq el monto final era mayor y quise cancelar mi tarjeta y no quisieron, me derivaban de área en área supueatamente para pasarme al área de cancelación pero el área q me contestaba no era de cancelación, enormes transfieren su llamada a cualquier área? para q finalmente me corten la llamada, no lo recomiendo!",integrity
119,por q se ISO así la app desde q lo actualice no puedo ingresar a mi app,not_applicable
120,Ayuda con qlq nueva actualización no me permite activar mi token,authenticity
121,se ingresa y se queda cargando.,not_applicable
122,Es un porquería la actualización no ouedo ingresar ya días,not_applicable
123,Buen día. con la última actualización de julio 2025 mi historial de movimientos sale solo hasta el 2024. Lo de este año se borró. Nada de lo hice este año y sigo haciendo figura. Favor reparar eso. Gracias.,accountability
124,"la app no funciona, se tiene que reiniciar el celular para su funcionamiento.",not_applicable
125,pésima app,not_applicable
126,"pesado. muchas mensajes publicitarios, devora datos.",not_applicable
127,sigue sin funcionar,not_applicable
128,últimamente pésimo,not_applicable
129,está horrible totalmente lento y no puedo transferir a otros bancos antes estaba mejor arruinaron con esta nueva actualización,not_applicable
130,"Pésima aplicación cuando necesito ingresar, se queda colgada en la pantalla de carga",not_applicable
131,"Pésimo, llevo días sin poder hacer transferencias o Plim, la aplicación no carga, se cuelga y se cierra.",not_applicable
132,pésimo con las actualizaciones,not_applicable
133,me parece útil pero cuando uno gasta y quiere ver su monto total de lo que uno tiene lamentablemente hay que buscarlo por que el monto de lo cual uno tenía antes sigue apareciendo aunque ya se retiró de la cuenta,integrity
134,"Ya es la 2da vez que se desconfigura y me pide activar mi token. No sé pasen pues, encima su activación por DNI y reconocimiento fácil es una porquería, uno tiene que perder su tiempo yendo a un banco.",authenticity
135,bien,not_applicable
136,desde que actualice al app hace unos días no. me permite transferir me salio activar el token lo ise y a cada rato lo mismo pésimo servicio 😡,authenticity
137,cuando uso Plin para yape .el yapeo se asu doble que arreglen eso porfavor gracias,integrity
