ID,Comentario_Original,Clasificacion_ISO_25010_2023
901,"Pesima, malisima, no se puede cambiar algunas configuraciones como ""montos minimos y maximos"" de las operaciones. Se cuelga mucho. Realmente un engaño, no deberian de esperar mas tiempo en cambiar de plataforma. Y la persona que contesta las calificaciones siempre contesta lo mismo, creo que hace un Copy Page a todas... No hay seriedad??? Deja mucho que desear.",resistance
902,"La última actualización ha tirado por la borda todo lo bueno que tenía la anterior versión. La de ahora tiene un diseño poco intuitivo, feo, y encima es más pesada. No entrega valor al cliente. Al contrario, quita todo el valor que entregan la anteriores. ¿Por qué hacer tal cambio si podían seguir haciéndose pequeñas mejoras en la versión anterior?",not_applicable
903,"Me gustaría que cada vez que se produzca un error, la app muestre el por qué del error para ver cómo corregirlo. Por ejemplo traté de transferir un monto y me daba error, cuando lo hice por la página me indicó que el error era por exceder el monto diario de transferencia. También deben corregir las acciones de deslizamiento.Cuando realizo una operación deslizo hacia arriba para que aparezca la opcion de compartir el voucher y al deslizar muy rápido,la app lo interpreta como salir de la operación",accountability
904,"Hasta hace 1 semana todo bien con la app, pero con esta última actualización veo menos amigable la interfaz y me acaba de ocurrir un error que antes no me pasaba, hice una operación y me salió error al validar con el token, así que la volví hacer, pensando que era por qué recién había vuelto a prender mi tarjeta que estaba apagada, y resulta que la primera operación si se hizo y obvio la segunda también. En fin, escuchen a sus consumidores y mejoren está actualización.",integrity
905,"Pésima, no reconoce plin, no reconoce el token digital así este prendido. Hay que eliminarla e instalarla nuevamente para que funcione una sola vez. Todo el tiempo sale error y no hacen nada para arreglarlo; encina cada vez dependemos de la app para realizar mas operaciones. Era una de las mejores apps pero ahora es la peor; esto solo ocasionará que pierdan clientes.",authenticity
906,"LA PEOR DE LAS APPS DE BANCOS. Realmente malísima, poco práctica, demasiadas ofertas y ventanas de servicios que dificultan la navegación y la realización de operaciones. El resumen de operaciones de PLIN, horrible, se procesa después de 24 horas y el resumen es el mismo para todas las operaciones, no te indica nada. Realmente la peor de las experiencias en banca mobil.",non_repudiation
907,"Desde que actualizaron el app, este paso a la categoría de ""app basura"", la aplicación no permite enviar dinero, hacer pagos y cosas similares... además de pedir a cada inicio la activación del token digital y no permitir la activación de seguridad por huella digital, definitivamente es un producto que el que ya no deseo contar, a ver si en estos días saco mi dinero y me voy con cualquier otro banco que no presenta este tipo de problemas.",authenticity
908,"Una de las Aplicaciones más invasivas ya tengo suficiente de anuncios por todos lados, aparte de la lentitud con la que se ejecuta teniendo en cuenta que muchas veces se cuelga y cuando quieres volver a realizar la operación...está ya se había realizado sin darte constancia alguna de la misma, pésima realmente. El tema de la seguridad le pongo estrellas en negativo cualquier delincuente puede activar tu cuenta y con token digital. Cuando te des cuenta ya dejaron en cero todos tus ahorros!!!",authenticity
909,"aparece un icono con la información q está actualizando su app para una mejor atención aceptas la actualización , por que no te queda de otra para tratar de acceder a tu cuenta, y no hay cuando se actualice demora tanto q sales del app. Intentas ingresar otra vez y la misma historia . Al final te quedas sin poder pagar tus cuentas",not_applicable
910,"No recomiendo que la bajen, si no tienen su token activo. La app simplemente no sirve, espero por el bendito código vía SMS y nunca llega, solo utilizo la app para consultas y ni eso puedo hacer. Más rápido es usar el Chrome antes que bajar la app. No se si la última versión sea mejor o peor, pero al no poder hacer nada, simplemente me indica que es un gasto innecesario de datos y tiempo para descargarlo.",authenticity
911,"Hola, esta nueva actualización esta más lenta que la anterior, también se cierra derrepente en medio de una transferencia y es muy molesto, adicionalmente hay anuncios que aparecen repetitivamente cuando ya los habia cerrado, presiono alguna opción y vuelven a aparecer, por otro lado, el uso de la huella digital me pareció interesante. La verdad estaba muy cómoda con la versión anterior, mejoren esta nueva por favor.",not_applicable
912,"Es increíble que ya va a ser 2 meses que no puedo utilizar esta aplicación, desde la actualización que hice ya ni carga a la ventana.. Vengo desinstalando e instalando y nada ¿que le paso?? No carga para nada y leo cada comentario y por mas que ingreso a su web no me ayuda de las operaciones que podía realizar a través de la app, espero y lo puedan solucionar",not_applicable
913,"Pésimo ....cuando intento llenar mis datos y cambiar mi clave en el app que descargue me dice: se ha producido un erroorrrrr que barbarie después de intentarlo uno y mil veces . Modiquuen su app , háganlo más útil y evitemos las perdidas de tiempo que por ello necesitamos de ello el app para no salir de casa y gestionar todo desde ello. Pésimo servicios!!🤨",not_applicable
914,Han pasado 5 meses y sigo con el mismo problema . Lo peor es q les he enviado correos al soporte tecnico y no dan respuesta he llamado y no me dan solución siempre dicen q es culpa de la red del operador. Que mal q no puedan resolver este problema en ganto tiempo y culpen al operador de sus errores. (Desde q actualizaron esta app no puedo ingresar a mi cuenta me vota error ingresó demasiadas veces su clave. Y lo peor es q en banca telefónica no pueden solucionarlo xq no tienen ningún mensaje de falla en su sistema. Que mal que en vez de mejorarla la hayan malogrado.),authenticity
915,"Tengo problemas con la app. Realizo todos los pasos para transferir dinero pero después del Token me sale un aviso que dice que se ha producido un error. Lo he intentado varias veces y el resultado es el mismo. No me digan que desinstale e instale. La actualización es automática. Pueden resolverlo ? Este es otro reclamo anteri No funciona del todo. Puedo pagar el móvil pero no el teléfono fijo ambos de Movistar. Tampoco puedo pagar la luz, aquí en Arequipa es Seal intento y no pasa nada.",authenticity
916,"Cada vez de mal en peor, no se merece ni una estrella. Me cobraron comisión de mantenimiento aún teniendo un saldo superior al requerido para lo del mantenimiento, pero al hacer un ma transacción me hacen el descuento. Están robando demasiado. Antes era mi primera opción pero ahora solo quiere lucrar con lo poco que tenemos. No puedo ponerle 0 estrellas porque no se puede. Ojalá vuelvan a ser como antes y no se aprovechen de sus clientes, sino tendré que cerrar la cuenta definitivamente.",not_applicable
917,"Buenos días, ayer recién se actualizó la app en mi celular y me dí con la sorpresa que el ícono de la aplicación ya bo está en la pantalla, tengo que ingresar por el play store, eso es el primer problema; no sé si debo desinstalar la app y volver a instalarlo y poder utilizarlo, se supone que debería ser más dinámico. Buenas tardes, deseo presentar un reclamo y no hay la opción para ello. La app no está funcionando, la pantalla en blanco y cuando logro ingresar no se puede usar plin",not_applicable
918,"Me sale DATOS INCORRECTOS, pero todos los datos están correctamente digitados!!! este error ya lo he tenido años atrás y no me dieron solución y esa fue la razón para irme a otra entidad Bancaria, después de años regreso y me doy con la sorpresa. Sin APP no se puede mantener una cuenta porque no puedo gestionar mis operaciones. Espero una SOLUCION.",not_applicable
919,No es una app funcional. La plataforma es confusa y poco amigable cuando se debe hacer algún pago. También es pésima la manera en cómo establecieron el vínculo con lukita y plim. En muchas ocasiones no pude lukear y tampoco acceder a transferencias por plim. Como usuaria es una de las peores experiencias comparando con apps de otros bancos.,not_applicable
920,"Esta muy lento, tengo que cerrarlo y volver a entrar para que funcione, a pesar que no tengo pendiente actualizaciones",not_applicable
921,"PÉSIMA ACTUALIZACIÓN. Ya van a ser 6 semanas sin solución. Cambié de aparato celular fines de agosto y la App no funciona pues falla el reconocimiento de huellas. He seguido repetidas veces sus pasos de borrar datos, eliminar huellas desinstalar y volver a instalar la App y volver a enrolar huellas y nada de nada. 2 veces me han respondido lo mismo en su correo de respuesta de soporte. Otras Apps funcionan normal las huellas es únicamente la App del BBVA la que falla.",authenticity
922,"Sin querer acabo de actualizar la app, y no me agradó en lo absoluto, totalmente confusa, no me ayuda en nada, si comparamos con la versión antigua, la prefiero mil veces. Lamentablemente no han avanzado, siempre es bueno un cambio, pero este no fue el correcto, sería ideal que volvieran al clásico.",not_applicable
923,"No puedo ingresar a la app, me sale mensaje: ""La cuenta selecionada no esta relacionada con Cuentas pre-inscritas segun convenio de afiliación"" Ya he llamado 3 veces para que me expliquen el motivo o me ayuden a solucionar pero nada me dijeron que me llamarían y hasta hoy no recibo la llamada, tambien he mandado el correo y aun no me responden. Llevo 2 semanas tratando de que alguien de soporte me ayude.",not_applicable
924,"BUENOS DIAS, HAY PROBLEMAS CON EL APP, CADA VEZ QUE QUIERO PLINEAR Y ENTRO A MIS CONTACTOS SE SALE DEL APP Y TENGO QUE VOLVER A INGRESAR, PORFAVOR TENER EN CONSIDERACIÓN ESTE RECLAMO, GRACIAS",not_applicable
925,"Lamentablemente, la nueva versión de la aplicación no es nada amigable para el usuario. Es mucho más compleja y desorganizada que la anterior. Por ejemplo: antes para hacer transferencia a otras cuentas del mismo Bbva no se solicitaba el CCI. Ahora, sí te lo exige. Además, antes para el pago de servicios la aplicación los clasificaba previamente ahorrandote tiempo en la búsqueda. Lo que más llama mi atención es que por transferir a cuentas del mismo banco estén cobrando altas comisiones.",not_applicable
926,"La aplicación está muy mal no se puede realizar transferencias, ni pagos de servicios, te sale una imagen donde indica que ha habido un error todo el tiempo, la anterior versión no era tan atractiva pero funcionaba rápido y no había problemas con la clave digital, antes de ayer quise realizar una operación y hasta ahora sigo esperando la clave, no llego nunca al celular, realmente está muy mala la aplicación.",authenticity
927,"Pésimo, la app suele ser muy lenta y el Token Digital se desconecta por si solo constantemente. He Vuelto a entrar DESPUES DE 1 MES Y SOLO PIDEN EL DNI O CORREO. ENTIENDAN QUE PROBLEMA ES QUE CON SU MISMA APLICACION INÚTIL. SI SON UNA EMPRESA VIABLE, CREEN BUENAS PLATAFORMAS, DE LO CONTRARIO, NO LO HAGAN! MUY MAL EL SERVICIO LA VERDAD -1000/ 1000",authenticity
928,"De todas las apps que tengo de bancos, ésta es la más desorganizada que hay, en todo y para todo sale retenciones, los nombres no coinciden con los consumos y todo está revuelto, no se sabe exactamente a qué hora se hizo el consumo, etc. Yo no entiendo por qué no detallan los consumos tal cual son y crean un montón de confusiones que al final uno no se da cuenta si te están robando o no o cuando saldo tenías y si ha habido algún extono indebido porque simplemente solo se puede ver el total.",accountability
929,"24/7/22 Fue mi ultima opinión sobre su app BBVA, sin embargo hoy casi 3 años después, sigo manteniendo mi opinión y se quedará así por la nefasta plataforma de APP, que no es nada amigable, no es nada optimo, nada profesional. Cuánta falta de criterio, de creatividad, de capacidad de resolución de problemas existe en su ""actualización"", sinceramente como no han logrado cambiar nada, prefiero irme al Interbank, gracias, idiotas.",not_applicable
930,"Sigue con problemas esta aplicación, hasta el año pasado estaba perfecta pero no sé qué tipo de programadores contratan qué cada cosa que mueven o tocan la deja inservible, por ejemplo ya no se puede hacer pagos con plin se queda colgado, o cuando se inserta la clave SMS la aplicación se cierra, las versiones anteriores estaban mejor, ya dan ganas de pasarse a otro banco que haga mejor las cosas",authenticity
931,"Antes era un app súper accesible pero cada dia lo hacen más complejo a tal punto que uno pierde el tiempo tratando de realizar cualquier transacción así sea plin, incluso para habilitar el propio app uno debe comunicarse vía telefónica para que lo autoricen pese a qué se uso el mismo celular y el mismo número, y más aún cuando ya se tiene grabado el uso biométrico... En plena era digital donde la plataforma debería ser un solucionador es más un problema para el usuario.",not_applicable
