ID,Comentario_Original,Clasificacion_ISO_25010_2023
2101,"La verdad que decepcion, yo tenia fe en esta app, desde el día ayer no me deja ingresar a mi cuenta, estoy así todo el día tratando, tratando y nada, ya no se que mas hacer para que el aplicativo me funcione, lo elimine y lo volví a instalar y aun así no me deja entrar, espero una solución, lo mas antes posible",not_applicable
2102,"Es increíble que lleve dos días intentando hacer una transferencia y no logre hacerlo, el único mensaje que sale es ESTE SERVICIO NO ESTÁ DISPONIBLE, además de ello se demora en abrir y cargar el app. Espero lo puedan solucionar a la brevedad posible.",not_applicable
2103,"Pues está aplicación no me funciona muy bien ya tengo mucho tiempo con este problema que cuando ingreso mi clave , se abre la app y al toque( segundos ) se cierra y me dice que para activar el toque y supuestamente se enviara un sms pero nada. No puedo realizar nada con esta app.",authenticity
2104,"Pésima app. No me permite transferir a otros bancos, la compra por Internet está bloqueada, cuando intento cambiar la opción, no me permite, siempre sale la notificación de error comunicarse al número.... pero llamo y las opciones no tienen nada que ver con lo que quiero saber",resistance
2105,"La aplicación actualizada es un asco, es verdaderamente lenta y tediosa, no es facil de usar ni intuitiva, tiene muchos anuncios que obstaculizan realizar movimientos o ver tus cuentas. Deberian facilitar el uso no complicarlo. Mal, les doy 1 estrella pero no quisiera darles ni una.",not_applicable
2106,Pésimo desde la actualización se queda en estableciendo conexión y de ahí no pasa y la solución que te dan es que instales o actulizes el Web view del sistema Android lo cual todo el mundo sabe que esa herramienta de Google malogra más el teléfono osea pasas de un problema a otro problema que mal toca cambiarse de banco.,not_applicable
2107,"La versión anterior tenia las promociones en una sola sección, ahora aparecen abajo de cada producto lo cual satura de anuncios a la aplicación. Además en la opción pagar servicios ya no hace la consulta del monto a pagar, lo cual era de utilidad para verificar el monto total del servicio antes de pagarlo. Pueden habilitar nuevamente esa opción? Gracias",not_applicable
2108,Desde hace una semana no puedo ingresar a mi app por que cuando ingreso dice estableciendo conexion segura y nunca ingresa e desinstalado mas de 10 veces y no se soluciona. Ingresé de otro celular y me pide tomar foto de mi dni y selfie para el token y sale error. Definitivamente que pesima actualizacion.,authenticity
2109,"Terrible la actualización, no puedo hacer movimientos interbancarios, elntoken digital se ha desactivado con la actualización y no veo forma de volverlos a activar, no se identifica donde están las opciones para realizar pagos, etc, pésimo la actualización",authenticity
2110,"No pasa nada con esta app ya me pide mis datos y clave y todo para que al final me diga que a ocurrido un error y q intente nuevamente ya mas de una semana intentando y hasta ahora nada, muy mala la app... si lo intento y lo intento y me sigue saliendo ocurrió un error ya mas de 2 semanas intentándolo",not_applicable
2111,"La version anterior era mas eficiente, en mi caso esta nueva App no me permite hacer ningun movimiento x las noches simplemente se cuelga. Ademas no puedo ver el historial de mis cuentas de meses pasados .solo de los 3 meses recientes. Me obliga a ir a plataforma a pedir esa informacion y las colas son inmensas .",not_applicable
2112,"Estoy teniendo problemas al hacer mis transferencias, no me permite confirmar ni con huella digital ni con token digital. Quiero activar el token digital porque de un momento a otro se desactivó y me sale que en éstos momentos no puedo hacer eso. Así estoy desde ayer.",authenticity
2113,"Pesimo BBVA, no puede ser q cada vez q hagan una actualizacion se tenga q desintalar y volver a instalar la app, sino no funciona la aplicacion y no puedes realizar ninguna operacion. Al final uno pierde tiempo, ademas q ya me di cuenta q la aplicacion se cierra cuando quiere y no te deja terminar la operacion.",not_applicable
2114,"Está pésima la nueva actualización, me realizan depósitos y no veo el último retiro que hice y sin embargo mi saldo actual aparece menos del último depósito sin que supuestamente haya retirado, eso generará muchos problemas con el público en general y sobretodo a si alguien le clonan no se dará ni cuenta que le están retirando su dinero, solucionen ello urgente o que regrese como era antes el App",integrity
2115,"Odio la actualización, ahora tengo que instalar otra aplicación por cada entrada que ya estaba en la versión antigua, es decir, ahora necesito existe una aplicación para lukita, wallet, etc. Es más difícil de entender, mi papá con las justas entendía como funcionaba, ahora me dice que no lo entiende nada.",not_applicable
