ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
2701,"Es la peor app de banco que tengo. No entra rápido, se cuelga, pide actualizaciones para que luego no puedas entrar, el último mensaje que sale es: ""Hubo un error, vuelva a intentarlo...",not_applicable,"Problemas generales de rendimiento y actualizaciones"
2702,"No es amigable, uno 1ero quiere ver saldos, 2do quiere ver las operaciones últimas (no las encuentro). Está diseñada desde el punto de vista del banco, pero no del cliente q es la razón de ser.",accountability,"No encuentra operaciones últimas - falta de información de transacciones"
2703,"Esta fallando en mi celular galaxy s10+ desde la ultima actualización que hicieron. Ya van varios dias con esa falla y es imposible entrar a ver la cuenta... actualizen y arreglen eso porfavor!!",not_applicable,"Incompatibilidad con Galaxy S10+ post-actualización"
2704,"Pésima app desde que lanzaron la última actualización, antes ingresaba normalmente, ahora aparece un mensaje que dice que mi sesion a finalizado y que intente nuevamente, asi en un ciclo interminable.",authenticity,"Sesiones finalizadas en ciclo infinito - falla de autenticación persistente"
2705,"Desde que se actualizó la app presenta problemas. Incluso curiosamente no puedo transferir ningún monto a mi cuenta scoti desde mis propias cuentas de otros bancos, un problema para todo definitivamente.",integrity,"Imposibilidad de transferir desde cuentas propias de otros bancos - bloqueo incorrecto"
2706,"Hola, hasta unos días no tenía problemas para entrar a la APP, hoy que deseo ingresar a la app cuando me dicen que me van enviar mi clave digital mediante mensaje de texto a mi número celular el mensaje no llega nunca, me comuniqué al número del banco y me indicaron que tenían problema con el envió de mensajes al operador ENTEL y que por la tarde ya estaría solucionado el problema pero hasta momento no puedo entrar a la app por que nunca llega el mensaje de la clave digital, por favor solución",authenticity,"Falla confirmada por banco en envío de claves digitales a ENTEL"
2707,"La app por dentro es muy buena, sin embargo esta saliendo muy seguido el aviso de ""error en la aplicación, intente mas tarde"" cuando uno quiere acceder.",not_applicable,"Errores frecuentes de acceso"
2708,"Es una de las peores aplicaciones, en la noche por lo general siempre hay error para ingresar a la app y ni hablar de plin que si tienes suerte te carga. Pésimo servicio.",not_applicable,"Errores nocturnos sistemáticos"
2709,"Es la 3ra vez q me obligan a actualizar el app , tengo una emergencia y no puedo transferir por esta bendita restricción, dejen de jugar con el tiempo de sus clientes por favor!!",not_applicable,"Actualizaciones forzadas impidiendo transferencias de emergencia"
2710,"No me permite acceder al aplicativo, me muestra mensaje de hubo un error en la aplicación. He reintentado varias veces y el mismo resultado....",not_applicable,"Error persistente de acceso"
2711,"Buenas tardes él apps no funciona sale. ..Dónde dice por muchos intentos se bloqueó. Estuve hoy en una plataforma del Banco scotiabank. Dónde la srta que me atendió tampoco pudo activar el apps por favor quiero una solución.",resistance,"Bloqueo por intentos cuando empleada del banco tampoco puede activar - falla del sistema"
2712,"Pésima, a cada momento sale ""error en la aplicación, intente más tarde "" . Y eso dura todo el dia, la desinstalar por ineficaz!!!!",not_applicable,"Error persistente todo el día"
2713,"Tengo un problema ya hace meses. Desde que cambié mi teléfono porq me asaltaron ya no puedo acceder a la web de scothiabank y no puedo administrar mis cuentas porq me pide la clave de internet. Llame al banco mismo me dijeron q se activaría mi cuenta si ingreso la tarjeta al cajero , eso hice y nada que se soluciona. En mi teléfono nuevo puse la opción de cambiar clave le seguí los pasos que me indican y al final me sale error de número de tarjeta. Como es eso posible. Necesito ayuda inmediata..",authenticity,"Error persistente tras cambio de dispositivo por robo - instrucciones del banco no funcionan"
2714,"Desde rendimiento que actualizaron la aplicación no puedo ingresar, he realizado todos los pasos que solicita al final indica que hay un error en la aplicación y que iré más tarde",not_applicable,"Error post-actualización tras seguir todos los pasos"
2715,"También tengo problemas con la app, siempre sale el mensje que hubo un error. Espero y se solucione pronto porque la app es muy útil e indispensable.",not_applicable,"Error persistente reconocido como problema generalizado"
2716,"Con cada actualización la app empeora. Cada que quiero ingresar me sale que no hubo un error en la aplicación y que intente luego. Siempre pasa lo mismo.",not_applicable,"Regresión funcional con cada actualización"
2717,"La app está que falla últimamente te sale hubo un error en la aplicación vuelve a intentar más tarde espero que lo puedas solucionar ese problema que viene afectando",not_aplicable,"Error recurrente afectando a múltiples usuarios"
2718,"Aplicativo regular, el tema de plin funcionaba bien, ahora ya no puedo ingresar, varios meses, he llamado al banco ningún resultado, desinstalé la aplicación muchas veces y nada",not_applicable,"Pérdida de acceso por varios meses sin solución del banco"
2719,"Pesimo, el app muy lento, y ni hablar del plin, muchos erres, presente una queja por que me enviaron un plin y luego a la siguiente semana que me depositaron el sueldo, me descontaron lo del plin, diciendo que ese dia presento errores el aplicativo, asi que me descontaron ese plin, presento mi reclamo y me dicen despues de 15 dias habiles se vera mi caso, pregunto como puedo evitar que estos errores me pasen en un futuro por que me perjudican, y me dicen que son incidencias que no se puede evita",integrity,"Descuento de Plin tras errores del aplicativo con reclamo de 15 días hábiles - pérdida financiera"
2720,"La aplicación ha dejado de funcionar desde la última actualización de Android, pensé que reinstalando se superaría el error, pero no, no funciona.",not_applicable,"Incompatibilidad con actualización de Android"
2721,"Pésima aplicación, no se pueden hacer transferencia en cualquier momento, no cargan los contactos, la peor experiencia... Bcp movíl y caja Piura son mejor",not_applicable,"Comparación negativa con BCP móvil y Caja Piura"
2722,"Los desarrolladores deben de quitar esa opción que nose puede usar el APP con usuario ROOT ACTIVO, uno es libre de hacer con su teléfono lo que desee, mientras que otras identidades esa opción no es restringida.",resistance,"Restricción excesiva en dispositivos rooteados comparada con otras entidades"
2723,"La peor experiencia. No funciona el app, no sale el listado completo de servicios a pagar y en la web tampoco funciona el homebanking. Tengo empresa y estan perjudicandonos.",not_applicable,"Listado incompleto de servicios a pagar - afecta operaciones empresariales"
2724,"La app es lo peor cada vez que quiero ingresar sale error y tengo que instalar y desinstalar a cada momento es un asco de aplicación de verdad deberían hacerle cambios pero ya!!! Porque es lo peor que hay",not_applicable,"Necesidad de reinstalación constante para acceso"
2725,"No se que paso a este apli activo del Scotiabank hasta el día sábado estuvo bien desde ese día no abre el aplicativo quiero enviar plin y/o transferir no puedo por que no abre me dice"" ERROR ESPERE UN MOMENTO"" como es el problema es el aplicativo o .I celular??? . Acabo de desinstalar y volví a instalar y lo mismo. Necesito una ayuda.",not_applicable,"Disfunción súbita desde día específico"
2726,"Se actualizo el 17 de set y veo menos opciones. Como que por hacerla mas ligera quitaron la facilidades que tenía. Vamos para atras.",not_applicable,"Pérdida de opciones y facilidades tras actualización del 17 de septiembre"
2727,"Pésima app, cada rato sale error de aplicación justo en los momentos que uno necesita. No hay nada comparado al app del BBVA que es super rápido. . Espero mejoren.",not_applicable,"Comparación negativa con BBVA, errores en momentos críticos"
2728,"Hace instante me descargue la aplicación y me pidió todo mi numero de tarjeta mi contraseña de cajero y me sale que no me puede atender!!! Pufff que aplicación mas inútil es esto uno descargar para que le sea útil no para sea una estorbo pufff mejoren más su servicio banco scotiabank.. 15/06/20 siendo la fecha de hoy día el app no abre bien demora y es muy lento y aparte de indica que sale error en el app y así no me sirve para eso. Requiere un aplicativo efectivo y eficaz. Traten de arreglarlo",not_applicable,"Falla inmediata tras registro con datos correctos"
2729,"Hubo un error en la aplicación vuelve a intentarlo más tarde, todos los días veo ese mensaje, por favor inicien un mantenimiento de la aplicación, ese error me está cargando no me permite transferir mi dinero app de @#$&(&",not_applicable,"Error diario persistente impidiendo transferencias"
2730,"Todo estaba bien hasta la última actualización que ya no permite ingresar y se cierra inesperadamente siempre, al parecer en Android 10 no funciona",not_applicable,"Incompatibilidad con Android 10 post-actualización"
2731,"Esperando que los usuarios a través de sus comentarios indiquen que la última versión funciona correctamente. O que los desarrolladores de la app indiquen que todo funciona bien. 👍🏼 Hasta entonces no actualizo",not_applicable,"Usuario esperando confirmación de funcionalidad antes de actualizar"
2732,"La APP se sigue actualizando y todo chevere..... Pero hoy día hice compras antes de las 00:00 del día 14/07/19 y llegando a casa habro el app para revisar mis movimientos y me salen con fecha todo del 15/07/19, eso un problema gravisimo por que confunde al que no esta informado. Arreglen ese problema con urgencia. Gracias",integrity,"Fechas incorrectas en transacciones - problema temporal grave"
2733,"He actualizado la app y cuando selecciono tarjeta de crédito y borrar compras con puntos, me aparece un mensaje que ""no cuento con puntos suficientes"", a pesar que calculando si podría.",integrity,"Cálculo incorrecto de puntos disponibles"
2734,"La aplicación es una desgracia a cada rato sale el mensaeñje de documento invalidado o clave invalidado. A pesar que son los datos correctos.. desde hace 8 o 9 meses es la peor app bancaria.",authenticity,"Invalidación de documentos y claves correctas por 8-9 meses"
2735,"Esta fallando TERRIBLE.... cada que necesito hacer una transacción tengo q desinstalar y volver instalar, sino me dice error error error.... creo q cambiaré todas mis citas a otro bco. Horrible de veras",not_applicable,"Reinstalación requerida para cada transacción"
2736,"Malograron la antigua aplicación.. Esta última es horribleeeee!!! No puedo ingresar con mi clave tengo que volver a ingresar otra vez y cuando logro hacerlo, le dice que hay problema y vuelva a intentarlo.. PÉSIMOOOOO",authenticity,"Múltiples intentos de ingreso con clave válida requeridos"
2737,"Lo desinstale, me dice que mi tlf esta rooteado! No entiendo si tengo otros bancos en app en mi telefono y funciona excelente! No tengo ningun problema, solo con skcotiabank me pasa esto. Que decepción.",resistance,"Falso positivo de root únicamente en Scotiabank - otros bancos funcionan"
2738,"Pésima aplicación, cuado ingreso indica hubo un error en la aplicación y después indica que por el momento no podemos atenderlo .. deficiente. Anulare y cancelaré la cuenta",not_applicable,"Error de atención generando cancelación de cuenta"
2739,"Hay que tener suerte para que funcione, siempre con su mensaje: a ocurrido algo intente más tarde. Ahora esperar hasta poder hacer un pago o transferencia. Por eso moví el plin a otro banco porque uno no sabe en qué momento va a fallar y se queda en el aire sin poder pagar",not_applicable,"Falta de confiabilidad generando migración a otro banco"
2740,"Esta buena pero no abre desde la última actualización. Sigue sin funcionar pese a actualizaciones, mismo error la aplicación trata de abrir y se cierra al instante.",not_applicable,"Cierre inmediato post-actualización persistente"
2741,"Una vaina recién la he actualizado y me pide de todo lo pongo pero dice que ocurrió un error y encima me llega un mensaje de que alguien ha intentado ingresar y si deseo bloquear la sesión.. Ya ps",authenticity,"Error tras proporcionar todos los datos más alerta falsa de intento de ingreso"
