numero_comentario,comentario,clasificacion_iso_25010
1501,No puedo entrar a mi cuenta porque hay una supuesta actualización que debo descargar (no la hay). Que app para mas inutil.,not_applicable
1502,"Que pésima aplicación, mala gestión de banco Scotiabank ya que ni si quiera puede arreglar su aplicativo, pésimo servicio",not_applicable
1503,No me agrada la aplicación,not_applicable
1504,No me deja poner mis datos,not_applicable
1505,Informen antes de hacer cambios,not_applicable
1506,pésimo lo actualize y ya no se puede ingresar me sale error eso q lo desinstale y lo volvi a instalar,not_applicable
1507,No puedo ingresar con la nueva actualización,not_applicable
1508,Acabo de actualizar la app y ahora no funciona que paso Scotiabank?????????,not_applicable
1509,Gracias a la actualización ahora ya no puedo entrar a mi app,not_applicable
1510,No puedo ingresar a mi cuenta,not_applicable
1511,Que paso porw no puedo ingresar a la aplicación me sale que hay una versión pero no me sale para actualizar nada,not_applicable
1512,"Horrible app, a vecs no te deja plinear yse trab demsiado",not_applicable
1513,Está app es una basura ya no se puede ingresar y para poner mi contraseña me envía a Google parece estafa,not_applicable
1514,No puedo ingresar a mi cuenta me sale q hay una nueva versión y allí se queda,not_applicable
1515,No hay versión disponible,not_applicable
1516,Cada actualización vuelve la app peor,not_applicable
1517,últimamente es un desastre 😭😭😭,not_applicable
1518,"Un desastre, me obliga a actualizar y ahora ni deja hacer login.",not_applicable
1519,"Apenas abrí una cuenta, y no deja ni logearme en la app",not_applicable
1520,No abre y me fregué,not_applicable
1521,Pueden arreglar el app?? No funciona sale un mensaje de error,not_applicable
1522,Se actualizo y no puedo ingresar mis datos nada,not_applicable
1523,No se puede,not_applicable
1524,"Sinceramente no sé merece ninguna estrella , demasiado problemas, hasta poder ingresar a mi cuenta ya hay problemas osea no funciona en absoluto",not_applicable
1525,Ahora mismo está demasiado mal esta app no me había pasado con otros banco,not_applicable
1526,Pésima la app. La reinstalacion es un dolor de cabeza,not_applicable
1527,Con esta versión no se puede ingresar,not_applicable
1528,"Pésimo servicio,no me permite ingresar",not_applicable
1529,"Esta funcionando pésimamente no puedo entrar, falla constantemente, es una molestia de aplicación más que una facilidad",not_applicable
1530,Peor la nueva actualización le hizo caer mas,not_applicable
1531,Pesimo,not_applicable
1532,tiene mucho s errores,not_applicable
1533,Estoy intentando entrar desde hace días!! Y no me permite porque hay errores en la aplicación!!! Qué tipo de servicio es este?!,not_applicable
1534,"Cada vez más horrible, con APP, plin, siempre con problemas de ingreso etc.",not_applicable
1535,"Ahorran su tiempo y eviten descargar esta app, no sirve para nada",not_applicable
1536,"Menos mal leí los comentarios;, luego de rechazar al principio cortésmente el ofrecimiento de tarjetas de crédito, luego de aprox. casi 30 llamadas, les pedí por favor que cesarán, pero luego de otras 30 o 40 más a ""cada rato"" les tuve que amenazar con denunciarlos por acoso, coincidentemente luego la app se convirtió en una bosta, al principio pensé que era un forma de represalia, pero ahora sé que la app se puso así de por sí. Lamentablemente mi trabajo me paga mediante ese banco.",not_applicable
1537,No acepta número me sale irroneo o que lo haga desde el cajero deben solucionar estos problemas que tenemos varios de los usuarios.,not_applicable
1538,Nunca funciona el plin,not_applicable
1539,No puedo abrir una cuenta de ahorro sin costo,not_applicable
