numero_comentario,comentario,clasificacion_iso_25010
1601,He tenido demasiados inconvenientes con la app así que bueno ya tienen un usuario más que no está para feliz .,not_applicable
1602,Siempre está en mantenimiento no se puede confiar en la app sinceramente A la hora de pagar o se lentes o no quiere entrar Debería de mejorar muchas cosas,not_applicable
1603,se demora un siglo en abrir la aplicación,not_applicable
1604,El peor banco que hay de verdad. Como es posible que cada vez que vaya a entrar diga o que hubo un error o que están en mantenimiento. De verdad que no sirve,not_applicable
1605,"Funcionaba bien No se que paso que ya no se realizan transferencias imediatamente, no funciona el plin. Decepcion total. 2 estrellas era mucho, la app es una 💩",not_applicable
1606,No he podido entrar en la app desde que cambie de teléfono. Me dice que no se puede usar en dispositivo virtuales pero es un teléfono nuevo no entiendo porque pasa esto me podría alguna solución??,not_applicable
1607,Nunca funciona bien o no entra o no plinea o se plinea y dice que no se pudo realizar la transacción es la peor app de bancos,not_applicable
1608,Quiero pagar y no funciona,not_applicable
1609,Una tontería de aplicación se bloquea para ingresar varias veces y más cuando uno necesita usarla 😡,not_applicable
1610,La peor app de todos los bancos,not_applicable
1611,Una por.queria esta app me sale error he tratado de cambiar mi contraseña igual sale error.. el plin me sale otro nombre ....tendre q cambiar de banco...,not_applicable
1612,Que horrible aplicación por colmo mi empresa trabaja con este banco 🤬,not_applicable
1613,Pesima app pesimo banco,not_applicable
1614,"Terrible app, puros errores a cada rato. En vez de mejorar con los parches cada vez esta peor.",not_applicable
1615,"realmente esta app es una desgracia , no ingresa , a cada momento sale intente más tarde , muy mal...",not_applicable
1616,"Una estupidez su actualización...si de por si la otra app era un asco. Esta es peor. Rapida simple y segura es lo que prometen. Primero, es una odisea acceder, siempre termina diciendo que te loguees mas tarde. Segundo, la porqueria de clave digital tarda en ocasiones de 30min a una hora en llegar. Otros casos llega al dia siguiente. De rapido no tiene nada y lo unico seguro es que no podras realizar tus pagos a tiempo.",not_applicable
