numero_comentario,comentario,clasificacion_iso_25010
1801,"He realizado dos intentos de pago por Plin y me salía error, deje de intentar y después cuando me fijo si se había pagado, normalmente por cada pago por Plin tengo una constancia por correo pero para estos intentos que realice no. Así que reclamé con el banco y solo me han devuelto el pago de un intento. Aún sigo esperando a qué me devuelvan el 2do intento de pago que se cobraron. Claramente su App tiene un problema grande. 😡",integrity
1802,"Nunca puedo ingresar cuando la necesito. Uso un galaxy s8 y de cada 10 veces que trato de ingresar, en 8 sale el mensaje : ""En este momento no podemos atenderlo"". Y cuando logro ingresar, demora una eternidad en cargar cualquier opción, y lo peor es esperar tanto para que al final vuelva a salir el mismo error.. y que lo intente mas tarde. Que pésima aplicación; estan muy pero muy por debajo de las apps del bbva y del bcp, que a pesar de que tambien tienen fallas, por lo menos esas si funcionan siempre.",not_applicable
1803,"Llevo 3 días con problemas en la aplicación, antes todo era más sencillo, ahora piden clave digital para entrar a la app y ni si quiera llega el mensaje, pide correo y tampoco llega el código, para pagar Safetypay hay que adivinar para si es soles o dólares porque la app no lo muestra como antes. Que decepción la nueva actualización",not_applicable
1804,"La aplicación se para cayendo, a veces cuando me lógueo a veces cuando quiero pagar, es decir es muy inestable y los tiempos de respuesta sobrepasan los 15 segundos a veces, por ejemplo para entrar sólo al menú de transferencia demora como 10 segundos luego tienes que escoger el tipo de transferencia y o demora mucho o se cierra la aplicación, en realidad deja mucho q desear",not_applicable
1805,"Desde hoy 14/09/2021, no funciona más la app, en mi Galaxy 8 Note. Al abrirla, solo carga el aplicativo, ingreso la contraseña y se cierra inmediatamente, dando un mensaje de error. Lo he intentado 35 veces más, he desinstalado la app, la he vuelto a instalar, he apagado el teléfono otras 20 veces, he limpiado la memoria caché, borrado los datos y nada, no hay forma. No me permite ingresar a mi espacio para hacer mis gestiones bancarias. Muy mal, tratándose de un banco de primer nivel como este.",not_applicable
1806,"En serio es la peor aplicación de bancos que hay, solo lo tengo porque mi empleador trabaja con ellos, malicima interfaz, poco intuitiva, se congela, el plin mucha veces se buguea y no te saca de apuros parece que la app estuviera desarrollada con HTML (sarcasmo) ojalá ya contraten buenos desarrolladores, inviertan señores ganan miles de soles y no logran hacer una buena inversión",not_applicable
1807,Hola amigos desde que se actualizo no puedo ingresar a aplicación me sale un aviso que mi tarjeta no está activa vuelvo a colocar número de tarjeta y vuelve a salirme de nuevo el aviso mejor no hubieran actualizado la Aplicación he llamado al banco que me espere para solucionar el problema en 24 horas y nada aún.. Espero que lo solucionen porque hasta ahora me esta decepcionante la aplicación del banco GRACIAS AMIGO.....,not_applicable
1808,"Un real decepción con esta nueva actualización llevó 2 días intentando acceder y nada, me sale hubo un error en la aplicación inténtalo más tarde, PARA QUE ACTUALIZAN LA APLICACIÓN CUANDO NO VA A FUNCIONAR, ESPERO LO SOLUCIONEN LO MÁS ANTES POSIBLE POR QUE NO ES JUSTO QUE COMO CLIENTES TENGAMOS QUE PASAR POR ESTO.",not_applicable
1809,"Porquería. No sirve p nada. Se cuelga. Siempre ese banco está sin sistema, se cuelgan los cajeros. La app no responde. Solo se limita a decir: 'en este momento no es posible atenderle"". Con tanto dinero ya es hora q contraten buenos profesionales en sistemas que les hgan un trabajo bien hecho. No la tontería q tienen q, por más q se 'actualize' solo sirve p empeorarla.",not_applicable
1810,"cada vez que quiero entrar a la App me sale "" Tu sesión a finalizado, y que intente nuevamente "" y luego me llega un mensaje diciendo que alguien quiere entrar en mi cuenta, tengo que cambiar mi contraseña para recién poder entrar ya lo hice 2 veces y ahora sale de nuevo y no me deja entrar, a que se debe esto, alguna soluciones porque me molesta eso y estar cambioando mi contraseña solo para entrar me parece absurdo... Help!!!!!!",authenticity
