numero_comentario,comentario,clasificacion_iso_25010
1201,No abre la app,not_applicable
1202,Hay muchos inconvenientes con la app mucho se cuelga y no te deja hacer nada,not_applicable
1203,Desde hoy no puedo acceder a banca móvil. Me sale un mensaje de Nueva versión disponible. No hay detalles para AND versión 8.8.3 ...que hicieron?🤦🏻‍♂️,not_applicable
1204,"No sirve la aplicación,sale como su hubiera una nueva versión pero nada que se abre desastroso totalmente",not_applicable
1205,Una porquería de app.,not_applicable
1206,"Actualicé a la última versión en día 22/02/2025, y ya no abre la aplicación, pide versión AND 8.8.3",not_applicable
1207,Sale que hay una nueva actualización y no deja entrar a la app ni actualizar tampoco,not_applicable
1208,Porquería de app que se actualiza y no abre ... Porque no es compatible con la versión de Android,not_applicable
1209,Podrían revisar el app me pidió una versión nueva lo instale y ya no se puede abrir,not_applicable
1210,No se puede ingresar al aplicativo,not_applicable
1211,No abre,not_applicable
1212,No puedo usar,not_applicable
1213,"Última actualización peor que las anteriores ahora ya ni accede a la banca móvil desde el celular, una total decepción 🫤",not_applicable
1214,"No se puede hacer nada, la peor experiencia de este banco, contraten mejores ig de sistema, gracias",not_applicable
1215,"La aplicación siempre ha presentado fallas, pero hoy creo que confirma que no se puede confiar en su funcionamiento, no me deja ni siquiera abrir la aplicación informando error y que hay una nueva actualización, la que ya instale y sin embargo no hay manera de ingresar dejandome sin la opción de realizar operaciones urgentes, esto se suma a innumerables ocasiones en las que Plin no funciona, en las que no se puede hacer operaciones, es una moneda al aire y creo que necesitan una solución urgente",not_applicable
1216,No sirve el aplicativo,not_applicable
1217,Mal no abre en nuevo cel no permite no hay versión un ndica 8.8....,not_applicable
1218,"Appa de Porquería, no la recomiendo para nada Hoy al parecer tuvo una actualización pero no puedo actualizar ni entregar a mi app, la generación de código se seguridad es ineficiente. Si tiene la opción de usar otro banco háganlo, sus sistema son lentos y no dan solución",not_applicable
1219,No puedo entrar a la app,not_applicable
1220,Realmente muy mal no entiendo tanta falla ahora no me reconoce el aplicativo pero tampoco me da opción de actualizar,not_applicable
1221,Todo iba bien hasta q se actualizó y ya no permite ingresar a la app pide actualización. Muy mal,not_applicable
1222,La app es muy mala,not_applicable
1223,"Horrible nunca funcionó bien, pero ahora que me depositaron en Plim no funciona me sale actualizar a la ver 8.8.3 y cuando ya está actualizada no abre... Es una pesadilla está app",not_applicable
1224,No está funcionando la aplicación,not_applicable
1225,No sé q tiene no se puede pliniar,not_applicable
1226,De lo peor siempre tiene problemas o Plim o el aplicativo del mismo banco es una porquería,not_applicable
1227,Estoy viendo inconvenientes para ingresar que paso?,not_applicable
1228,Fallas constantes en la app,not_applicable
1229,No deja actualizar y no deja entrar a verificar mi cuenta,not_applicable
1230,No carga ..,not_applicable
1231,Demasiados inconvenientes con esta app. Mejoren su servicio,not_applicable
1232,"Todo bien hasta hoy que tuve que pagar un servicio y me salia un error de nueva version disponible AND 8.8.3 y no me salia para actualizar NADA. Trataba de entrar una y otra vez y misma tontería, primera vez que me pasa esto. Arreglen sus estupideces",not_applicable
1233,En su nueva actualisacion. Se malogro todo.,not_applicable
1234,Estoy tratando de ingresar a la aplicación y me sale este mensaje. No hay detalles para AND versión 8.8.3. alguien me podría ayudar,not_applicable
1235,Que paso ahora no se puede ingresar uno necesita hacer pagos,not_applicable
1236,Comp siempre este app es una porquería se cuelga a cada rato,not_applicable
1237,"No me permite ingresar a mi cuenta, me sale que hay una actualización pero cuando la busco en la play store no sale nada",not_applicable
1238,Cada vez peor ahora ya no puedo ingresar,not_applicable
1239,Una porquería no puedo ingresar,not_applicable
1240,No sirve la app no deja ingresar,not_applicable
1241,"No sirve, dice que hay error porque no actualicé y no hay ninguna actualización. Necesito usar mi dinero y la app no deja, simplemente no hacen nada para arreglar ese error maldito.",not_applicable
1242,"Bajo la nueva versión pero no responde y nos acepta mi clave, Sale un recuadro que dice: NUEVA VERSION DISPONIBLE, NO HAY DETALLES PARA AND 8.8.3 , ACEPTAR, Y CUANDO ACEPTAS REGRESA AL COMIENZO Y SE REPITE TODO NUEVAMENTE, ES UN ERROR DEL SISTEMA DE LA NUEVA VERSION. POR LO TANTO NO PUEDO USAR EL APLICATIVO DE SCOTIABANK.",not_applicable
1243,Se para colgando,not_applicable
1244,No funciona oara Android 8. No puedo ingresar.,not_applicable
1245,Con esta actualizacion no abre la aplicacion,not_applicable
1246,Una porquería de app.,not_applicable
1247,Que porquería después de esta última actualización no se puede entrar a la app.,not_applicable
1248,"No se abre la app, demora demasiado, no la recomiendo.",not_applicable
1249,No se puede abrir empeoran las cosas,not_applicable
1250,No se puede entrar a la aplicacion,not_applicable
1251,No puedo abrir la aplicación,not_applicable
1252,No me deja ingresar dice que actualize y nada,not_applicable
1253,Mal experiencia como no la tengo con otras app ahora supuestamente tiene una actualización pero no sale ni para actualizar una emergencia y nos dejan así.,not_applicable
1254,"Porque hacen cambios y obligan a cambiar las versiones del aplicativo, sin q nosotros aceptemos Ahora tengo problemas x ingresar al aplicativo, me rechaza",not_applicable
1255,No sirve,not_applicable
1256,Terrible me mandan a un actualización y ahora no puedo abrir el app realmente con el único banco q tengo problemas es Scotiabank,not_applicable
1257,No puedo ingresar al app que mala atención,not_applicable
1258,No me permite ingresar perjudica,not_applicable
1259,Es muy mala. A veces ni se puede plinear ni yapear y ahora no puedo entrar.,not_applicable
1260,"La app me iba muy bien hasta que luego de la última actualización no me dejo entrar y blokeo mi tarjeta, yo no tengo mucho dinero y lo poco que tenia se lo comió.",integrity
1261,No puedo.ingresar ami cuenta,not_applicable
1262,"He tratado de instalar la última versión y no me permite entrar en ningún dispositivo y cuando llamo nadie responde, muy mal servicio",not_applicable
1263,"Un desastre está aplicación. No me permite abrir la nueva actualización, dice que no es compatible con android",not_applicable
1264,"No puedo ingresar a mis cuentas, estoy en el extranjero, exijo poder tener acceso a mis cuentas.",not_applicable
1265,"Pésimo, me sale nueva versión actulizada y no funciona",not_applicable
1266,Problemas en las noches y versiones q no se actualizan,not_applicable
1267,Pésimo!!!!,not_applicable
1268,Última versión no me permite abrirla,not_applicable
1269,Ahora ni abre,not_applicable
1270,No me deja ingresar,not_applicable
1271,No puedo entrar a mi app,not_applicable
1272,buena,not_applicable
1273,Una basura de app se para colgando mil veces mejor yape,not_applicable
1274,"Han actualizado la app, pero no me permite entrar, traten de arreglar eso. Entro y me dice que no hay detalles de la nueva versión, arreglen.",not_applicable
1275,No funciona el app me sale AND versión 8.8.3. alguien sabe ???,not_applicable
1276,Es un app que todo el tiempo tiene problemas para su uso,not_applicable
1277,Bien,not_applicable
1278,Es lo peor,not_applicable
1279,Malis8ma app cada día se cuelga más....se desactuqliza y un sin fin de problemas,not_applicable
1280,No permite hacer la actualización,not_applicable
1281,No puedo instalar el aplicativo porque me dice que hay una versión no adecuada.,not_applicable
1282,Muy bien app,not_applicable
