comentario_id,contenido,clasificacion_seguridad,justificacion
2301,"soy cliente nuevo ... trate de descargar la aplicacion pero no funciona .. crei aue loa demas comentarios solo eran por una mala experiencia pero al parecer siempre es una mala experiencia con la app .. pesimo .. realmente pesimo ... por que necesitaba ver los movimientos urgente de mi tarjeta. como nuevo cliente la experiencia digital es pesima y ni que decir de la experiencia en la agencia.",not_applicable,"Problema técnico general de nuevo cliente sin aspectos específicos de seguridad"
2302,"Demasiados errores. el mas grave es cuando ingreso a mi cuenta free y doy click en mi saldo me sale una notificación ""producto inválido"" aveces de plano no abre el app y aveces me pide ingresar la clave digital cuando ya marque el equipo como seguro, que sucede?",authenticity,"Sistema no reconoce dispositivo marcado como seguro y rechaza producto válido"
2303,"No puedo usar el app. No abre, sale error dejo de funcionar. Uso android 8 y se Supone que si funciona en este android la app. La última actualización lo malogro todo. Arreglar eso. Urgente. Perjudica a los clientes que hacemos todo por la aplicación y no vamos al banco para nada.",not_applicable,"Problema de compatibilidad post-actualización sin aspectos de seguridad"
2304,"Pésimo, lo malograron... Si antes era muy simple... Ahora es simple y pésima, 1)no me permite pagar servicios, simplemente deja de funcionar no avanza el sistema. y aparte de eso. 2)Busco movistar para pagar hacer mi pago, y no lo tienen en su base de datos... Es. Decir esta app no tiene registrada a movistar, solo tengo mi cuenta scotiabank y app para pagar mis servicios.. Y ahora de que me. Sirven???",not_applicable,"Pérdida de funcionalidad de pagos post-actualización sin aspectos de seguridad"
2305,"Pésimo...hoy hice un pago ..me salio errorx 3 veces..nunca apareció la confirmación de la transferencia..así ke lo intente x 3 oportunidades..me rendí de intentarlo..luego vi mis movimientos y si se había realizado las 3 operaciones..menos mal era una amiga y me devolvío el exceso..lo desinstale",integrity,"Múltiples ejecuciones de transacciones sin confirmación comprometen integridad financiera"
2306,"Si pudiera ponerle cero, lo haría. Estoy meses sin poder ingresar a la aplicación, ya no puedo usarla, no sirve. Lo he intentado desde diferentes dispositivos, pero simplemente no ingresa, me sale el mensaje de ""Error en la aplicación, inténtelo más tarde"". ¿Cuando lo solucionaran?. :/",not_applicable,"Error técnico persistente en múltiples dispositivos sin aspectos de seguridad"
2307,"Su aplicación es una basura , se cae a cada rato , ni para poder plinear se puede , "" error al cargar los contactos"" , "" hubo un problema no se puede enviar el dinero"" , una aplicación de banco que se cae a cada rato...",not_applicable,"Error técnico general sin aspectos específicos de seguridad"
2308,"Esta apareciendo un mensaje de '' hubo un Error'', y no puedo acceder a la aplicación. Por favor su apoyo, ya que no puedo hacer los pagos de mis servicios por la quarentena es mi única opción. Lleva varios días así.",not_applicable,"Error técnico persistente sin aspectos específicos de seguridad"
2309,"Esta actualización ha destrozado a la aplicación. Arreglen cuánto antes este problema, por algo son una multinacional con infinitos recursos. Imposible que no puedan solucionar una aplicación móvil.",not_applicable,"Crítica post-actualización sin aspectos específicos de seguridad"
2310,"Qué demonios le pasa a esta app se jodio todo después de su última actualización, ya no puedo hacer transferencias inmediatas a otros bancos como antes lo hacía sin problema, lo único que logran es que uno elimine esta app inútil.",not_applicable,"Pérdida de funcionalidad de transferencias post-actualización sin aspectos de seguridad"
