ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
2501,"Últimamente el funcionamiento de la aplicación es pésimo. A cada rato aparece el mensaje de hubo un error e intentelo más tarde. No se pueden realizar pagos ni plin.",not_applicable,"Fallas de funcionamiento general, no específicamente de seguridad"
2502,"Una desgracia esta aplicación sigues los pasos y cuando ingresa tú clave sale error y nada que puedes ver tus ctas pues no permite entrar la desinstalas y es por gusto pues sigue apareciendo ese error y nada que te permite revisar tus ctas.",authenticity,"Error sistemático en autenticación - no reconoce credenciales válidas"
2503,"Desde el lunes 08 de abril no puedo entrar a la app, simplemente no abre, es un desastre esta aplicación... Instalo desisntalo y nada, la versión del Android ok, pero no funciona!!!",not_applicable,"Problema de funcionamiento general, no específicamente de seguridad"
2504,"Es una BASURA su aplicación se para colgando, hay días que intento más de 10 veces para entrar a mi cuenta y no se puede y cuando uno quiere más urgente para mandar una transferencia no se puede porque sale LA APLICACIÓN TIENE UN ERROR INTENTE MAS TARDE",not_applicable,"Inestabilidad general de la aplicación"
2505,"Me obligan actualizar y luego responden que no se puede, lo único que requiero es poder hacer mi pago que vence hoy pero no dejan avanzar solo la opcion de actualizar, las actualizaciones deben ser potestativas Hoy 11.04.2023, me obligan a una actualización que no la requiero, solo quiero ver mi saldo, acaso no leen las opiniones?",not_applicable,"Problema de políticas de actualización forzada"
2506,"Me sale: Hubo un error en la aplicación vuelva intentar más tarde. Lo intenté varias veces y nada. Se complicó el asunto. Hasta ahora no puedo acceder como antes. Que pena seré un cliente menos",not_applicable,"Error general de aplicación"
2507,"Me pidió actualizar y ahora q lo hice no puedo entrar.. me sale q intente en unos momentos x un error en la aplicación pero llevo hace días asi la desinstalo y la vuelvo a instalar y me sigue saliendo el mismo mensaje... En definitiva nunca puedo acceder!",not_applicable,"Problema post-actualización no específico de seguridad"
2508,"No puedo darle la calificacion que corresponde por que no llego a entrar completamente ya que cuando pide el código de verificacion llega 10' despues y cuando lo ingreso me indica que es invalido y asi cada vez que trato... pueden hacer algo por favor",authenticity,"Códigos de verificación inválidos sistemáticamente - falla en el proceso de autenticación"
2509,"El 30 de setiembre hice la actualización de la App, pero me pedía crear datos nuevamente como si fuera a instalar por primera vez. Llame a la banca telefónica por más de una hora para consultar y nunca me respondieron... 😡",accountability,"Pérdida de configuración de usuario tras actualización - falta de trazabilidad"
2510,"Buenas tardes, últimamente q el app de Scotiabank tiene problemas en el ingreso, no debería ser así. No funciona opción plin no coge contactos sale error e intenta más tarde. Error de siempre. Corrigan por favor.",not_applicable,"Problemas generales de funcionalidad"
2511,"Es buena app, pero sería mejor con clave digital / token en la misma aplicacion (al estilo BCP). Me tienen que enviar un SMS cada vez que necesito hacer algo y necesariamente tengo que buscar señal...",not_applicable,"Sugerencia de mejora, no problema de seguridad"
2512,"El peor de los apps de bancos que he tenido, y para colmo te piden que si tienes problemas llames y cuando lo haces todos los operadores estan ocupados y te dicen que te van a atender a partir de 20 minutos o sea nunca... que mal servicio. Solución desinstalarlo.",not_applicable,"Queja general sobre servicio al cliente"
2513,"La aplicación no te deja entrar a tu perfil, pide que cambies de contraseña porque la actual no quiere reconocerla, y casi siempre no abre la aplicación. Muy mala, necesitan mejorarla muchísimo más.",authenticity,"Sistema rechaza contraseñas válidas y fuerza cambios innecesarios"
2514,"Varias veces he perdido dinero por culpa de esta app, cuando confirmo el envío por plin me dice q hay error y tengo q pagar con efectivo pero cuando reviso mi movimientos veo q hizo el envío asi q muchas veces he pagado doble por esta maldita app",integrity,"Pérdida monetaria por ejecución duplicada de transacciones - violación de integridad financiera"
