comentario_id,contenido,clasificacion_seguridad,justificacion
2101,"Acabo de abrir mi cta scotia y quería entrar a explorar el app y me sale una validación de seguridad, las otras apps de bancos corren normal pero esta se queda ahí. espero se lance pronto una actualización para solucionarlo. Por lo pronto me llevo una muy mala primera impresión.",resistance,"Fallo en validación de seguridad que impide acceso legítimo al sistema"
2102,"Pesima aplicación no solucionan el error: ""hubo un error en la aplicación. Por favor volver a intentar mas tarde"". Este problema me sucede todos los días en la noche. Definitivamente ya es suficiente me estoy pasado a BBVA la cual no tiene ese problema.",not_applicable,"Error técnico general sin implicaciones específicas de seguridad"
2103,"Un desastre. No es practica ni me soluciona problemas, todo lo contrario. Todos los usuarios que nos sentimos así deberíamos cambiar de banco. Yo lo haré. Es inaudito que pierdan clientes por actualizar una app que si funcionaba bien.",not_applicable,"Crítica general sobre usabilidad sin aspectos específicos de seguridad"
2104,"Se supone que debería no cobrar ninguna Comisión quería entrar a mi cuenta para ver por que mi saldo esta en cero cuando tenia dinero en la tarjeta sin embargo no podía ingresar entonces quería ver a donde se fue ese dinero si no hice ningun retiro pero la aplicación no me dejaba ni entrar no la recomiendo para nada y espero una solución a este robo.",integrity,"Alteración inexplicable de saldo financiero y pérdida de fondos sin transacciones autorizadas"
2105,"Le do6 tres estrellas porque ultimamente cuando quiero ingresar me aparece mensaje fe sesion finalizada y se cierra la aplicacion. he tenido que desinstalar y volver a instalar. por la funcionalidad, no tengo quejas, es bastante sencilla y cómoda de usar",not_applicable,"Problema de sesión sin implicaciones específicas de seguridad"
2106,"Muy mal la actualización, tengo ahorros, vivo En otro país y antes podía sacar mí dinero En un cajero de Scotiabank y ahora con esta actualización, me piden otra vez los datos y al completar me dice que para actualizar teléfono y correo me acerque a una agencia más cercana y no me deja usar la aplicación, osea por esa estupidez de actualizar, tengo que tomar un vuelo e ir a Lima-Perú a satisfacer el capricho de los genios, que se les ocurrió esta maravilla? Lo que me queda es no poner más dinero en este banco y cambiarme a otro, por la incapacidad de algunos funcionarios de Scotiabank. 😠😡",authenticity,"Requerimiento de reverificación de identidad que bloquea acceso legítimo a fondos"
2107,"Es la app bancaria más deficiente y nefasta de todas siempre que necesito hacer un pago o transacción o el sistema no está disponible o no siquiera me permite ingresar a mi cuenta. Solo por culpa de esta app ya estoy gestionando el cambio de todas mis transacciones y ahorros a otro banco. Si pufiera darle 0 o estrellas negativas lo haría.",not_applicable,"Crítica general de disponibilidad sin aspectos específicos de seguridad"
2108,"Buenas quisiera que me ayuden Introduci mi numero de cuenta y clave de cajero y podia ver mi registro de compras echas y todo eso pero cuando serre la aplicación y despues de media hora aproximadamente quise entrar a la aplicación y me avia botado de la aplicación y quise entrar y no me dejaba aparecía contraseña incorrecta. Como es posible que una vez ya conectado con el aplicativo me expulse y me diga contraseña incorrecta ? Ahora me pide que cambie la contraseña y no PUEDO",authenticity,"Fallo en verificación de contraseña después de sesión establecida exitosamente"
2109,"De lejos el PEOR app de todos los bancos. Falla cada 2 días y se les cae el sistema TODAS las semanas. Hasta el plin falla y algunos días cobran dos veces por error del app. PÉSIMO servicio, deberían invertir más en mejorar la aplicación.",integrity,"Cobros duplicados por errores del sistema afectan integridad financiera"
2110,"La aplicación no abre y/o ni reconoce tu contraseña. De hacerlo, te comienza a mandar constantes mensajes al celular de clave digital. Con decir que hoy 03/10 me mandó 15 mensaje con diferentes claves de ingreso. Por favor, mejoren eso porque por lo que leo en los comentarios no soy el único con este problema.",authenticity,"Spam de códigos de verificación múltiples compromete sistema de autenticación"
2111,"Desde que cambiaron de versión ahora es más complicado y lento acceder e interactuar y tuve que crear una contraseña adicional. deberían regresar a la versión anterior, era más amigable y fácil.",not_applicable,"Crítica de usabilidad sin implicaciones específicas de seguridad"
2112,"La aplicación tiene errores al cargar, pues se ingresa con la clave y luego cuando intentar ver tu saldo se sale de la sesión y debes volver a ingresar y persiste el problema. Hay días en que se pone con error al ingresar o la aplicación tiene errores vuelva a intentar más tarde y realmente va de mal en peor.",not_applicable,"Problema técnico de sesión sin aspectos específicos de seguridad"
2113,"No se qué pasa con la aplicación está muy lenta, para hacer un tipo de actualización se congela y plim no funciona solo de vez en cuando, deberíam mejor para que la app sea más fluida a momento de usar.",not_applicable,"Problema de rendimiento sin implicaciones específicas de seguridad"
2114,"La app está fallando, no se activa la huella digital, no se puede compartir la constancia cuando realizas alguna operación. Deben mejorar la aplicación antes de lanzarla con tremendas fallas",authenticity,"Fallo en autenticación biométrica (huella digital) compromete verificación de identidad"
2115,"La app de mal en peor, no se puede abrir porque sale un mensaje ""hay un error en la aplicación"" la desinstale la volvi a instalar y nada.... Y esto se repite con frecuencia. Con cada actualización la empeoran!!!!",not_applicable,"Error técnico recurrente sin aspectos específicos de seguridad"
2116,"La actualización está muy llamativa, pero lamentablemente es muy lenta asi esté conectado a una red de alta velocidad, y solo entra cuando quiere porque generalmente me sale que hay un error o cuando intento recibir mi clave token al teléfono se cierra a veces",authenticity,"Fallo en recepción de tokens de autenticación compromete acceso seguro"
2117,"Prácticamente no sirve, una de las peores apps bancarias por no decir la PEOR, no permite ingresar para realizar pagos, y así se queda por horas, luego llamas y ni contestan. Definitivamente esta entidad financiera va perder muchos clientes por estar brindando un servicio paupérrimo.",not_applicable,"Crítica general de servicio sin aspectos específicos de seguridad"
2118,"Dejen de actualizar la aplicación a cada momento, no todos los celulares son compatibles con sus nuevas actualizaciones. Se vuelve lenta la app, o se cierra; no es funcional para muchos celulares. Haganlo una vez al año a lo mucho.",not_applicable,"Problema de compatibilidad sin implicaciones específicas de seguridad"
2119,"Cada fin de mes la misma m&3#∆@, error en la aplicación intenté más tarde. Se espera una app seria, que esté a la altura de lo que debería representar pero presenta fallas. Muy mal, deben mejorar esto en la brevedad.",not_applicable,"Error técnico recurrente sin aspectos específicos de seguridad"
2120,"Tengo un S10 plus que se ha actualizado a android 10 y desde esta actualización la app de scotiabank a dejado de funcionar por no ser compatible. Por favor necesitamos que puedan actualizar su app URGENTE. Siempre a sido excelente pero lamentablemente tengo que calificarlos con una estrella. Espero que lo puedan resolver pronto.",not_applicable,"Problema de compatibilidad sin implicaciones específicas de seguridad"
2121,"No me deja ingresar por que supuestamente mi equipo es roteado, digo supuestamente por que mi equipo es de operadora sin ninguna modificacion ni nada por el estilo, por favor arreglen ese tema, no puede ser que no pueda utilizar la aplicacion sin ningun motivo valido.",resistance,"Falso positivo en detección de dispositivos rooteados bloquea acceso legítimo"
2122,"Le baje de 5 a 3 estrellas porque Hace meses está que no me deja pagar mis recibos de Scotiabank,pensé que era por falta de actualización pero ya lo actualicé varias veces y nada ,sale que no está disponible... Arreglen eso ya que antes lo podía hacer sin problemas y ahora nada....",not_applicable,"Problema funcional de pagos sin aspectos específicos de seguridad"
