numero_comentario,comentario,clasificacion_iso_25010
1701,"Definitivamente se me acabó la paciencia, vengo 2 semanas de querer entrar al aplicativo y hasta la fecha no puedo, volví a instalar lo para ver si así funciona y el problema sigue igual, es cierto que han mejorado el APP en cuanto a las herramientas que ofrece, PERO DE QUE ME SIRVE SI NO PUEDO NI SIQUIERA ENTRAR Y LO UNICO QUE SALE ES ""LO SENTIMOS EN ESTOS MOMENTOS NO LO PODEMOS ATENDER"" ¿REALMENTE PENSARON EN ELLO AL ACTUALIZARLO?, HUBIERA PREFERIDO EL OTRO APP PAUPERRIMO Y AL MENOS HACER MIS TRANSACCIONES QUE UNA APP ""MEJORADA"" Y NO PODER INGRESAR. EL COLMO!!!!",not_applicable
1702,"Asquerosa aplicación, no funciona bien siempre se traba, dicen que están en actualización en la noche rango 10 pm a 12 o 1 am, supuestamente por 1h máximo pero es totalmente falso. No hay ni un mínimo interés de que sus clientes también hacemos operaciones a esas horas. Frustrante e inútil aplicación.",not_applicable
1703,"La verdad es que el app es buena y la manera sencilla en la que se ingresaba me parecia mejor. Ahora han cambiado el diseño y esta bien, pero... Cuando intento ingresar o loguearme no me deja, me dice que hubo un error y que lo intente mas tarde. No creo que sea necesario hacer criticas tan despectivas con las cosas, no veo necesario el por que hacerlo. Espero puedan solucionar el problema pronto",not_applicable
1704,"Sacrificaron rapidez por estética...la aplicación no es muy fluida ya que el tiempo de espera en la conexión cliente-servidor es demasiado largo( me da envidia que otros bancos tenga mejor conexión con sus servidores(?)) Sería interesante saber si en la nueva actualización hicieron mejoras en los protocolos de seguridad (podría ser una causa del largo tiempo de espera) o simplemente el tener una aplicación lenta con largos periodos espera es el costo a pagar por una aplicación más ornamental y ""amigable para el usuario"". Éxitos en sus labores espero que optimizen su críter.",not_applicable
1705,"Primera vez que califico una app, nunca habido tenido la necesidad, pero ustedes lo ameritan. No les pongo 0 estrellas porque no me deja hacerlo, pero ni eso cubre el malestar que siento por su servicio. Desde ayer estoy con la intención de utilizar Plin sin éxito, sale un mensaje que indica ""Hubo un error al cargar los contactos de Plin, por favor, vuelve a intentar."" Increíble que una acción tan simple y básica del uso de la app tenga este tipo de problemas. Por favor, se exige solución.",not_applicable
1706,"Sres. La aplicación esta pésima, desde la última actualización no puedo ingresar, me indica que me enviaran una clave de configuración mediante un sms y nunca llega, me acerque a un cajero y tampoco puedo. Fue una actualización para mal, ahora somos muchas las personas que no podemos utilizar la app, se les agradecería encarecidamente mejorar la app, nos ha perjudicado a muchos. Totalmente descontento.",not_applicable
1707,"Llevo días tratando de ingresar a la aplicación, me sale que hay un error al finalizar todo el proceso de registro de datos. Me gustaba más la anterior versión, podía ver mi estado de cuenta, ahora no puedo ver nada ya que no puedo ni abrir la aplicación. Estoy fastidiada y muy decepcionada, no puedo hacer nada desde mi celular y tengo que ir banco para hacer transferencias.",not_applicable
1708,"Una porquería de app. Intento ingresar con mi clave y de pronto sale un mensaje que he hecho muchos intentos y solo fue uno. Cambio de contraseña y envían la clave después de 1 hora. Después de muchos intentos logro cambiar la contraseña y envía una clave la pongo y sale que hubo un error que lo intenté luego, lo vengo intentando 10 veces y todo igual",not_applicable
1709,"Tengo problemas las últimas 4 semanas con este eplicativo cada vez que deseo ingresar sale un aviso de error de aplicativo que vuelva intentar más tarde es muy molesto cuando uno quiere hacer una operación bancaria, sería bueno si es que el aplicativo tiene fallas no te permita ingresar al aplicativo en cambio te permite poner tu contraseña y te envía un aclave digital y al momento ingresar el código digital sale el error.",not_applicable
1710,"No tengo opinión acerca de la nueva interfaz, porque desde que actualizaron no puedo ingresar, en todos los intentos notifica error. Además hace perder demasiado tiempo en registrarse e intentar ingresar, piden demasiados datos, validaciones, claves, etc. La versión anterior era muy práctica a pesar de sus carencias y fácil de accesar, solo pedía código, clave y token digital cuando querías ejecutar operaciones. Deben despedir a todos los responsables de tremenda tontería de App, que para colmo son incapaces de solucionar en tantos días...👎👎👎👎👎",not_applicable
