ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
2801,"El registro es malo ya con el DNI debería hacer un filtro e identificar los servicios que uno tiene, ingreso los datos de mi TC e indican..""para su seguridad ingrese los dígitos de su tarjeta de débito"" ... No tengo ese servicio con uds",not_applicable,"Solicita tarjeta de débito inexistente - problema de proceso de registro"
2802,"Pésima la app,tengo que volver a desinstalar e reinstalar seguido la app porque sale mensaje de ""error"" para que. No es nada funcional..... si sigue así, cambiaré de entidad.",not_applicable,"Reinstalación constante requerida para funcionamiento básico"
2803,"La última actualización está terrible. Aún después de actualizado sigue apareciendo el mensaje que te pide actualizar la app y no deja entrar.",not_applicable,"Bucle infinito de actualización post-actualización"
2804,"He tenido que borrar mi comentario. La app no funciona y no me reconoce ni a mi tarjeta. La anterior era más feita pero al menos podía realizar mis operaciones con tranquilidad.",authenticity,"Sistema no reconoce tarjeta válida - pérdida de funcionalidad"
2805,"Últimamente me indica que mi sesión a finalizado, y por más que vuelvo a poner la contraseña no me deja entrar a la aplicación, hasta que la desinstale y la vuelva a instalar.",authenticity,"Sesiones finalizadas incorrectamente requiriendo reinstalación"
2806,"Cuando intento abrir la aplicación se cierra y me manda a la pantalla principal. Qué puedo hacer? Tengo una cuenta meta ahí y cuando abro la app desde Internet no aparece mi meta ayuda.",accountability,"Pérdida de cuenta meta registrada"
2807,"No puedo ingresar a la aplicación, es ineficiente, no pensé que Scotiabank fuera así, también espere que fuera al final del día esperando que se descongestione, pero igual no responde, cuando lo solucionaran? Porque no se puede hacer nada.",not_applicable,"Imposibilidad total de acceso persistente todo el día"
2808,"Un asco, todos los días tengo problemas con la app, si no es xq hubo un problema en ésta al intentar ingresar, es que no hay plin y siguen trabajando en ello... Hasta cuándo?",not_applicable,"Problemas diarios sistemáticos con Plin en mantenimiento constante"
2809,"Un asco la actualización hace 3 días que no puedo entrar a la aplicación y cada vez que llamo me dicen que el incidente ya está registrado y ninguna solución me dan por las puras hacen algo que no funciona",not_applicable,"Error por 3 días con incidente registrado sin solución"
2810,"Desde la ultima actualizacion sumplemente no sirve, no puedp ingresar a mi cuenta. Ya me canse de instalar y desinstalar. Simplemente no sirve. Si por mi fuera no le pongo ni media estrella",not_applicable,"Disfunción completa post-actualización"
2811,"Es una vergüenza que una empresa como Scotiabank, en ves de dar oportunidad de mejora nos dificulte más la posibilidad de hacer nuestra rutina diaria. No puedo ingresar a la disque nueva actualización de la app.",not_applicable,"Imposibilidad de acceso a nueva actualización"
2812,"Me encanta este banco... Pero el aplicativo móvil... Es demasiado malo...necesita detector de huella, que las operaciones se registren en la fecha verdadera... Está mal la app.... Solucionenlo",integrity,"Operaciones no se registran en fecha verdadera - datos temporales incorrectos"
2813,"Llevo semanas tratando usarla, genera errores al ingresar, al transferir y al generar la clave vía mensajes. La plataforma web tampoco funciona. Necesito una solución por favor.",authenticity,"Errores múltiples incluyendo generación de claves vía mensaje"
2814,"Funciona bien, realmente bastante bien. Pero hay días donde no hay sistema y toda la buena experiencia se pierde.",not_applicable,"Caídas sistemáticas arruinando experiencia general"
2815,"Me pedía actualizar. Quité otras aplicaciones y no pude actualizar, desinstalé la aplicación para ver si es posible pero ya no lo puedo instalar a pesar de tener espacio suficiente.",not_applicable,"Imposibilidad de reinstalación tras desinstalación"
2816,"Que estresante! estoy todo el día tratando de ingresar y no puedo me sale falla del aplicativo, le he actualizado luego le he reinstalado de nuevo y nada sigue igual... Por favor arreglen eso.",not_applicable,"Falla persistente todo el día tras actualización y reinstalación"
2817,"Un fraude total, utilizas el aplicativo plin, no se h ace la transferencia, llamas a pedir la devolución y te pasean días, hasta ahorita no retornan el dinero que quise transferir y nunca llegó a destino. Un fraude total",integrity,"Dinero retenido sin transferencia exitosa - proceso de devolución fallido"
