numero_comentario,comentario,clasificacion_iso_25010
301,"No sirve esta aplicación, de cada 10 operaciones qué quiero hacer solo funciona 1, el la app del banco de la nación es más eficiente y eso ya es hablar mucho",not_applicable
302,"solo vengo a calificarlo porque me irrita que salga a cada rato el aviso ""quiere calificar?"" es molestoso",not_applicable
303,pésima la aplicación intento registrarme para acceder a ver mis movimientos o planear desde ahí y no se puede.,not_applicable
304,"Es el peor aplicativo de todos los bancos, no puedo realizar transferencias, no puedo realizar transferencias por plin, malísimo",not_applicable
305,o funciona en las noches y en el día no habré la app . mal muy mal. mejor es otro banco 1 tiene mejor app.,not_applicable
306,pura frecuencia de mantenimiento,not_applicable
307,"El app no funciona eficientemente, ya que en Plin se cobra hasta 3 veces en un solo instante. Luego hay que llamar al banco para que se realice el retorno del dinero, que tarda una semana y hay que ser insistentes. A veces también no se puede pagar, justo se pone en mantenimiento cuando una más lo necesita.",integrity
308,"Me cambiare de banco. Pesima aplicación, no puedo realizar operaciones, mucho demora. En 2 ocasiones salio memsaje de error, me desconto del saldo y a la otra cuenta no llego el.dinero",integrity
309,"No puedo ni entrar en la app, todo el tiempo me sale que hubo un error en la aplicación, que intente más tarde. Así no se puede.",not_applicable
310,hasta las webs tu aplicación,not_applicable
311,"La aplicación es una desgracia, demora demasiados minutos en abrir para poder realizar el pago,sea plin o transferencia.",not_applicable
312,desearía darle 0 estrellas banco de porquería no sirve para nada ninguno de sus canales ni físicos ni digitales son un asco,not_applicable
313,Siempre tiene problemas y no deja acceder.,not_applicable
314,Una total vergüenza.. La atención es horrible y se agarran el dinero de uno pésimo,not_applicable
315,"LA PEOR APP, MÁS LLEGADA LAS 11 DE LA NOCHE NO DEJA INGRESAR, EN OTRAS OCASIONES SE QUEDA COLGADO O SE SALE, SE SUPONE ES PARA PAGOS RÁPIDOS . PÉSIMO!",not_applicable
316,no me deja de solo poner su propaganda/anuncio,not_applicable
317,"me cree una cuenta digital pero ahora no puedo ingresar a mi cuenta por medio de huella digital y para cambiar la clave me pide tarjeta y pin si no lo tengo , ya que es cuenta digital ¿Como recupero mi cuenta ?",authenticity
