numero_comentario,comentario,clasificacion_iso_25010
1301,"No se qué han echo, ya no puedo ni ingresar..",not_applicable
1302,Pésimo,not_applicable
1303,Mal. Actualizan y no abre el aplicativo.,not_applicable
1304,Pesima actualizaciones,not_applicable
1305,"No abre y no puedo hacer ningún movimiento, me sale error",not_applicable
1306,"No funciona ,ni se puede abrir el app del banco scotiabank. Y Edo que dice actualizado.",not_applicable
1307,Para en mantenimiento y el plin se duplica o no sirve de pos si,not_applicable
1308,No puedo abrir la aplicación y me obliga a calificar,not_applicable
1309,No me deja ingresar La última actualización,not_applicable
1310,Bien,not_applicable
1311,Buena,not_applicable
1312,No puedo ingresar a mi cuenta a k se dev arreglen eso porfavor ....,not_applicable
1313,"Es la peor aplicación en el sistema financiero, hoy sábado 22/02/25 desde las 6 am intento abrir el aplicativo y son las 10 am y nada, me impide cumplir con mis planes del día, ya que es el único banco donde ahorro y me estropea mi día. Sino mejora me voy a otro banco donde si me traten bien.",not_applicable
1314,"Realmente esta app deja mucho que desear, se cuelga, ni abre te pide reinstalar, te indica que hay otra versión. Es pésima",not_applicable
1315,por qué no puedo entrar a mi aplicación,not_applicable
1316,Pésimo,not_applicable
1317,Porfavor pongan buenos desarrolladores ya q la app en vez de mejorar lo estan empeorado y a uno como cliente le molesta . Y eso q tengo un samsung s23 ultra gama alta y tiene fallas el app,not_applicable
1318,No puedo instalarlo y no me deja entrar al aplicativo dice adnn 8.8.3,not_applicable
1319,No abre esta pkria,not_applicable
1320,No actualiza la nueva version da error,not_applicable
1321,"Se ha actualizado la app y ahora no me deja entrar, no puedo usar mi Plin y puedo hacer transferencias con mi cuenta",not_applicable
1322,"Esta última actualización es un desastre total, no deja abrir el aplicativo desde ayer está con el mismo problema, sale que no hay detalles para AND versión 8.8.3",not_applicable
1323,Mal aplicativo cambiare de banco,not_applicable
1324,No funciona la app,not_applicable
1325,"Hay un error tremendo con la version 8.8.3. Solucionen de inemdiato. No se puede ingresar al app ni borrando los datos, ni volviendo a instalar",not_applicable
1326,No funciona el aplicativo que mal servicio 😡,not_applicable
1327,"Siempre presenta problemas para poder hacer pagos.,planear siempre con inconvenientes nunca solucionan esos problemas. Fatal esta app.",not_applicable
1328,Me dice que no tengo la nueva versión,not_applicable
1329,"Pésimo, no se puede abrir el app y encima no contentan en banca telefónica, es la segunda vez que tengo problemas con Scotiabank",not_applicable
1330,No puedo entrar a mi banca Scotiabank,not_applicable
1331,No puedo acceder a mi cuenta sale error de ADN,not_applicable
1332,Que pasa con la app no me está funcionando No puedo ingresar Pueden solucionar lo más rápido posible,not_applicable
1333,No abre la aplicación.,not_applicable
1334,No abre la aplicacion,not_applicable
1335,Después de la nueva actualización ya no puedo ingresar a mi app,not_applicable
1336,"Desde ayer no puedo entrar ""no hay detalles para esta app""",not_applicable
1337,"Pesimo no me permite ingresar a mi aplicativo,llamo por telefono y tampoco dan solucion",not_applicable
1338,No puedo entrar al aplicativo que está pasando?,not_applicable
1339,Fatal actualmente,not_applicable
1340,La aplicación no funciona.,not_applicable
1341,Esta app no abre con esta actualización,not_applicable
1342,Terrible este app mal servicio creo que lo mejor es retirarse uno de este banco,not_applicable
1343,Se acá de actualizar y no me permite ingresar. Pésima actualización,not_applicable
1344,no puedo ingresar no hay detalle para AND 8.8.3,not_applicable
1345,La última actualización otra vez tiene errores..no me permite...SALE QUE NO HAY VERSIÓN PARA AND 8.8.3,not_applicable
1346,No funciona su estúpida app ni la banca por internet.,not_applicable
1347,Esta última actualización es de lo peor... Encima no es compatible con mi última actualización de mi Android. No puedo hacer nada!!,not_applicable
1348,Mala,not_applicable
1349,Hasta las caiguas,not_applicable
1350,"La peor app que usé. Pide nueva versión y no se puede actualizar, ahora ni siquiera se puede ingresar a la cuenta.",not_applicable
1351,"Arreglen su aplicación basura, que no me deja aveces ni entrar, otras veces no plinea y otras cosas que aveces me pueden afectar como pagar un taxi ETC, empresa de millones para que su app esté caído todo el día, desgraciadamente tengo que pasar toda mi plata cada vez que me pagan a otros bancos",not_applicable
1352,No funciona,not_applicable
1353,"Hola, no puedo ingresar a mi cuenta, hay que darle un poco de amor a su app chicos!",not_applicable
1354,No puedo utilizarlo desde mi teléfono que pesimo,not_applicable
1355,"No puedo abrir el app, cada vez es más difícil usarlo",not_applicable
1356,Me sale nueva versión la app de Scotiabank y no puedo instalarlo qué problema,not_applicable
1357,Muy mala,not_applicable
1358,Dice que hay un problema para la app tengo la más actualizada y no me permite ya que dice que necesita la versión más renovada,not_applicable
1359,No funciona,not_applicable
1360,"No puedo abrir la aplicación, muy mala",not_applicable
1361,No puedo ingrsar,not_applicable
1362,No funciona el app No puedo ingresar,not_applicable
1363,Que paso con la app no abre no puedo plinear nada😡,not_applicable
1364,No funciona el app,not_applicable
1365,No me deja entrar a mi aplicación,not_applicable
1366,No sirve para nada,not_applicable
1367,Es molesto renovar,not_applicable
1368,Qué pasa con la app? Siempre se cuelga y desde ayer que no puedo entrar.,not_applicable
1369,"Un asco de app , deja de funcionar cuando quiere , sale una nueva versión y se te bloquea todo .. pésimo no deberían tener una app si siempre va estar en malas funciones, desagrado total",not_applicable
1370,"No me gusta, se demora más",not_applicable
1371,Se cuelga,not_applicable
1372,Se cae no deja entrar ni actualizar un caos,not_applicable
1373,Desde la última actualización la aplicación no funciona . Sale No hay detalles para AND versión 8.8.3,not_applicable
1374,Desde hace unos dias intento instalar la app en mi cel pero me sale un aviso que no hay detalles para AND versión 8.8.3. Llamé e indican q hay un problema técnico con su aplicación desde hoy. Leyendo los comentarios no es desde hoy. Espero lo solucionen rápido.,not_applicable
1375,"Acabo de volver a instalarla en Android y no puedo acceder. Pide actualizarla, pero ya la actualice. 🫠🫠",not_applicable
1376,No puedo entrar está peor,not_applicable
1377,No funciona la app,not_applicable
1378,No actualiza la app por lo tanto no tengo acceso desde mi teléfono,not_applicable
1379,Ahora ya no abre la app! Cada vez peor el Scotiabank!,not_applicable
1380,No puedo ingresar con la nueva versión,not_applicable
