numero_comentario,comentario,clasificacion_iso_25010
1901,"Está debe ser la peor aplicación de banco que he usado, ya va más de una hora sin funcionar después de su supuesto mantenimiento, parece que los desarrolladores de la app son mediocres o no terminaron la primaria... Para agregar, hoy supuestamente la gente de atención al cliente me llamó y me sacaron dinero, no recomiendo este banco, tiene ladrones infiltrados, yo ya cerré mi cuenta.",integrity
1902,"No puedes nisiquiera iniciar sesión porque te pide la clave digital, eso está mal, osea para la transacción si es bueno pero para poder iniciar sesión y ver tu estado de cuenta no debería ser importante, uno que trabaja y no tiene tiempo de estar llendo al banco, supuestamente crean la banca móvil por esta razón",not_applicable
1903,"Buena app, pero es molesto tener que reintentar más de una vez para poder ingresar a mi cuenta y este problema viene desde versiones pasadas y aún no lo solucionan. Como comentario adicional estaría bueno también contar con inicio de sesión mediante huella digital.",authenticity
1904,"Una lagrima esta aplicacion, al principio todo bien, vino la primera actualizacion y no podia acceder a mi cuenta, me salian mensajes de error, ahora q quiero cambiar mi clave porque la olvide, no puedo, ya llevo 7 intentos en 2 dias y no llega la clave digital por sms, pese a q indica q ya se envio, ni tampoco funciona la opcion del correo. Pesimo servicio. 2023 volvió a fallar, cada vez q hacen mantenimiento empeoran las cosas, dejen de hacerlo porq no ayudan, perjudican!!!",not_applicable
1905,"Tengo el aplicativo de Scotiabank desde hace tiempo, todo bien, pero a raiz de una actualización del sistema operativo de mi Samsung S10 + a Android 10 que fue ayer, el aplicativo dejó de funcionar. Ahora cuando quiero ingresar al aplicativo no puedo. Por favor pueden arreglar este problema con el Android 10.",not_applicable
1906,La aplicación necesitaba urgentemente una actualización pues su interfaz y funcionalidades estaban desfazadas. Lamentablemente da errores. No me deja ingresar con mi tarjeta de crédito y me exige usar la de débito. Hasta que no la actualicen de nuevo parece que no podré usarla. Muy mal,not_applicable
1907,"Actualizaron y después de hacer todos los pasos me bota un. Mensaje diciendo HUBO UN ERROR EN LA APLICACIÓN INTENTA MÁS TARDE, y así es es tengo 8 días tratando de abrirla y nada me comunique con el banco y me dijeron que iban a solucionarlo en la brevedad, hace 3 días y nada es una porquería lo peor que no puedo hacer mis transacciones por la web y eso me resta mucho tiempo",not_applicable
1908,"La aplicación muestra fallas desde el 12 de junio, no permite el ingreso sale el mensaje «La aplicación no se puede utilizar» no puedo realizar mis transacciones, me comunique con scotia en linea realice los pasos que me indicaron y nada que funciona, y a la fecha no se han vuelto a comunicar por más que envié la información nuevamente.",not_applicable
1909,"Por culpa de esta actualización ahora no puedo Entrar a mi cuenta ,yo estoy fuera del país , que desgracia de banco, a través de esta aplicación pagaba mi tarjeta de crédito y préstamo, ahora como haré para efectuar los pagos,mediocres deben pensar que también hay gente fuera del país que también tienen ahorros en su banco.",not_applicable
1910,"Antes podía ver mi deuda total de mi tarjeta de crédito, y poder pagar... Ahora tengo q esperar hasta q me envíen mi estado de cuenta, para ver con cuánto dejo en 0 mi tarjeta.... Muchas veces cuando quiero ingresar sale hubo un error en la aplicación...",not_applicable
1911,"Señores una crítica constructiva la actualización de la app debería ser 2 veces por año , no hace nada la actualice y ahora me está pidiendo otra ves , y sino la actualizo después tengo problemas para los depósitos a mi cuenta de otros bancos y mi teléfono no es la gran cosa para tener capacidad de memoria etc etc , sean conscientes , buenas tardes",not_applicable
1912,Pense que despues de la actualizacion iba a mejorar la aplicacion pero todo lo contrario...sigue igual no deja ingresar notificando q hubo error en la aplicacion...en todo caso eliminen la app del Play store o pidan ayuda a otros bancos que tienen su app q funcionan excelente...y no les doy ninguna estrella solo pongo una porque si no se podra publicar....deberian arreglar eso tambien,not_applicable
1913,"Hola amigos de Scotiabank, tengo un problema con su aplicación, cada ves que ingreso por la AP me dice Hubo un error en la AP. Por favor vuelva intentar mas tarde, ya aburre cada rato me dice lo mismo, algunas veces ingresa, pero es constante este error, espero que solucione pronto.",not_applicable
1914,Lo peor.... no puede ser q siempre pidan actualizar como si todos vivieramos en la gran ciudad a veces trabajamos lejos donde no hay señal y si hay queremos ver nuestro estado de cuenta pude actualizar..... es lo peor de lo peor no lo recomiendo..... porque es muy lenta pide muchos pasos,not_applicable
1915,"Sinceramente es lamentable el equipo de sistemas que tienen, ya que nunca se ponen en producción algo que no ha sido probado y menos un aplicativo tan importante como lo es para manejar cuentas bancarias, de lo peor esta última actualización. Quisiera ponerles menos de cero estrellas pero no se puede.",not_applicable
1916,"Lo que sucede es que al momento de logearme se queda cargando y no ingreso antes lograba entrar y salir con frecuencia a revisar mi cuenta, en cambio ahora no puedo entrar se queda como cargando luego aparece que tuvo un error. ... arreglen eso lo mas probto posible gracias",not_applicable
1917,Hoy 1-ago su plataforma esta de malas. No funciona el app y ni los cajeros. Las agencias estan abarrotadas. Lo unico que actualizan son las opciones para poder abrir cuentas. sigue sin haber muchas opciones que hay por banca por internet. ves saldos pagas y transfieres en eso se resume esta aplicación.,not_applicable
1918,"Hola, me aparece un mensaje :"" Por tu seguridad, mientras tengas aplicaciones similares a xPosed, Ramjet o Substrate no podrás utilizar el app. ¿A que se refiere?. Eh llamado al numero que manda el mensaje como 5 veces por 3 días seguimos y ninguna operadora me atiende, no deberían poner un numero telefónico de ayuda si no van a atender. Espero recibir una respuesta pronta porque utilizo mucho la app y seria una lastima que por algo así se des-instale.",resistance
1919,"Sres de scotiabank cuando se van a dignar en solucionar el inconveniente de la aplicación, estamos en nuestro derecho de estar informados acerca de nuestras cuentas bancarias, espero se pronuncien, ya que de lo contrario los denunciare ante indecopi, es una burla que no se pueda obtener ninguna información. Si no dan la talla sus programadores pues contraten a otros que realmente tengan las ganas de trabajar.",not_applicable
1920,"5 Jun 2024: Tuve que cambiar de equipo para tener acceso a la app. Le doy 3⭐ a ver si mejoran algunas cosas. 28 de Mayo 2024: Para ver mis movimientos en la agencia, me piden pagar S/.10. Arreglen esta app. 1⭐ 25 Abril 2024: Otra vez falla el App, la última actualización no permite ingresar. Necesito realizar pagos. 😔 Toca ir a la agencia para poder tener acceso a mi dinero, perder tiempo al pagar los servicios y encima pagar comisión 1 ⭐",not_applicable
1921,"Deberian de arreglar esto hace 10 dias o mas estaba funcionando. ahora te dice que si quieres realizar otra operación firmar la unica opción es cerrar sesión y obviamente se tiene que salir , esto no pasa con las app de otros bancos soluciónen esto por que muchos podrían usar el servicio de otros bancos .",not_applicable
1922,No sé por qué que cada vez que hago una operación y paso de una ventana a otra me sale error de aplicación la y te ma da de vuelta al inicio pontu clave y todo ese rollo la verdad que me es incómodo solucionen eso lo más pronto posible por favor a otra cuando transfieres usando plin te pide la clave digital y tienes que salir de la aplicación y cuando vuelves se cuelga la misma cosa te manda al inicio no tiene mucho soporte como la plataforma del BBVA . Gracias .,not_applicable
1923,"Decepcionante. Esta app marchaba súper bien, pero después de las ""mejoras"" (que no especifican cuales son), ahora es nada funcional. Creo que han entendido al revés el término ""actualización"". Al menos agradezcan por recibir una estrella.",not_applicable
1924,"NADA CONFIABLE. Esta app SIEMPRE te saldrá con una desagradable sorpresita cuando quieras movilizar tu dinero. Estás ADVERTIDO. Lo uso porque recibo pagos por este banco pero el mensajito de ""ocurrió un error con la aplicación, inténtalo más tarde"" siempre será un indicador de que tienes que ir a un cajero automático o a la ventanilla del Banco si es que quieres disponer de tu plata.",not_applicable
