numero_comentario,comentario,clasificacion_iso_25010
2001,"Me pidieron que me acerque a un agencia o cajero para actualizar mis datos numero de celular y correo, seguí todos los pasos que me pidieron y cuando ingreso en mi celular me sale constantemente hubo error en la aplicación intentelo mas tarde y no me permite ingresar llevo 2 días en ese plan y nada, mejor estaba la otra aplicación con esa ingresaba al toque",not_applicable
2002,"La app se está cayendo, sale error. Sólo por la web se puede ingresar. Horrible, uno no anda por la calle con laptop en mano como para estar viendo movimientos de su cuenta. Soluciónenlo urgente!!!",not_applicable
2003,"No reconoce mi correo electrónico y los trámites que realizo no son confirmados en él. Cuando trato de agregarlo dicen enviarme un código que nunca llega a mi correo. Antes podía pagar los servicios de Movistar por aquí, ahora es imposible. Deberían trabajar con la aplicación anterior.",not_applicable
2004,"Agreguen que se pueda ahorrar para una meta sin tener que ser una fecha fin de mes automático, si no que se pueda ahorrar el día y la hora que me de la gana porque es mi dinero siento rigidez en sus transacciones, a pesar de que son bien costosas y viven de las comisiones altas como retiros en cajeros que no son de sus escasas sedes, pero arreglen lo del ahorro para darle 5 estrellas a la app",not_applicable
2005,"Cambie de equipo celular y ahora por ningún medio puedo ingresar a mi cuenta, estoy bastante fastidiado la verdad. Solo me aparece que el app tuvo un error inténtelo más tarde... Incluso hice el cambio de clave 4 veces y nada instale desinstale el app varias veces y NADA!",not_applicable
2006,Tiene demasiados errores la app .. Es muy estresante... no puedo transferir ni pagar nada aun así teniendo dinero en mi cuenta de ahorros free.... me pueden transferir dinero a mi cuenta pero yo no puedo transferir ni pagar nada desde dicha cuenta ...... no sé si tener cólera o pena por el banco. Por cierto soy usuario nuevo.,not_applicable
2007,"Era un app buena porque hay mejores pero desde hace un mes o más se cuelga a cada rato y sale error, demora varios minutos en ingresar y a veces ni ingresa. Traten de mejorarla sino tendré que cambiar de banco porque no me está sirviendo.",not_applicable
2008,"Con la aplicación anterior del Scotiabank , iba perfecto .. ahora con esta nueva actualización de aplicación no ingresa ,no me responde la aplicación intentando n veces .. no se puede acceder ni estando en el extranjero para ver tus movimientos .. terrible espero me puedan dar una solución inmediata .",not_applicable
2009,"Desde ayer estoy intentando ingresar a la app y hasta ahora no puedo. Me sale error en la aplicación. 25.03.2019 Nuevamente presenta problemas para acceder a la app. Ya reinicié el teléfono, desinstale y volví a instalar la app y nada. Todo el día con el mismo problema.",not_applicable
2010,"No puedo ingresar a ver mis estados de cuenta. Luego de que piden DNI, número de tarjeta y clave, cuando envían el código de verificación, se ingresa pero no continua la operación, sólo indica volver a enviar código. Solución por favor.",not_applicable
2011,"Al instalar abrió sin problema, dos dias despues no funciona, no me permite ingresar y arroja el mensaje que la sesion ya finalizó y que lo intente de nuevo, lo intente 5 veces!! y no tuve éxito. Definitivamente no es una ayuda, toca usar el computador. He visto apps de otros bancos que si funcionan, porque la de ustedes no?",not_applicable
2012,"Quiero decirle que la app no abre para nada, lo he intentado varias veces y no me ha dado respuesta alguna, quiero saber que pasa con la app, como puedo darle una solución a este problema, de un momento a otro no funciona, no se si sea posible que me pueda ayudar con este problema que tengo en este momento, estaba funcionando bien y ahora no puedo hacer nada, quiero que me ayude con eso para poder tener una mejor respuesta, de la app, era buena podía ver todas mis operaciones, de cuenta, lo cual",not_applicable
2013,"Su interfast es. Buena y amigable , pero. Tiene demaciasos errores de seguridad, cualquiera que te clone el telefono tiene acceso a tus cuentas y deveria una verificacion extra de seguridad como elegir una imagen preestablecida por el usuario entre 10 predeterminadas qué variaran con cada inicio . le daria 10/10",authenticity
2014,"Cuándo va funcionar la aplicación, sigue el mismo error de q tengo aplicaciones q no permiten q funcione, he llamado y me dijeron q desinstale y le quite el permiso de la cámara, y continua el problema, ya hice el mismo procedimiento varias veces.Señores Scotiabank, tengan la amabilidad de responder todas las reseñas q se les dejan y solucionen el inconveniente.",resistance
2015,25 de julio y todo el tiempo sale error. Este APP es pésimo. Nunca se puede hacer operaciones a través de esta APP. Esto viene de hace meses. Podrán arreglar esto algún día. Qué difícil puede ser entrar al app siempre presenta fallas...con su mensaje intente más tarde. Espero le den solución pronto.,not_applicable
2016,La última actualización está pésima. Llevo 2 días intentando ingresar y siempre me dice que hay un error y que lo intente más tarde. Con la anterior no habían problemas. Scotiabank las mejoras siempre suman o restan. Pésimo!!!,not_applicable
2017,No pasa nada con esta app .. una pérdida de tiempo .. ingrese todos mis datos me llegó el código de verificación pero no se puede ingresar .. al momento de poner mi clave web y presionar ingresar la pantalla de hace oscura .. muy mala aplicación... no merece ninguna estrella .. al contrario está aplicación debería pagarme por hacerme perder mi tiempo...,not_applicable
