id,comentario,clasificacion_seguridad
301,no puedo abrir wl aplicativo,not_applicable
302,Es muy mala no me deja entrar al aplicativo,not_applicable
303,siempre para en mantenimiento esta xkeria,not_applicable
304,"Antes la App se cerraba solo por inactividad en 1 min, ahora ya no ocurre, esto es muy peligroso ante robos.",confidentiality
305,pésimo,not_applicable
306,pésima fatal la aplicación se sierra y no puedo hacer ningún movimeto,not_applicable
307,no funciona mi app de BCP,not_applicable
308,"ya va ser un mes que no puedo abrir el aplicativo ya intenté hacer con lo que me indicaron pero aún no se puede. porfavor necesito ver mis movimientos pero ya no se q hacer actualice, desinstale y nada.",not_applicable
309,No me deja hacer mis depósitos. Esta app está mal. Ya la actualicé. No tengo restricciones en la cuenta y aun así me dice:se produjo error.,not_applicable
310,"sigue fallando la aplicación, y no hay cuando lo solucionen",not_applicable
311,antes funcionaba bien pero ahora ingresas y se sale de la aplicación,not_applicable
312,Cuando trato de abrir la app BCP no habré lo eh vuelto instalar y sigue lo mismo no puedo ver mis operaciones,not_applicable
313,"hace más de 1 mes y medio que no puedo ingresar a la app, celular actualizado,app de play store y nada, no dan una respuesta precisa del error pues sus ingenieros de sistemas no determinan el error hasta ahora.....pésimo servicio.",not_applicable
314,mala,not_applicable
315,la pagina no funciona no se que ha pasado,not_applicable
316,"tengo problemas con la app como una semana nunca llega el codigo de seguridad , aclara que ya e echo llegar mi problema al watsapp de bcp por llamada mediante un asesor me han ingresado mi reclamo ,e intentado por todos lados me acerque al banco presencialmente y no me dieron solución tampoco pésimo ya ingrese al fan page bcp por Facebook ya hice la consulta por absolutamente todos los medios,y no me dan Solución!",authenticity
317,muy bueno,not_applicable
318,malisima no me abre mejorar por favor,not_applicable
319,"No me deja ingresar a la app , me deja poner contraseña y se sale de la aplicación , tengo ese problema hace más de un mes fui al banco y solo me dicen que actualice pero nada",authenticity
320,"Desde hace un mes que la app presenta problemas, reinstalo la aplicación, me funciona una vez y luego nunca más, ahora quiero instalar la app y me sale: ""Datos recientes de dispositivos similares muestran que está app podría dejar de funcionar en tu dispositivo"".",not_applicable
