id,comentario,etiqueta
1101,"Dejen de obligar a actualizar. Uno tiene esta maldita aplicación solamente para ver el estado de sus cuentas. Personalmente, no tengo espacio en mi celular para descargar sus actualizaciones cada vez que se les da la gana. Los que quieran tener sus ""mejoras"", que opten por ellas. Los que no, por diversas circunstancias, NO NOS OBLIGUEN",not_applicable
1102,"No debieron haber cambiado la versión es una porquería, esta actual, no me permite transferir a terceras personas, es más ni siquiera se puede ver en pantalla los números completos, espero que regresen a la versión anterior, de lo contrario mejoren de una buena vz la porquería actual..",not_applicable
1103,"Siempre hay problemas con la aplicación. Cada vez que quiero transferir dinero sale un mensaje de error, cada vez que quiero ver los datos de mi tarjeta sale otro mensaje de error... Cada actualización que sacan es peor que la anterior",not_applicable
1104,"Muy mala, cada vez que quiero realizar un pago me dice que se tiene que colocar en automático la fecha y hora para que se pueda usar el token digital. Lo pongo en automático (de hecho siempre esta en automático) pero aún así no se puede. La versión anterior era mucho mejor. Incluso no puedo acceder al token digital para poder hacer los pagos desde la página de viabcp. ¡Pésima!",authenticity
1105,"la app no sirve, a veces funciona la clave a veces no, luego al pedir ayuda vía WhatsApp. los asesores no son directos en la ayuda con tu problema..parecen que están en práctica. al parecer otros bancos con más eficientes",authenticity
1106,"Instale la actualización recientemente y no puedo ingresar a la app. No puedo revisar mi cuenta, hacer transferencia, etc. Actividades que anteriormente las podía realizar sin ningún problema. No sé si será por la versión del android que es 6.0 o algún conflicto con algún programa. Por favor profesionales del área de desarrollo del aplicativo móvil del banco BCP del área de desarrollo. Hacer los correctivos pertinentes para poder continuar con el servicio que se tenía anteriormente.",not_applicable
1107,Es la verdad que trato de ingresar al aplicativo y no se puede me dice que es un error me manda para la página y no se puede por favor arreglen esto también escuchado por ahí que depende del teléfono que tienes con esta nueva actualización qué uno tenga su tarjeta y no puede hacer transferencia o ver su estado de cuenta entonces uno para que quiere tarjeta más bien incita a los clientes que le den de baja porque lástima mente no pueden ver su estado de cuenta me pueden hacer transferencias,not_applicable
1108,"Buen día ! Desde un tiempo para acá no presentaba problemas con la app , pero ya después si. Cada vez que la descargo ingreso los datos y hago mis movimientos , pero al cerrar y querer usarla de nuevo al ingresar bb la clave dice tarjeta bloqueda ! Me pasó eso varias veces y creyendo que estaba bloqueada mi tarjeta la cambie como 4 veces ' hasta que probé desinstalar y instalar la app cada vez que voy a hacer alguna transferencia y es la única manera que no aparezca que mi tarjeta está bloqueda",authenticity
1109,"La actualización del aplicativo es muy deplorable, intento ingresar a mi cuenta con mi tarjeta y demora una eternidad en llegar el código, luego cuando ingreso continuar, se queda trabado el proceso y nunca avanza, ya llevo 3 días instalando y desinstalando para mejorar el proceso, pero no sirve. Esta actualización no merece ninguna estrella, porque hace inservible el trabajo para todos y no puedo realizar ninguna operación.",authenticity
1110,"Siempre falla todas las funciones me fallan, si colitico el token digital, si quiero hacer un pago, si quiero desactivar compras online, si deseo la opción de retiro sin tarjeta, siempre sale error. Enserio es molesto que siempre salga error",authenticity
1111,"Malísima la actualización. No se entiende.el último problema que he tenido es que me pide token físico para recargas a números nuevos, sin embargo a números antiguos (que tenía guardado como favoritos) si recarga con normalidad. Si alguien sabe si es que estoy comentiendo un error espero pueda ayudarme.",authenticity
1112,"Pésimo desde la actualización de todo el aplicativo. A cada rato muestra el mensaje ""Ocurrió un problema"", impidiendo realizar alguna operación. No permite acceder a las transacciones interbancarias guardadas como favoritos, entre otras observaciones...",not_applicable
1113,"Cuando no BCP , anuncian una mejora de la app a bombos y platillos y lo único que hacen es arruinar lo que si servía, cada vez que quiero realizar un pago y una transferencia me pide mi clave token, con la app anterior la clave token se sacaba de la misma app automáticamente, ahora no, pide que se ingrese de forma manual, pero para ver la clave token tengo que cerrar sesión desde la app, en resumen, es imposible ver la clave token mientras hago el pago o la transferencia.",authenticity
1114,"La nueva app se ve muy moderna pero tiene DEMASIADAS FALLAS , no permite hacer transferencias porque sale error , al parecer ahora limitan la cantidad de operaciones que se pueden hacer por el app. Pésimo totalmente, debería salir primero la cuenta de origen y no al revés . Por favor solucionen con urgencia todas las fallas de su app , porque no sirve!",not_applicable
1115,Lo peor de todo es que a mi también se me fue mi token lo tuve que volver a solicitar y ahora cuando hago una transacción me sale que tengo que configurar mi zona horaria y ponerla en automático...y ni asi funciona que mal BCP si van a lanzar una actualización al menos que esta este bien x lo menos...en estos tiempos que uno no quiere exponerse...al menos yo pagaba todo desde la comodidad de mi hogar....manden una actualización arreglando eso x favor,authenticity
1116,"Un desorden está nueva versión. Eliminaron el menú general que te ayudaba hacer una búsqueda simple lo cual la hace menos intuitiva en especial para personas mayores. Los favoritos todo mezclado, no hay separación de categorías. Ahora incluso sale el nombre que uno le puso personalmente lo cual no debería ya que eso es irrelevante para el beneficiario. Sólo te deja poner 3 Productos en la primera pantalla cuando antes podías verla en una sola sin tener q ingresar a otra ventana.",accountability
1117,"Defitinivamente la actualización es una... Demasiadas fallas, desde el token digital hasta el acceso a la app, constantemente presenta inconvenientes que me obliga a usar la banca por Internet, y eso porque para hacer una transferencia me pide token digital, y la app no funciona... Una pésima experiencia desde que se actualizó",authenticity
1118,Primera vez que ingreso y ya da errores. No pude hacer ninguna operación.. como siempre retroceden en vez de avanzar. Deben contratar programadores de verdad y no de juguetes.. creo que debe dar la opción de que se queden gravados o no los datos de la tarjeta para un proximo inicio. Creo es más seguro.,confidentiality
1119,"Pésima, la versión anterior era mucho más práctica y funcionaba bien. Esta se cuelga mucho, y siempre aparece el mismo mensaje ""ocurrio un error inesperado ..."". Lo único que queda es entrar en la banca por internet, porque esta app ya resulta todo una molestia.",not_applicable
1120,"Totalmente disconfome con BCP, más de una semana con el fallo del aplicativo funcionaba muy bien que HICIERON, la solución según indican usemos la web. Me acaban de decir además con tanta tranquilidad como si no pasara nada que recién se resolvera ell 22 de Setiembre. Necesito solucionen pronto.",not_applicable
1121,"Por favor, arreglen su aplicación de una vez. Es lo malo del BCP, a cada rato actualizan y actualizan y actualizan. De todas las aplicaciones que tengo es la que más seguido pide ""actualizar porque salió una nueva versión"" y para colmo está última actualización NO FUNCIONA. Trato de entrar y el aviso de ""hubo un error, inténtelo más tarde"" sale constantemente; algo similar sucede para hacer las operaciones. Por favor ¿pueden diseñar una versión de la app que funcione bien por largo tiempo?",not_applicable
1122,"Una mala aplicación, cambiaron para mal, su aplicación anterior era práctica, funcional y fácil, ahora te limita muchas acciones y falla mucho, y el toquen digital tengo q volver a ir al banco a solicitarlo, porque pese a que figura, allí mismo, mi celular como equipo autorizado dice q tengo que ir a solicitar nuevamente la autorización porque la app cambio.👎👎👎",authenticity
1123,estúpida aplicación nunca puede hacer nada bien a cada rato tiene fallas no puedo actualizar mis datos y ni con el soporte me puedo comunicar por que me sale que intente más tarde una mediocre aplicación,not_applicable
1124,"Tengo alrededor de 1 mes sin poder utilizar la app de BCP desde que se actualizó, por diferentes motivos, dificultad para generar una clave, mensaje de "" vuelva a intentarlo en unos minutos"", etc. En mi opinión, antes de lanzar una actualización, se debe pasar por pruebas que aseguren que el usuario no va a tener problemas para seguir usando la app y además esta debe ser más intuitiva y brindar mayores recursos que la anterior, sino pierde el sentido de mejora.",authenticity
1125,"La nueva actualización del app está con uno o varios bugs cuando habro la aplicación termino de realizar una operación, miniminiso o salgo de la aplicación y, regreso a la misma me sale el msn ocurrió un error y se buguea no vuelve a abrir la misma, intente reinstalar la aplicación que me lleva también a volver a solicitar el token digital un fastidio, intente con reiniciar la aplicación y bueno puedo volver a usar y realizar movimientos(molestia X2) operador Movistar, samsung SM-G991B",authenticity
1126,"La aplicación antes tenía una mucho mejor estructura, la última actualización no te permite ver fechas de pago límites y para todo hay q hacer más pasos, en lugar de hacer las cosas más simples ustedes hacen lo contrario y es más pasos para lo mismo. Muy malos sus últimos cambios",accountability
