id,comentario,etiqueta
1301,"Que paso?? Estaba todo bien, quizás algunas mejoras más, pero todo cumplía su función, ahora nisiquiera se puede ingresar, te bota automáticamente y dice que hay un error, para los que hacemos varios movimientos esto es perjudicial, soporte desarrolladores !! Que paso malogran lo que han avanzado. Actualización urgente!!!",not_applicable
1302,"PÉSIMO!! Desde la última actualización de la App, no sirve para nada! Cómo es posible que ahora pidan el token físico si hace mucho tiempo empezamos a usar el digital. Quiero cambiar la opción a digital y me aparece ""Servicio no disponible"". ¡Solucionen esto ya!",authenticity
1303,"La aplicación cada vez esta peor que antes, con solo decir que quiero hacer el pago de 1 solo servicio y desde hace días me aparece que hubo un error, NO ES POSIBLE QUE EL MISMO ERROR PERSISTA YA DEMASIADOS DÍAS y encima me aparece el mensaje que puedo realizar operaciones en la banca por internet y también me aparece el mismo mensaje. La verdad que es una lástima que tanto haya empeorado pero la verdad que ya me lo suponía desde que eliminaron la posibilidad de poner mensajes en los pagos.",accountability
1304,"Si pudiera ponerles 0 lo haría pésima la actualización, antes salía el nombre de la persona de quien pagaba los recibos,ahora. Nada ni siquiera una inicial para poder corroborar que se escribió correctamente el número. Hay q estar revisando número por número y pagarlo con fe que no te equivocaste en alguno, un asco, lo que hicieron, malograron una buena app, para colmo nisiquiera se puede hacer una simple recarga virtual pésimo.",accountability
1305,"La aplicación es demasiado mala, tiene muchos errores por ejemplo al momento de querer obtener el token digital necesitas enfocar tu cámara y escanear tu DNI las dos caras para obtenerlo, no carga y siempre sale error no moirta cumplas esos 3 pasos. No la recomiendo para nada!!!",authenticity
1306,"Desde hace aproximadamente un mes la aplicación da problemas para abrir y da un mensaje que dice ""OCURRIO UN PROBLEMA Nuestro equipo está trabajando para solucionarlo, danos unos minutos e inténtalo de nuevo"". Este mensaje se repite constantemente lo que me dificulta mucho poder ingresar y poder realizar cualquier operación. Tengo 2 teléfonos distintos uno es un galaxy A72 y el otro un Moto G7 Plus y en ambos teléfonos sucede lo mismo.",not_applicable
1307,No sé puede acceder a la app por qué no envían a mi correo el número de verificación ya llevo 3 días en lo mismo y lo peor es que tuve que desistalar por qué decían que mi tarjeta expiró la fecha y mi tarjeta no a expirado su fecha eso me parece raro y sospechoso tienen que por lo menos avisar a los usuarios si van hace alguna actualización o cualquier otra modificación. Pesimo en serio,authenticity
1308,"Solo la uso porque es la única que existe del bcp,no te puedes equivocar una sola vez al poner tu contraseña cuando vayas a transferir dinero porque la mrd de app te sale error y ya no puedes hacer otras transferencias, simplemente,tienes que hacer todo a la primera o puedes estar días sin hacer nada lo cual es una tontería porque la app se hizo para simplificar esto en vez de ir aun local y hacerlo de esa manera.",authenticity
1309,"Muy enojado realmente con esta app. Para que entonces hacen una app, actualizan supuestamente para mejorar. Cuando cada vez es peor todo. Por motivos de espacio limpie la memoria de mi móvil y al querer ingresar a la app nuevamente solo me deja esperando a que llegue un código . Lo cual nunca llega valga el asunto. Lo cual no puedo ver mis estados de Como lo dije siempre y lo digo nuevamente. Este banco es uno o si no el peor en absolutamente todo. No lo recomiendo para nada. 😠",authenticity
1310,"Esta App da muchos problemas en lugar de facilitar las operaciones, mucho más práctica y rápida era la anterior versión, en esta versión visualizas la pantalla con el texto ocurrió un problema y hay que reintentar muchas veces hasta conseguir realizar la operación...pesimo servicio del BCP",not_applicable
1311,Antes todo bien con la app pero despues de la ultima actualización es todo una m.. Me da error con el token digital al momento de realizar transacciones y justo cuando requiero del servicio si tiene tanto dinero generado por intereses y prestamos que les cuesta destinar un poco mas de recursos al area de desarrollo de la app despues de todo es con nuestro dinero y de las personas que confían en la entidad bancaria con lo que al parecer ustedes estan jugando,authenticity
1312,"Buenas noches, tengo un problema cuando intento acceder a la opcion disposicion de efectivo en el app del bcp. Lo que ocurre es que cuando entro  a esa opcion automaticamente  me saca de la aplicación y tengo que volver  ingresar registrandome nuevamente y por ende me pide solicitar activación de calve tokem. Espero puedan solucionar  este incoveniente. Saludos",authenticity
