id,comentario,etiqueta
1501,"No es mas fácil ni sencillo, al contrario nada se entiende estaba mas ordenado y mas entendible en la versión Antigua, asco esta versión y la anterior a esta, necesitaba mi número de cuenta y no está visible, ni las operaciones recientes, vuelvan a la anterior version y diseño era mas ordenado y entendible",accountability
1502,"Anterioente todo bien con está aplicación, hasta el día de ayer que me sale con que tengo que actualizar la aplicación. No entiendo porque no puedo actualizar la banca móvil BCP, lo intenté un montón de veces y solo llegaba hasta el 91% . Decidí desinstalarla y volverla a instalar y solo llega hasta 23% y no avanza , Luego sale que no se pudo actualizar, no entiendo cual es la falla, realmente pésimo este servicio . Arreglen lo antes posible",not_applicable
1503,"Malísima a mi pareja le robaron el celular he instalado el app en mi teléfono, lamentable no tengo datos pero si wifi y demora demasiado en cargar sale siempre UPS a ocurrido un error y cuando parece que ya voy a ingresar el teclado virtual está en blanco. Si uno necesita haces operaciones urgentes no se puede. No sé si es porque estoy conectada con el wifi o que....si es así deben solucionar no siempre uno podrá tener datos que fastidio.",not_applicable
1504,"La ultima actualización que hicieron es completamente malisima, las funciones de la version anterior cambiaron al 100% no se puede realizar transferencias, recargas de manera correcta, suele salir error y es un problema, deberían de solucionarlo cuanto antes.",not_applicable
1505,"Normalmente soy muy paciente con las plataformas, pero esta vez se pasaron, totalmente una tontería, no carga ni tu saldo, avaecs ni se puede transferir. Tienes que entrar varias veces para recién poder hacerlo. La idea de mejorar la Banca era avanzar pero la anterior era mil veces mejor.",not_applicable
1506,"Pésima actualización. A cada rato aparece la molesta ventana de ""ocurrió un error"". La anterior versión no presentaba estos problemas. Corrijan estas fallas ya que como usuarios es sumamente incómodo y molesto al querer hacer cualquier transacción/movimiento.",not_applicable
1507,Muy lenta se cuelga a cada momento . El anterior estaba mejor no se para que han actualizado para que se cuelgue a cada rato. No entiendo por que cada rato piden actualizaciones. Deben hacer algo que si sea mucho mas facil para el cliente. Y si ven que es mucho mejor el anterior para que actualizar algo que no es bueno.,not_applicable
1508,"Desepcionante está última versión, a cada rato se presenta problemas y no te permite ingresar, si no es la falla del teclado es el típico ""ocurrió un problema al validar tu identidad"", inténtelo más tarde y eso es estresante.",authenticity
1509,Esta app es una porqueria. Desde que lo actualice es la segunda vez que me desactivan el Token digital. Ahora tendré que ir a una agencia a que lo activen. Encima su aplicacion no abre. De suerte ha abierto ahora yresulta que ya no tengo token.,authenticity
1510,"Tengo problemas para iniciar ingresar al aplicativo, solo me dice que he excedido y que intente de nuevo. Ya lo he hecho pero me sale el mismo mensaje siempre, y deben mejorar su transferencia interbancaria, no la llega a concretar y se cierra automáticamente la aplicación.",not_applicable
1511,"Cada rato piden actualización y lo que hacen es dañar más y más la aplicación. No me deja ingresar a la hora de seleccionar los productos (cuentas) dice que ha ocurrido un error y no avanza. He hecho de todo, he instalado y desinstalado la app varias veces.",not_applicable
1512,"Desde las última aplicaciones, cuando se tiene la app en stand-by mucho tiempo, en vez de reiniciarse, se queda en pantalla negra y solo cerrando la app, reacciona. Adicionalmente, quiero configurar la biometría y dice que el cel que tengo no tiene, cuando se usa en apps como Interbank o BBVA.",authenticity
1513,"Esta última actualizacón es tán lenta, demora en abrir la app, demora en aparecer los digitos para la clave, demora en cargar los servicios; y luego me dice ocurrió un error vuelva a intentar maa tarde. Es molesto todo eso. Y no puedo realizar ninguna operación, que desastre! Por favor, arreglenlo pronto!",not_applicable
1514,Horrible ya hace 3 semanas que no puedo usar la app. Herramienta esencial en mi dia a dia. Esperaba que lo iban a corregir pero nada. Es tan facil como volver a la version anterior mientras solucionan el problema pero ni eso.,not_applicable
1515,"La anterior versión era mejor ahora que la actualizaron y habilitaron el tomen digital para hacerlo tu mismo simpre borra en error ,estamos solucionando el problema y nada ,yo va de mal en peor ,se supone que mejorar la aplicación para más facilidad de los movimientos en efectivo ,pero todo es un caso.",authenticity
1516,"La aplicación a nivel visual ha mejorado bastante, sin embargo, en muchas ocasiones no cargan los productos o el detalle de los movimientos. Esto genera mucha malestar ya que se tiene que ingresar muchas veces para que puedas hacer las operaciones que deseas.",not_applicable
