ID,Comentario,Clasificacion_ISO25010
1801,"Pesima la última actualización es poco amigable y confusa incluso las transferencias entre cuentas con total falta de criterio poner primero la cuenta destino y luego la origen es algo pésimo además la interfaz es confusa y los gráficos super simples regresen a la anterior solo había q hacer algunas mejoras de seguridad pero esta actualización es pésima sres lean todas nuestras opiniones la mayoría malas, si se pudiera calificar en negativo créanme que tendrían-5",not_applicable
1802,"El app no me funciona desde más de 2 semanas... Ya desinstale el app y la volví a instalar y nada, posteriormente llamo a área tecnológica del BCP, les.comento mi problema e indican que el app no está funcionando para operadores BITEL, lo cual me parece absurdo porque al restringir los operadores para su aplicación de cierta forma están sectorizado o restringiendo el uso a las personas que usamos este operado lo cual se puede tomar como ""marginación""",not_applicable
1803,"Desde la última actualización no funciona correctamente la app, si logro ingresar es sólo una vez en todo el día y eso. Normalmente pagaba servicios desde allí pero ya va a ser un mes con estos inconvenientes y tendré que usar otro banco. Pésima aplicación.",not_applicable
1804,"Muy mala esta actualización, siempre sale ocurrió un error, no me permite ingresar a mi cuenta. Si van a actualizar tiene que ser para mejorar, es la peor actualizacion que he visto. Si hubiera cero estrellas se las doy. Siempre manda a la banca por internet, y si llamas no te dan solución.",not_applicable
1805,"Ya estaba mal pero se podía controlar, ahora con esta actualización es una app que no ingresa, te desconecta, demasiado lenta, se arruinó totalmente, ojala lo arreglen y regresen a la versión anterior que al menos se podía trabajar",not_applicable
1806,"Hasta ahora después de la actualización no puedo ingresar a la app, y no puedo hacer transferencias ni por la página porque el token se genera en la App y nunca me carga, pésima actualización si no funciona deben de restaurar una versión anterior.",authenticity
1807,"Pense que mi equipo era el que fallaba,finalmente leyendo las opiniones de otros usuarios, veo que la aplicacion es la que falla y genera perdida de tiempo y se cuelga ,etc,etc ,y no se pueden hacer los pagos y/o transferencias.La version anterior estaba bien, no se porque la han cambiado.",not_applicable
1808,"Con la nueva actualización no puedes acceder a la app si es que no has activado elementos de seguridad en el celular como bloqueo por PIN, huella o patrón. Entiendo que es por seguridad, pero en verdad es muy tedioso tener que abrir el teléfono con huella o patrón, peor aún cuando necesite uno abrir el teléfono constantemente.",not_applicable
1809,Desde que actualize no puedo ingresar muy mala actualizacion a veces funciona muchas veces no. Y en los prestamos no se visualiza los detalles de los pagos como la anterior. Nuevamente actualizan y vuelve a fallar es de siempre,accountability
1810,"La aplicación alguna vez fue buena, ahora es malisima. A cada minuto se cae el sistema, no ofrece facilidades y me obliga a tener que hacer todas mis acciones por la computadora. Estoy muy decepcionado",not_applicable
