id,comentario,clasificacion_seguridad
401,llevo desde la mañana tratando de recibir el código OTP de la app para validar la solicitud para sacar mi tarjeta de crédito BCP (aprobada via ANDO) y nunca me manda el código y nadie me da solución ni en la propia agencia,authenticity
402,"pésimo, no puedo entrar a mi app tengo que descargarlo pero al entrar sale ""⚠️datos recientes en dispositivos similares muestran que está app podría dejar de funcionar en tu dispositivo"" y es CIERTO no puedo ingresar a mi cuenta, pesimooo👎",not_applicable
403,pésimo,not_applicable
404,la aplicación no me deja ver los productos que tengo que elegir para poder ver mi saldo,not_applicable
405,buena,not_applicable
406,En muchas ocación el app está fallando .. no deja ingresar y tenemos q estar desinstalando el app ...,not_applicable
407,"la app no funciona desde hace un mes! lo peor es que no puedo pagar nada ni verificar pagos o gastos de la tarjeta que en yape no se reflejan, muy mal, aparte las configuraciones de tarjetas quedan imposibles de realizar,",authenticity
408,su app muchas fallas tiene,not_applicable
409,"No es muy buena aplicación, estaba bien, pero desde hace 10 días aproximadamente que no se puede ingresar a la aplicación de Banca Móvil BCP, es increíble que BCP no tenga profesionales de sistemas que no puedan solucionar esto.",not_applicable
410,"pésima aplicación y servicio de mas a menos,un adelanto de sueldo en lugar de ser una ayuda resulta ser un estorbo a la hora de pagos ya que si te falta un monto tienes que acercarte al banco en persona y perder un día de trabajo,que es más costoso y ojo no cuenta sábado y domingo y genera más molestias cuando uno quiere cumplir y usar las herramientas del banco",not_applicable
411,Esta app siempre se actualiza en el momento menos oportuno.,not_applicable
412,"la aplicación está muy deficiente, siempre hay problemas para hacer transferencias interbancarias, eso de estar instalando y desinstalando genera incomodidad 🙄",not_applicable
413,no me deja crear mi clave de 6 dígitos tampoco me llega la clave de entradas a mi correo,authenticity
414,no abre el aplicativo,not_applicable
415,que mal que en movimientos no diga a quien se le hizo el deposito.,accountability
416,esta fallando la app en celular,not_applicable
417,"La aplicación no me sirve, solo sale en error, hay algo que pueda hacer?",not_applicable
418,no se abre la app,not_applicable
419,"hace ya mas de un mes que no puedo abrir mi app, es un atraso",not_applicable
420,muy bueno,not_applicable
421,pongo la contraseña y se sale de la aplicación hace un mes así está no abre el aplicativo,authenticity
