ID,Comentario,Clasificacion_ISO25010
1901,"Pésima actualización ya de por si OBLIGAN y se deduce que IMPONEN que habilitemos antes de iniciar la app la opción de bloqueo de pantalla, muchos de nosotros no usamos el bloqueo, sería bueno que se haga solo a margen de la aplicación y no del celular en general. P-E-S-I-M-O",not_applicable
1902,"Contiene demasiados errores y lentitud para acceder, si nos van a cobrar el mantenimiento de la cuenta y tarjeta, por lo menos que valga la pena nuestra inversión... Señores del BCP, deben poner mayor interés y dedicación a mejorar la experiencia del usuario a través de esta Aplicación.",not_applicable
1903,"Muy mal Servicio desde la actualización sabe error de sistema no puedo ver mis favoritos para hacer más rápido las operaciones y esto dificulta el trabajo y todos los días es lo mismo muy constante y voy a optar por cambiarme de bco para usar otro aplicativo,, arreglen pronto las fallas o perderán clientes",not_applicable
1904,"Pésima aplicación,es imposible creer que se demore demasiado en entrar a sesión para que luego te diga hay un error llamar a la banca,peor aún...antes no tenía problemas para hacer transferencia pero ahora que pongo mi clave de 6 digitos ya no entre,que porque es inválido,cuando siempre entré con la misma clave,bcp cada vez de mal en peor,me quedo con BBVA, lástima que muchos clientes todavía prefieran bcp,teniendo un mal servicio digital ,y ahora en estos momentos de pandemia, simplemente mal",authenticity
1905,"Pésima la aplicación, todo funcionaba bien, realizar transferencias inmediatas y otras. Ayer antes del mediodía realicé una transferencia y hasta hoy no me dan una respuesta adecuada del porque no llega aún a la cuenta destino ya pasó más de 28 horas.😡😡 Lo peor es que cuando uno intenta comunicarse no atienden rápido toda la mañana llamando y ahora que me responden sólo atinan a decir que debe pasar 48 Hrs. Pésimo",integrity
1906,Un asco de app. Para crear mi clave me pide reconocimiento fácil y he puesto hasta con luz de reflector y siempre me sale que ocurrió un error y que superé el límitede intentos... Día tras día intento y lo mismo sucede. Llevo más de una semana y no puedo validar nada por que su app siempre bota error y que superé el limite de intentos...... una basura de app.,authenticity
1907,"La ultima actualizacion lo empeoro! Para ingresar a banca por internet en pc te piden token digital que solo se tiene la apk, pero la apk te obliga a tener clave de bloqueo de pantalla? No todos deben usar eso. Ya no puedo ver mi saldo ni hacer transferencias! Dejen que se pueda usar como antes sin clave bloqueo pantalla!",authenticity
1908,"La última versión es amigable pero han quitado funcionalidades, como la biometria, poder ocultar cuentas, no se puede modificar el orden de visualización de cuentas. Por otro, la activación del token se debería realizar de alguna otra forma que no sea presencial por la situación actual, esto impide realizar operaciones como transferencia y pagos. Al realizar estos cambios radicales, deberían tener en cuenta estas limitaciones bloqueantes.",authenticity
1909,"He tenido una mala experiencia con la aplicación, no puedo entrar me dice que mi contraseña de banca por internet es incorrecta, pero cuando entro desde una laptop o computadora con LA MISMA CONTRASEÑA si entra sin ningún inconveniente, es ilógico y contradictorio que pase eso una lástima en verdad.",authenticity
1910,Desde anteayer no puedo entrar al aplicativo. Quiero abrir y se cierra automáticamente. No se si está actualización ha hecho que no pueda abrirse en mi celular. He instalado ya la aplicación varias veces y no funciona.¿ Que hago ahora ? . Solo con este banco pasan estas cosas.,not_applicable
