ID,Comentario,Clasificacion_ISO25010
1701,"Desde que se actualizo se desactivo el token digital y no puedo hacer transferencia a otras cuentas bcp solo puedo hacer a mis favoritos. Y se activo token físico que nunca he tenido, espero arreglen pronto. Al querer activar token digital desde la app como dicen sale error.",authenticity
1702,"Esta aplicación es una porquería. Me dicen que mis datos están desactualizados que me acerqué a un banco más cercano, si hice el cambio de tarjeta débito en febrero de este año 2021, además di mis datos actuales. BCP acaso no saben que estamos en pandemia y es una pérdida de tiempo.Ir al banco,hacer la cola, ingresar,esperar que atiendan. BCP ERES DE LO PEOR. NO USEN ESTE APLICATIVO OBSOLETO. TE CALIFICO CON -2000 ESTRELLAS.",not_applicable
1703,"Pésima la actualización, no permite hacer transferencias, siempre sale ""ocurrio un error"", demora en cargar las opciones. ESPERO LA MEJOREN, YA MAS DE UNA SEMANA QUE SE ACTUALIZO .LA.APP Y SIGUE CON EL MISMO PROBLEMA.",not_applicable
1704,"Malisima la actualización y lo peor es que debe ser obligatoria. No puedo estar más de 3min en la aplicación porque se cierra, a parte su menú está un poco complicado, no es ordenado como la actualizacion anterior. De verdad deben de corregir urgentemente para que no se siga cerrando de repente.",not_applicable
1705,"Pésima, con la antigua App podía enviar comentarios de mis transferencias y revisarlas en el correo, ahora no, sólo salen montos por más que escribo el comentario ya no aparece. Tampoco tiene la opción de ocultar mis cuentas y se muestran todas. En lugar de mejorar lo malogran.",accountability
1706,"Se supone que las actualizaciones son para mejorar el funcionamiento de una aplicación... Es decir... Avanzar a mejor... No es el caso con Uds... La han malogrado toda. Pesimamente mal el desarrollo, el orden y la facilidad del uso... Regresar a la versión anterior seria lo más acertado que podrían hacer...",not_applicable
1707,"De mal en peor, prefiero mil veces la anterior versión que con todas sus deficiencias era mucho mejor que la actual. Se supone que toda mejora debe ser para bien, en este caso fue al revés, por favor corrijan a la brevedad y mejoren el aplicativo. Gracias!!!",not_applicable
1708,"Una porquería su nueva actualización. Necesito hacer pagos y no puedo entrar, intento hacerlo por la web y me sale que debo validar mi token digital que está en la app, pero como carajos hago eso si la app no funciona!!! Si no van a hacer algo bien, mejor no lo hagan. Estábamos bien mientras ni movían nada. Desgraciados!!!!!!!!!!!!!!",authenticity
1709,"¡Ocurrió un problema! , el mensaje que veo más seguido cuando ingreso a la app. Se recomienda que arreglen la versión anterior y la relancen en lugar de esta nueva pero nada funcional versión; a menos que quieran perder más clientes. Hay que rezar para que la app de BCP funcione sin ese mensaje molesto",not_applicable
1710,"01.jun.2020: La última actualización está muy lenta, genera códigos de error entre otras cosas... Mucha pantalla para tan poco. 04.nov.2021: luego de más de un año sigue teniendo problemas la actualización lanzada en octubre pasado. Llevo todo un día tratando de hacer una transacción y nada. Ni media estrella les daría.",not_applicable
1711,"No soy del banco, soy un cliente común y corriente pero descubri algo que soluciono mi problema lo cual publico por si les ayuda, si renovaste tu tarjeta y al ingresar sale siempre tarjeta bloqueada y no te deja ingresar, en la app debes ir a la parte superior 👆 izquierda 👈 en el icono de sesión 👤das click y allí cambias la tarjeta antigua registrada y la reemplazas por la actual así ya no tendrás problema de ingresó 😒eso no podían contestar los del BCP, tan difícil se les hace🤷🏻‍♀️",not_applicable
1712,"Una completa porquería, a partir de la medianoche, toda la madrugada y en horas aleatorias del día, la aplicación no funciona, se actualiza demasiado seguido, lo cual entorpece el uso cuando uno la necesita con urgencia o no tiene datos.",not_applicable
1713,"Pésima actualización, ya lleva como dos semanas y no puedo hacer operaciones desde mi móvil. La APP se abre sola, genera mucha confución en todos los íconos, etc. A diferencia de otras APP de otros bancos que sí funcionan e incluso con ingreso biométrico. PÉSIMA NO ME DEJA INGRESAR MI TOKEN!!!",authenticity
1714,"Pésima App. Ningún banco es tan pésimo como la del BCP. De la nada se borró mi token una vez más y nuevamente tengo que ir hasta el banco a activarla. Justo cuando necesito hacer transferencia urgente. Además, siempre se cuelga de la nada, te pide reintentar varias veces, pésimo todo. Una vergüenza que un banco como BCP tenga estos problemas. Con ninguna app de otros bancos he tenido estos inconvenientes. PÉSIMO TODO",authenticity
1715,"Terrible demasiada animación innecesaria, la app se cuelga 9 de cada 10 intentos era una app de banco con la interfaz más simple y accesible ahora parece una versión kids, le doy una estrella porque es lo mínimo que se me permite.",not_applicable
1716,"Esta nueva versión del aplicativo falla todo el tiempo, no carga las operaciones frecuentes, para ingresar al interfaz tienes que reiniciar el aplicativo a cada rato. En pocas palabras no sirve su aplicativo, se hubieran quedado con versión antigua que funcionaba muchísimo mejor que este. Mal BCP",not_applicable
1717,"Un asco esta app, no me permitía ingresar ni actualizar quizá por la antigüedad de mi cel así que cambié de dispositivo, pero por más que intento ingresar no me lo permite, me sale que hay un error y que están trabajando para resolverlo. Ya van más d 1 mes con ese problemas y otros dentro de la app y no lo solucionan, una vergüenza que con todo el presupuesto que tienen no puedan arreglar la app, por qué nos impiden acceder a nuestras cuentas prácticamente? Por internet es donde se dan los robos",not_applicable
1718,"Funciona bien, aunque varias veces he experimentado interrupciones en el servicio, esto se puede entender por temas de demanda o mantenimiento, pero ayudaria si se avisa con anticipacion. Por otro lado, algo que que me ha perjudicado en la app es no poder asignar alias (nombres) a las cuentas, esto era muy util para identificarlas rapidamente. Sin embargo la asignacion de alias si funciona en la web.",accountability
1719,"Pesima aplicacion es lenta y hay veces que no puedo acceder a mi cuenta . Hasta para actulizar hay problemas , solo trae molestias y no mejoran en nada con sus actulizaciones MUY MALA APLICACION encima de todo cuando actualizas tus datos se pierden y tienes q ir al banco para solucionarlo perdiendo mucho tiempo PESIMO SERVICIO",not_applicable
