id,comentario,etiqueta
501,"desde hace 2 semanas no puedo ingresar a la aplicación, ingresa y de nuevo sale después ya no quiere ingresar. alguna solución? gracias",not_applicable
502,"solo pude utilizar un par de meses,luego no me deja ingresar a la aplicación pésimo",not_applicable
503,"Ninguna estrella debería poner, porque la app no abre, simplemente no sirve.",not_applicable
504,Horrible no funciona y no hay certeza de cuando va a funcionar vas al banco y solo te dicen q cambies de celular qué respuesta es esa Mal este banco,not_applicable
505,"La app no abre, al intentar loguearme se cierra sola y sale a la pantalla del teléfono. Da error.",authenticity
506,"buenas noches, que paso con este aplicativo hace una semana q no me funciona, parece como si estuviera bloqueado y no puedo ver mis aportaciones dei sueldo por favor solucionar rápido",not_applicable
507,Funciona bien pero ya no ofrecen token físico.,authenticity
508,"No funciona Qore, no puedo usar los descuentos He borrado y he vuelto a instalar el app, pero sigue sin cargar los descuentos",not_applicable
509,no puedo hacer transferencia interbancaria active mi token y nada,authenticity
510,hace tiempo no se quiere abrir en mi celular no se por que,not_applicable
511,"pésimo, desde hace meses que no puedo entrar a la aplicación por más que la actualizo.",not_applicable
512,demorar en encargar,not_applicable
513,buenas tardes ya se cumplió 15 días sin poder hacer pagos y etc en banca móvil y yape.. instalo y desinstalo entra y luego ya no... es una banco de prestigio BCP premium y sigue los problemas del sistema y noto que no hay solución hablo al WhatsApp y mando la información y nada de nada .. pésimo en realidad una decepción total.,not_applicable
514,"no puedo entrar a mi cuenta, me dice que la aplicación no funciona correctamente",not_applicable
515,"No funciona, ingreso y se cierra nuevamente.",not_applicable
516,"Cuando te depositan más de mil soles te cobran, pero algo es algo poreso le doy 3 estrellas.",not_applicable
517,"Trato de abrir la aplicación y se cierra a cada rato y no me deja ingresar, he borrado los datos caché y nada, he desinstalado la aplicación y aún así nada esto ya lleva más de un mes y nada. Quisiera una solución Espero que me respondan",not_applicable
518,Mucho se lagea solo para mostrar números y fechas,not_applicable
519,está fallando desde hace varios días,not_applicable
520,lo q pasa q no puedo ingresar dise la app no responde y tengo q reiniciar el teléfono para ingresar,not_applicable
521,bueno,not_applicable
522,la app está fallando cada vez q intento abrir se cierra es frustrante cuando necesito con urgencia.,not_applicable
523,ya un mes y medio abro la aplicación y automáticamente se va a pantalla de inicio osea no funciona ya lo instale y desinstale varias veces,not_applicable
524,cada ves m pide actualizar eso no mi gusta Ami,not_applicable
525,"Le pongo una estrella porque de un día para otro dejo de funcionar la app, y ahora en la play store me sale que la app ya no es compatible con mi dispositivo. Debo gastar dinero comprando otro celular para volver a usar la app o que? 😒",not_applicable
526,"una estrella, porque no me deja comprar por Internet. por más que intente no me permite que pague mis productos que quiero comprar me esta haciendo perder barios productos barias ofertas. cada día me está llevando a la quiebra.",authenticity
527,tengo un Samsung s23fe y la aplicación no abre desde la última actualización,not_applicable
528,todo estaba bien pero desde hace 3 días no puedo realizar retiros de mis guardaditos para hacer mis pagos mensuales,not_applicable
529,No funciona Qore,not_applicable
530,han pasado 2 años el aplicativo me sigue saliendo estamos trabajando para mejorar y hasta la actualidad nunca supieron darle solución a que se debe el problema,not_applicable
531,Surge una actualización en mi pantalla al abrir mi app de bcp cuando ejecutó no se da y no me deja usar mi app.bcp,not_applicable
