id,comentario,etiqueta
601,"Sería bueno que implementen la opción de DESAFILIARSE DE ""ORGANÍZATE BCP"", esto debido a que: 1. Ralentiza demasiado la app cuando se activa, pierde un 60% de fluidez en la app. 2. Prácticamente es un navegador incluído más que algo funcional de la app, es como si abrieras una página web y eso no es nada amigable para el usuario.",not_applicable
602,bien,not_applicable
603,"La app no me funciona intento siempre me sale ""error estamos solucionando""",not_applicable
604,no abre,not_applicable
605,"Desastre de app y de banco, su app no abre, espero que lo haga cuando tengan una sanción por las denuncias que venimos haciendo.",not_applicable
606,se cierra la app al intentar entrar,not_applicable
607,"alguien que me ayude por favor, cada vez que quiero transferir me sale ""BM9999 - Ha ocurrido un error en el servicio."" ya tengo tiempo con este problema y no sé qué hacer y no me dan solución el BCP",not_applicable
608,no funciona,not_applicable
609,"después de la actualización no me deja entrar, se cierra arreglen eso",not_applicable
610,"Pésima aplicación, interfaz lenta, el sistema cada 2 pasos de casi cualquier proceso muestra la pantalla de ""hubo un error inesperado, por favor intente más tarde"".",not_applicable
611,llevo semanas que ingreso mi clave y se cierra la app BCP tengo que reiniciar mi teléfono y recién abre ... porfavor solucionen el problema ya me comunique con un asesor pero sigue igual,authenticity
612,no puedo activar mi nueva tarjeta,not_applicable
613,Pésimo! No me deja hacer pagos!!!!,not_applicable
614,todavía falta buenas atención al público cuando deseamos hacer trámites,not_applicable
615,Muy buena,not_applicable
616,regular,not_applicable
617,actualización muy pesadas,not_applicable
618,alguien me puede decir cómo cancelar mís suscripciones ? que me está consumiendo mí saldo,not_applicable
619,"Tengo 5 días con problemas para abrir la aplicación, aún desinstalando y volviendo a instalar",not_applicable
620,mucho problema. cuando quiero abrir el app bcp se cierra automáticamente. esto no sucede con los otros bancos sólo con bcp.....me está causando muchos problemas,not_applicable
621,la aplica con anterior no me tomaba tanto tiempo.p,not_applicable
622,"desde la última actualización no puedo ni ingresar al app, tengo que intentar mil veces hasta que ingresé y después de lograrlo, solo se queda congelado en la pantalla de inicio, pésimo servicio en comparación de la versión anterior y cualquier otra más efectiva",not_applicable
623,ok,not_applicable
