ID,Comentario,Clasificacion_ISO25010
2001,"Al principio tuve problemas al sacar mi token digital, e intenté comunicarme por su canal de atención al cliente, y me doy la sorpresa que es un bot. Lo cual para este tipo de casose fue ineficaz, luego yo mismo tuve que solucionar el problema, pero en si la app está 8/10 si no fuera por que algunas veces se traba la app",authenticity
2002,"Esta nueva App.. es una tremenda porqueria. No me deja ni acceder para nada a mi cuenta, siempre me sale "" Compruebe su conexion a Wifi o Acceso de Datos"" no pueden regresar la antigua App que era mucho mejor q la porqueria de ahora. 😩 La anterior me iba de maravilla, encima me piden actualizarla para ir mejor supuestamente pero esta de Peor.",not_applicable
2003,"No sé si otros tengan el mismo problema, pero cuando quiero hacer una transferencia me sale un error sobre la fecha y hora, antes tenia un equipo de gama baja, así que pensé que era por eso, ahora que tengo uno de buena gama tampoco me deja hacerlo, es una molestia, no sirve para nada más que para consultas.",authenticity
2004,"Desde que cambiaron de interfaz sale frecuentemente mensajes de error o falla y no puedo concretar transacciones a tiempo. Además mi token está inactivo y tengo que volver a ir a agencia para activarlo porque si no, no puedo usar la banca por Internet aunque por el aplicativo si puedo hacer transferencias. No entiendo por qué.",authenticity
2005,Llevo mas de cien veces intentando actualizar el app por que no me permite ingresar. Diciendo actualice . . Pero no sirve acualizar se queda cargando . . .BCP movil. . .lo peor. Hasta ahora. A este paso optare por cambiarme. A otro banco . . .como la mayoria de usuarios bienen haciendolo .,not_applicable
2006,"Pésimo esta nueva actualización, la versión antigua estaba mejor.. desde que la actualice todo esta pésimo.. no sé puede abrir a cada rato sale error para conectarse, inténtelo más tarde.. es lo peor esta nueva versión.. llebo una semana con este problema ya da cólera.. 🤬",not_applicable
2007,"Actualmente no puedo acceder a mi cuenta... deben mejorar la opción de verificación (envío de SMS y eso). La última actualización me impide registrar mi tarjeta, tiene fallos. Ni en mi iPhone pude. Llamé y me dicen que es un ERROR MASIVO. Que pésima app.",authenticity
2008,"20-02-24: Nuevamente luego de actualizar la app se vuelve inservible. Porquería de aplicación, ahora debo buscar otro celular donde poder instalarlo. Llevo más de 2 días sin poder abrir la aplicación a pesar de volver a instalarla desde otros equipos móviles también. Antes de hacer estos experimentos con los moviles de sus clientes instalenlos al menos en las de sus propios gerentes o jefes de sus distintas unidades de negocio para q vean lo lindo q es perder el tiempo en este tipo de cosas.",not_applicable
2009,"Pésimo, después de muchos intentos porfin pude entrar, pero se elimina el token. Estas fechas en que uno no puede salir de casa lo mandan a uno a ir a sus agencias. La actualizacion es mas insegura que antes. Si tenian algo decente hecho porque malograr asi todo?.",authenticity
2010,"Tengo inconvenientes con el token no sé si es por la actualización, pero creo que tendrían que verificarlo y eso de ir nuevamente al Banco y hacer largas colas es Exponernos Espero que se solucione y no afecte a más usuarios que también llegan a utilizar este portal para sus pagos que suelen realizar de manera práctica",authenticity
2011,"Creo que a la mayoría de nosotros los usuarios quienes usamos esta app no estamos del todo conformes con las constantes actualizaciones, la verdad es que cada vez más y más es un problema poder validar un código o ingresar a alguna opción sin problemas. 1 estrella.",authenticity
2012,"Pésima. Cada vez que voy a ingresar me parece el sms de que ha habido un error y tengo que esperar, es un milagro ingresar sin algún problema. La otra es que si ingresas luego no te cargando los saldos,favoritos o para hacer transferencias. Está pésima esta actualización de verdad",not_applicable
2013,"Una basura de aplicación, ahora sí o sí te exigen tener esta app para usar correctamente la tarjeta y no funciona, hasta ahora no puedo entrar y ya voy más de una semana intentando y sigue saliendo error, llamé, seguí todos los pasos y sigue saliendo error, intenté de todo, lo único que queda es acercarse al banco y ponerse en peligro por la pandemia, está aplicación es malísima Hasta el día de hoy no me deja ingresar, dice que ocurrió un problema y listo, optimizen su aplicación basura",not_applicable
2014,"Tengo que hacer algunos pagos y la aplicación no abre, ni siquiera desinstalando. Si es que la actualización no sirve, no debería ser obligatorio actualizarla. La anterior versión era funcional a diferencia de esta. Deberían arreglar bien la aplicación si es que quieren que sigamos actualizando esta aplicación 🙄",not_applicable
2015,"Desde mi punto vista el BBVA es mucho mejor por casa vez que actualizo su app te mando el código diferido y te dan un 2 minutos para que pongas el código, y tbn te la opción de usar la huella dactilar para pueda iniciar sesión cuando vuelves a instalar el app puedes tu mismo activar el token desde a dentro del app si brindarán esa esa facilidad seria magnifico Tbn me permite hacer tranferencia bancaria brindandome seguridad... y no me cobra comisión al hacer la tranferencia",authenticity
2016,"Antes de la actualización que le hicieron a la app funcionaba de manera correcta y con pocos problemas, pero ahora hay problemas casi diariamente no sé si están tratando de mejorar o empeorar la aplicación, a menos que optimicen de mejor manera la app no cambiaré mi reseña",not_applicable
2017,"10 de diciembre 2023, Tienen que arreglar esta app, actualmente esta drenando batería en segundo plano, me puse a revisar en administración de uso de apps en batería, y veo que esta App esta usando recursos e incluso calentando el celular por ratos. Por el momento tendré que ponerlo en suspensión profunda y forzar detención para que no perjudique a la bateria",not_applicable
2018,"La APP funcionaba bastante bien, pero ahora no he podido abrirla porque pide actualización, la cual no pude realizar. La desinstalé y ya no me permite volverla a instalar, sale error. Pésima actualización. ¿Cuál es la idea de malograr lo que funcionaba bien?",not_applicable
2019,"Deberían invertir más en la aplicación porque es un asco, cada vez va de mal en peor. Si pudiera ponerle 0 estrellas lo haría. El Banco de Crédito es un banco de confianza y muy buen servicio, quiero dejar en claro que mi comentario no es para la entidad financiera sino específicamente para al banca móvil.",not_applicable
2020,"Muy mala, ahora que mas se necesita, no funciona hace mas de 15 días quiero transferir dinero y no me permite, que pésima app cada vez que ingreso esta peor ahora es un problema ingresar no reconoce los códigos, no los envían rápido, demoran media hora, o más, quiero pagar servicios y no se puede en pocas palabras, pésima😕",authenticity
2021,"Esta aplicación no sirve. Me pedía actualizar, pero cuando le daba la opción para hacerlo decía error, y no me permitía abrir la aplicación si no actualizaba. La desinstalé para volverla a instalar, porque eso me recomendaba la play store, pero ahora ya no puedo instalarla, ya estoy más de una semana sin poder transferir porque me pide el token. Si no van a servir sus actualizaciones no deberían actualizar.",authenticity
2022,"PÉSIMA ACTUALIZACIÓN QUE HAN HECHO AHORA ÚLTIMO!! No me permite hacer pagos porque según el app necesito NFC para poder realizar operaciones, antes de esta actualización utilizaba sin problema, hacia recargas, pagos, transferencias sin problema...... VUELVAN LA APP DE ANTES!",not_applicable
2023,"Hay que denunciar esto, porque esta afectando gravemente a sus usuarios. No puedo registrar mi tarjeta luego de esta actualización, dice que los datos están incorrectos, sin poder ver mi dinero, sin poder transferir, sin poder hacer nada y llamas al banco y de excusa te dicen que tus datos están bien, que es el teléfono que no tiene actualizado el software o que tu pc no está configurado el antivirus porque ni a la banca por internet puedes entrar.",authenticity
2024,Tengo un problema con al app no se si se debe a las nuevas actualizaciones o que porque ingreso a la aplicación y se cierra Lo peor de todo es que cada vez que hay actualizaciones tienes que actualizar de manera obligatoria o sino no te dejan ingresar a la app Porfavor deseo cuanto antes una solución 🙏 🙌,not_applicable
2025,"Estaba muy bien hasta su anterior diseño, ahora, con este diseño esta viniendo varios errores, no deja hacer operaciones, solo sirve para ver saldo y nada mas, y eso, que varios intentos hay que hacer para poder entrar a la aplicación, pésima, ojala puedan regresarla a como estaba",not_applicable
2026,"Acabo de actualizar la app y no funciona en si ni abre la app, pensé que era mi cel pero no, he incluso lo he desistalado y lo he instalado y nada, hasta lo instalé en la tablet y nada no funciona y lo peor que lo tenía afiliado con el yape y me acaban de depositar y no aparece ningún monto...Por favor arreglen la app",not_applicable
2027,"Hola!! he instalado la app en nuevo dispositivo, pero al momento de querer iniciar sesión el código de validación demora en llegar a mi correo entre 4 a 20 horas, la cual cuando ingreso ya no es valida, lo mismo le pasa a mi colega de trabajo, sugiero que arreglen ese problema lo mas pronto posible.",authenticity
2028,"Debería ponerlo 0 estrellas a esta app. Con la nueva versión ya aparece la opción de biometría pero resulta que en mi Huawei P30 Pro no funciona, siendo un dispositivo de gama alta. El famoso TOKEN DIGITAL que de digital solo el nombre, reinstalé mi app y ahora me pide activarlo de nuevo, siendo el mismo celular, voy al banco y me doy con la sorpresa que me pide mi tarjeta física para activar algo que debería ser digital. Una verdadera perdida de tiempo",authenticity
2029,"Cambiar lo útil por que se vea bonito me parece la peor estupidez realizada por el.Bcp, la anterior versión iba mejor, esta nueva versión simplemente no sirve para nada, te pide 10 veces la clave para ingresar y si ingresas se vuelve a quedar colgada y si llamas a la banca por teléfono lo único que te dicen es apague y encienda su teléfono señor para que la aplicación se instale bien...",not_applicable
2030,Hace 2 semanas que actualice la aplicación. Ahora me piden de nuevo que la actualice. Es demasiado tedioso que a cada rato pidan la actualización. Pésima aplicacion. Prefiero BBVA Continental en Perú que es más segura en todo sentido. Hasta el Plin es más rápido y seguro.,not_applicable
2031,Pésima la nueva actualización!! Ya ni puedo hacer ninguna transacción porque supuestamente no tengo el token vinculado a mi celular. No es posible que en esta situación que estamos pasando los que optamos por pagar desde su aplicativo por no salir de casa tengamos estos inconvenientes.,authenticity
2032,"Me parece una falta de respeto que un banco tan reconocido presente este tipo de plataforma digital que tienen mucho errores, la aplicación no funciona correctamente, para poder ingresar a los estados de cuenta debo eliminar y instalar la aplicación varias veces, para poder así acceder",not_applicable
2033,"Que terrible la nueva actualizacion de la app, no carga la página y sale un mensaje q ocurrió un problema q lo vuelva a intentar o sale que estan trabajando para mejorar. No entiendo xk realizan cambios si no va ha funcionar como uno desea es frustrante querer hacer operaciones y no poder realizar las x los problemas q presenta....!! 🤨🤨",not_applicable
2034,"Si van hacer una nueva aplicación por seguridad tienen que tener organización con el creador de sistema. BCP!! Pónganse las pilas porfavor.Queremos solución!! 🙄😒porfavor. hasta el día de hoy no puedo ingresar a la aplicación . La aplicación anterior era mejor , no había problemas .",not_applicable
2035,"Muy mal aplicativo definitivamente, el peor que otros bancos , ni siquiera cuenta con huella dactilar , si lo tienes asociado en yape y el aplicativo del bcp no funciona , tampoco el yape , deberían mejorar , otros bancos con menos trayectoria que este tienen mejor su aplicativo.",authenticity
2036,Disculpen pero esta actualización solo marea y cuando uno encuentra la opción solo dice que hay problemas con el sistema lo cual me parece que crea una molestia de parte del usuario que cuenta con estas aplicaciones que para uso diario o de emergencia que para eso,not_applicable
2037,"Debido a la última actualización nobse pueden hacer transferencias ni pagos a diversas entidades, sale el error: ME-4101. Porfavor soluciinenlo, ya que nosotros ya estamos acostumbrados a movernos desde la app y ahora debido a la coyuntura es más indispensable que nunca.",not_applicable
2038,"El darle 1 estrella es mucho premio. Nunca funciona, q error, que no eres tu somos nosotros. A ese q tuvo la genial idea de actualizar la app deben votarlo. Antes era maravillosa. Hasta q actualizaron y malograron todo. Algo tan fácil como ver mi saldo de mi cuenta no lo puedo hacer x q sale error. Error, error. Debe llamarse: banca error bcp. Nefasta la app",not_applicable
2039,"Mi token digital fue borrado por actualizar la app y ahora me piden que vaya al banco a activarlo, tocar la pantalla exponerme a la aglomeración de gente todo por actualizar la app no pueden hacer algo bien? Banbif abrió una cuenta 100% digital y todo sin salir de casa y ustedes no pueden hacer una app bien",authenticity
2040,"Pésimo aplicativo (tengo un samsung s22 ultra) automaticamente abro el aplicativo y se cierra, no me deja hacer mis operaciones estoy practicamente impedida a realizar mis transiciones con libertad este aplicativo es pesimo. Con la anterior version todo iba bien y nunca tuve inconvenientes. 😡",not_applicable
2041,"Si pudiera darle estrellas en contra le daría menos 5, te obliga a poner bloqueo de pantalla y no debería obligar, cada quien ve como cuida su dispositivo y el que uso nunca lo saco de casa para que bloquearlo y después de hacerlo me doy con la sorpresa que ya no es compatible con mi tablet.",not_applicable
2042,Que mrd en plena pandemia hacen webadas no puedo entrar a la aplicación me sale máximo de sesiones activar error me. Y cuando lograba entrar mo token no estaba activo pero ya no me deja entrar desde que la actualizaron no puedo hacer nada soluciones señores yaaaaa encima su call center no atiendes me imagino por el tema del covid pero solucionen rapido el aplicativo carajooooooo,authenticity
