numero_comentario,comentario,clasificacion_iso_25010
2102,"Desde septiembre la aplicación viene presentando fallos, no te permite hacer operaciones, me acerqué a una agencia física y me indicaron que efectivamente, estan teniendo inconvenientes en sus aplicativo para móviles, hasta la fecha no lo solucionan, estoy pensando seriamente en cambiar de entidad bancaria por éste motivo.",not_applicable
2103,"La peor experiencia , como es posible que cuando quiero entrar a mi cuenta , no me deja, sale un mensaje ocurrio un error intentelo mas tarde . NO ES LA PRIMERA VEZ QUE SUCEDE , PORFAVOR , son una gran empreza , y VERGÜENZA deberia de darles por errores como estos , ARREGLENLO , QUE FASTIDIO, CREO QUE ME CAMBIARE DE BANCO.",not_applicable
2104,"Yo le daría cero puntaje xq la verdad no se que tipo de app pusieron xq cada rato tengo que desinstalar para poder ver mis movimientos y transferencias siendo un banco reconocido no se esmeran en mejorar muy mal ahora tengo que trabajar con otro banco,. Mejor sería contratar a un experto para que la app pueda trabajar en cualquier equipo de celular y no haya distincion, no solo yo tengo este problema se que hay demás personas que están con este Problema xq veo en el banco que van a reclamar",not_applicable
2105,"esa opción de alcancía es la mayor estupidez que eh visto de un banco , querer obligar a un cliente añadiendo eso lo cual lo veo innecesario lo cual te llena más espacio que otra cosa y realmente me estorba e inquieta eso de ahy de verdad , soluciones de una vez y den la opción de quitar esa bendita alcancía que nada bueno trae, el que quiere ahorrar bien y el que no , pues no ...",not_applicable
2106,Desde el mes de Mayo 2024 estoy reclamando el cobro doble y luego triple de un pago q fue realizado en Marzo . Aún hoy siguen cobrandome intereses y aumentando mi cuota de tarjeta de crédito sin haber realmente usado la tarjeta de crédito . He tenido un accidente . Me atropello un taxi mientras subía y he escrito por número de wassap q me dieron y nunca me respondieron . yo ya no puedo ir físicamente a reclamar . Me parece muy injusto sigan cobrando algo q no debió ser y no reconozcan y quiten .,integrity
2107,"En mala hora actualicé el app pensando que estaría mejor, no funciona nada, la opción de transferencias no funciona se congela y se pone la pantalla en blanco, pensé que era por el internet, pero la falla está en el app, el aplicativo es pésimo y no sirve para nada.",not_applicable
2108,"Simplemente se ha bloqueado la app y no me permite usar mi dinero, no actualicé no hice nada de nada, solo quería entrar a pagar un servicio y me figura que no se puede usar la app, que lo descargue desde play store, cuando ya lo tengo descargado, aún actualizándolo no permite su uso, nosé que ha pasado pero es pésimo la app de Interbank",not_applicable
2109,"Realmente una falla, no figuran los voucher de pago, se han realizado transacciones dobles, coloco el reclamo y me dicen que no procede, tan bien que estaba la aplicación y de hace 2 meses para acá he tenido muchos inconvenientes, sobre todo que no puedo usar una cuenta de AHORRO porque me han cobrado doble las transacciones y no retornan el dinero.",integrity
2110,todo marchaba bien hasta que hicieron la última actualización de la app mi aplicativo no abre no puedo ver nada me aparece en spam y me direccióna play store para abrir la app esto es un desastre era mi opción número 1 pero ahora todo está mal que me obliga a ir al mismo banco para ver este problema de verdad que es algo absurdo que ya me esta cansando y no puedo hacer mis transferencias y ningún tipo de envío de dinero alguien le ha pasado lo mismo o es que yo nomas siento esta frustración,not_applicable
2111,"Una asquerosidad, la actualización obliga a aceptar el envío de la clave dinámica por notificaciones, tengo activadas las notificaciones Push en el celular para la app sin embargo nunca llega la notificación con la clave dinámica y no puedo realizar ninguna operación por el APP. Si funcionaba bien el envío por SMS no debieron modificar",authenticity
2112,"pésima aplicación en todo los sentidos se van de actualizaciones y nunca mejoran nada, el problema siempre es con esa bendita CLAVE DINÁMICA a la hora de hacer un yape, plinno transferencia, se demora una eternidad o simplemente nunca aparece por Dios en una emergencia no sacan de apuros. no sirve para nada. Quiten esa clave dinámica y mejoren sino quiten su aplicación basura",authenticity
2113,"Estiy muy molesta por el mal funcionamiento que da su app, van dos veces que debo reinstalar su app porque viene saliendo el mensaje que no esta instalado y que lo descargue, siendo esto un absurdo cuando esta bien instalado en mi cel.. No veo porque hacen actualizacuones si van a perjudicar tremendamente a algunas marcas de cel.. Que acaso no saben usar las opciones de prueba que da la playstore?? O sea ustedes lanzan actualizaciones sin ver a cuantos dispoaitivos estan perjudicando??? Arreglen",not_applicable
2114,"Desde la ultima actualización mi aplicación se malogra me sale un mensaje que dice ""No es posible ingresar al Interbank APP"" y me pide descargarla, ya la reinstalé 4 veces y me funciona por unas horas y luego poom nuevamente ese error. Espero lo arreglen pronto porque no puedo usar la app para nada",not_applicable
2115,"Si pudieron dar 0 estrellas lo haría. Dos veces se han comido mi dinero, me plinean y no me aparece el dinero para luego después de dos días en movimientos aparece el gasto como mantenimiento de tarjeta y es tarjeta de débito además que no es un mismo monto si no es todo el dinero que entra a la tarjeta.",integrity
2116,"Estoy satisfecho en algunas opciones, por ejemplo me avisan si he echo una transacción a una cuenta y eso; lo malo es que me han estado descontando el dinero de mi saldo habitual y se llegó a ""salvar"" (porque no sé si sea así) lo que tendría en mi alcancía virtual. He tratado de reinstalar la app pero ahora no me llega la clave dinámica, no funciona el echo de ir al cajero y cambiar la clave de seguridad (como lo dice la operadora cuando me quejé del problema) porque el cajero no me reconoce.",authenticity
2117,"Te come el saldo y desaparece la transacción, luego cuando contactas a soporte te piden evidencia pero no hay porque ya no sale la transacción. El monto de pago de la TC qué aparece es confuso, en otras apps como bcp o io es mucho más claro. La empresa tiene pobres medidas de seguridad",integrity
2118,"Jodieron la aplicación, ni se puede colocar todos los dígitos de códigos interbancarios de otros bancos para transferir, solo resulta que puedes colocar 13 dígitos cuando estos tienen más, pésima actualización, antes si se podía pegar el código o siquiera escribirlo, ahora no deja ni da opción.",not_applicable
2119,"A cada rato tiene problemas, siendo una entidad grande, no pueden invertir una buena app, y deberían permitir pagar la tarjeta con otra tarjeta y solo con interbank. Le pondría menos estrellas, pero es lo más bajo que se puede.",not_applicable
2120,"Está última actualización está trayendo muchos problemas, la autenticación para verificar identidad no sirve y por ello no me permite hacer transferencias, una solución urgente llevo semanas así, brindar otros medios de verificación de identidad, no puede ser posible que la única forma sea por identificación facial el cual está mal desarrollado y no deja verificar identidad",authenticity
2121,"Discúlpeme, pero esta app HOY es un COMPLETO MAMARRACHO. Cada vez que se actualiza se cuelga y te pide volver a descargarla y ni aún haciéndolo así funciona adecuadamente. Lo peor es que no es la primera vez que pasa, ya desde año nuevo tuvo fallas similares que duraron varios días.",not_applicable
2122,"Que paso? Actualice la app y no o me deja ingresar, ni bien abre sale el logo se cierra! Ya venía fallando cuando quería hacer una transferencia me salía vuelve a intentar, error, estamos trabajando y hoy no abre pero ya varios clientes han reportado varios problemas porque no solucionan",not_applicable
2123,"Deben corregir urgentemente la parte en la que señala el nombre del establecimiento al se esta pagando con la tarjeta ya que en las transacciones realizadas no aparece el lugar ni la fecha pero se ve el descuento que se realiza,deben solucionarlo!",accountability
2124,entro a la app. me sale un link para una oferta de prestamo. le doy click y me redirige a la pantalla principal nuevamente. es decir el link no sirve pra nada. ademas cuando entro a cualquier link del banco desde el navegador de mi cel este me redirigie nuevamente a la pantalla principal de la app donde despues de loguearme no consigo absolutamente nada de lo que buscaba. funciones completamente inutiles que hacen perder el tiempo y la paciencia.,not_applicable
2125,"El app empezó a fallar salía un mensaje de que tenia que ir a Google Play y volver a instalar. Me recomendaron borrar el cache de memoria y estuvo funcionando por un tiempo. Hoy voy la tercera vez desinstalando, borrando cache, instalando y sigue saliendo el mensaje que no se puede ingresar al app y que tengo que ir a Google Play. No siquiera me pide los datos. No pueden dar una solución sostenible?",not_applicable
2126,"Muy buena la app, es rápida y facilita muchas cosas, lo malo ahora después de su última actualización es q para ingresar hay q estar colocando el número de tarjeta y dni por que no se quedan guardados. Favor de corregir eso, era mejor como estaba antes.",not_applicable
2127,"Cada día peor ,en vez de mejorar la App lo empeora, es muy lenta , cada vez que quiero plinear o yapear no puedo sale un mensaje diciendo estamos en mantenimiento, ni tampoco me permite hacer transferencia interbancaria la peor App yo le daría cero estrellas , como no hay le doy 1",not_applicable
2128,"Llevo 2 días intentando abrir mi app y me dice que no se puede acceder, que tengo que volver a instalarla desde Google Play, ya la reinstale y anoche (13/2) funcionó pero hoy 14/2 estoy desinstalandola nuevamente porque sale el mismo error que ayer día 13. Es horrible desde la última actualización. Horas después estoy reinstalando el app por 3ra vez, sigue el mismo error.",not_applicable
2129,"Cada que quiero usar plin, el código me llega después de mucho tiempo, y cuando llega, me sale un aviso de que la operación está tomando demasiado tiempo y se cancela el plin, llevo más de un mes con el mismo problema y necesito una solución",authenticity
2130,"Debería haber una opción en el chanchito de no poder tocar ese dinero por 3 ,6,12 meses dependiendo del gusto del cliente ,sería mucho más fácil y así evitar de tentaciones de retirar ese dinero .... Espero que lo tomen en cuenta para futuras actualizaciones",not_applicable
2131,"Cada vez más errores a veces tengo que planear o comprar algo y no puedo debido a que no abre siquiera después la nueva interfaz es horrible para la promociones es más fatidioso, tantos aplicativos porque no solo uno pero completo, cambien todo eso para poder empezar a competir con el poderosisimo Yape que raras veces falla y hasta tiene una tienda propia con descuentos para hacer comprás",not_applicable
2132,"Funcionaba perfecto pero desde la última actualización tengo problemas al momento de recibir las constancias de transferencia o similares, indicando que hubo un error, la transferencia se realiza pero no me da la constancia con lo cual debo de estar explicando la situación al que transfiero el dinero, esa situación causa suspicacias hacia quienes transfiero, pero se hace más grave cuando tienes que dar la constancia a por ejemplo una empresa.",accountability
2133,"Ya son como 4 días que tengo que estar reinstalando el aplicativo y no soy la única persona que tiene este problema. No sé cuánto más van a seguir sin dar una explicación o una solución a lo que pasa. Pésima actualización, definitivamente de mal en peor ustedes",not_applicable
2134,Le doy una estrella porque no le puedo dar menos esta App esta mala desde el principio solo pude abrir cuando me cree la clave web esa es la única vez que pude entrar las demás veces me salta un error pensé que era por la clave web así que intente cambiarla y no me manda la clave dinámica para cambiarla duré bastante tiempo esperando una pésima app,authenticity
2135,"Está nueva versión es una porquería, me estresa, pide demasiado acceso a tus contactos, cámara etc, ya no me es amigable, si no acepto, me lleva a desinstalar o detener y no puedo hacer mis pagos, la versión anterior era mucho mejor, por favor mejoren está aplicación para que vuelva a ser amigable.",not_applicable
2136,Con ésta última actualización arruinaron mi experiencia con el aplicativo. Sencillamente por más que hago y configuro no sé activa la casilla de recordar datos y tengo que completar los datos continuamente cada que utilizó el aplicativo. Esto para un adulto mayor es una grandísima molestia.,not_applicable
2137,"Tengo las apps de casi todos los bancos del Perú, y está es la única que no funciona, ni da el balance completo. Tengo 5 días consumiendo en apps y esto no da señal de los recargos que consumo, y de paso funciona cuando le da la gana. Deben mejorar el tic de esa empresa deja mucho que desear con su app.",accountability
