ID,Comentario,Clasificacion_ISO_25010
1801,"Una reverenda porquería! No puedo ingresar a ver mis cuentas porque te manda directo al play store a desinstalar y volver a instalar la app. Es una pérdida de tiempo. Aparte, que es demasiado lentaaaa. De mal en peor. Solucionen de inmediato con todo lo que cobran, pueden contratar alguien capacitado.",not_applicable
1802,"Desde que actualizaron la aplicación tengo problemas para acceder, inclusive llame para recibir ayuda por parte de ibk y me salen diciendo que la aplicación estará habilitado en 3 días y que viene fallando para algunos usuarios. Ya pasaron 5 días y sigo con los mismos problemas. Es lamentable está situación ya que la versión anterior era una aplicación muy potente a comparación de esta nueva. Rollback.",not_applicable
1803,"Increíble el nivel de mediocridad de este aplicativo, desde su última actualización. Ya perdí la cuenta de las veces que he tenido que desinstalarlo e instalarlo. Se demora una eternidad para entrar y cuando por fin se logra el acceso, se cierra intempestivamente. Con esto, que confianza se puede tener en este banco, si ni siquiera pueden ofrecer un eficiente?",not_applicable
1804,"Cada vez que quiero realizar un pago por plin demora en cargar y se cierra automáticamente la aplicación, hasta 15 veces seguidas e pasado por lo mismo, se supone que debe ser una ayuda para realizar un pago ante un apuro, muchas veces e tenido que dejar lo que Hiba a comprar por el simple hecho que la aplicación se cierra cada vez que pongo la opción de pagar por plin. Una desgracia sinceramente.",not_applicable
1805,"No puedo activar mis notificaciones de consumo que realizo con mi tarjeta de credito, ya hice el reclamo hace mas de un año y hasta ahora nunca me solucionaron el problema, creo que voy a tener que dar de baja mi tarjeta, por el tema de transparencia con sus servicios de mantener notificado al cliente en caso de consumos dobles, no reconocidos o excesivos de algunos establecimientos!! da mucho que pensar",accountability
1806,"Con la actualización me di cuenta que había movimientos fraudulentos, ya se había actualizado según yo y hoy me soy cuenta qué hay cobros de diferentes empresas, entré a la nueva interfaz y está horrible primero no encontraba la información básica y segundo las opciones hay qué buscarlas, cuando antes era fácil. Pésima decisión del banco.",resistance
1807,"La aplicación no es mala, pero sería bueno que desdén la app pueda Desactivar o Activar mis tarjetas de Débito como en otros bancos, por seguridad. Solo te deja hacerlo con las tarjetas de Crédito, pero en donde tenemos nuestros ahorros es la de débito, y es la más vulnerable, espero tomen en cuenta mi sugerencia. Gracias.",resistance
1808,"Ya estoy cansado, además que no muestran todas la operaciones y cuando lo hacen tardan más de un día en mostrarlo, recibo 100, en el historial sale que recibo los 100, pero mágicamente solo tengo 95, y ni si quiera se dignan a decir en que operación se resto la diferencia, cada que reviso siempre faltan soles. Mala atención, y mala aplicación.",accountability
1809,"Desde hace 6 últimas actualizaciones se demora en abrir la app y más aún luego de colocar la clave. En total aprox de 3 minutos. Además en la parte de pago de servicios se demora aproximadamente 2 minutos para aparecer la lista de servicios posibles de pagar. Por último agreguen más opciones de pago como lo tiene su competidor Yape. Ahora además de esto, no abre, no se puede compartir los recibos de pagos porque se cuelga. Por último, no reconoce N suministros a pesar que sí hay deuda para pagar",not_applicable
1810,"No puede ser lo están haciendo más difícil, antes se podía ver todas las cuentas en la app, ahora solo lo de la tarjeta afiliada a esta app, y ahora como pudo realizar el pago de mi tarjeta de crédito si antes lo hacía con la de Visa tampoco puedo ver mi depósito de AFP, nos están obligando a ir al banco? Que pasa con ustedes en estos momentos se les ocurre hacer estos cambios, SOLICIONEN ESTE PROBLEMA POR FAVOR",accountability
1811,"Vaya lastre de aplicación, ni actualizando deja de tener errores clamorosos como por ejemplo darle click a PLINEAR y que la app se cierre y se cierre aunque lo intentes mil veces; posiblemente en mi otro dispositivo irá bien o muy bien...PERO POR COMODIDAD Y LOS VARIADOS MOMENTOS ME ES IMPOSIBLE USAR UN SÓLO DISPOSITIVO, dígase por tamaño o equis motivos. Ojalá cuando vuelvan a actualizar lo hagan para bien y no para EMPEORAR.",not_applicable
1812,"Una porqueria de App hace 2 días que me están bloqueando el ingreso y no es problema de datos, primero no podía hacer la transferencia. Elimino el aplicativo y lo vuelvo a instalar y sale su clásico mensaje: ""Por el momento no podemos atenderlo, estamos trabajando para poder ayudarte"" Y el afectado soy yo. Srs. De interbank. Preocúpense por hacer su App más eficiente!!!!",not_applicable
1813,"Me gusta aunque... Mejoraría si fuese como yape. Que: Tiene el QR con solo abrir la App, que es facil repetir envío porque quedan todos los abonos en lista extendible y solo se toca y vuelve a yapear. En Interbank solo se visualiza 3 últimos. Que tiene notificación audible cuando uno recibe dinero. Todo esto hace más fácil y rápido su uso. Espero lo tomen en cuenta.",not_applicable
1814,"Me gustaría hacerles saber a los encargados de las actualizaciones que esta última actualización que hicieron ha empeorado la app, demora mucho en entrar, a veces ni carga, solo se queda en una pantalla negra o blanca por muuuuucho rato, yo disfrutaba esta app porque me permitía usar plin de una manera fácil. Sin embargo, ahora estoy considerando dar de baja a mi cuenta de interbank debido a que se me dificulta el acceso.",not_applicable
1815,"Hace horas que se cayeron todos los sistemas, app y web. No puedo comprar nada. Y en internet no existen noticias al respecto, y cuando encuentras algo, el link desaparece. Como si todo hubiese sido silenciado. Si al menos hubiese algún comunicado. No dar la cara no es buena señal, no demuestran fiabilidad.",resistance
1816,"De verdad que todo lo que hacen con una mano, lo borran con la otra. Me pase al interbank porque me gustó el trato que tienen con el cliente, pero con el plin siempre hay algo malo. Ponen actualizaciones o mantenimiento a las 6 PM, hora en la cual la mayoria necesitamos el app para hacer transacciones o usar plin. Ya he pasado varias veces apuros por querer pagar una compra, un viaje en taxi o algo y me sale que o falla el plin o está en mantenimiento o necesitas actualizarlo justo a esa hora",not_applicable
1817,"debería permitir manejar más de 1 sesión. esta bien lo del reconocimiento facial. pero una vez validada no debería volver a pedir una vez que logueas con otra cuenta. otro punto que veo es que 1 hora antes de las 10 pm que es el cierre de pago de otras entidades, coincidentemente presentan problemas para transferencias interbancarias inmediatas. me ha pasado 2 veces eso y recién se activa horas después de las 10pm y eso hace que mi pago de tarjetas se retrase",not_applicable
1818,"La UI en general de la nueva versión de la app no tiene flechas atrás o ""X"" atrás retroceder o salir a la sección anterior de la app y la barra inferior de navegación de la app desaparece al entrar a distintas opciones de la app así que tampoco se puede usar como antes se hacía, esto lo hace menos intuitivo si usas tu celular con gestos como vienen default muchos celulas sin la barra inferior negra con el clásico cuadrado circulo triángulo.",not_applicable
1819,"Lo que más me gustaba de esta app era su rapidez y eficiencia, ahora es un problema el PLIN, demora demasiado y se cuelga buscando a un contacto, soluciones!!! Ahora ni si quiera me envia la clave para confirmar el plin y después las ofertas o anuncios Por otro lado la aplicación es amigable pero con muchas fallas en su sistema, antes estaba muuuucho mejor. Arreglen esto ya!",authenticity
1820,"Si pueden no usen el sistema de reembolso con la tarjeta de crédito, no te devuelven el dinero que pagaste. Al menos BCP si m devuelve los reembolsos en tarjetas de crédito. Tema aparte, también si una empresa te carga una compra, e La app no te deja cancelarla, los otros bancos si te dejan cancelar compras no deseadas.",integrity
1821,"Problemas con la app, desapareció un sencillo que tuve dentro y la opción de ahorro no está. Cuando quiero ingresar a datos de mi tarjeta y me aparece una notificación diciendo que ""lo siento, no hemos podido realizar tu operación [...]"". Deben incluir también toda las transacciones que se hacer en la misma aplicación.",accountability
1822,Hace unas semanas me abría la aplicación pero demoraba un monto reinicie mi cel la instale de nuevo y ahora es peor abre y se cierra y así a.pasado todos estos días llame a Interbank y ellos me dicen que no les han reportado fallas.. que es algo de memoria ram que es mi celular.. pero yape ha tenido actualizaciones y no me ha fallado para nada y pesa lo mismo que el aplicativo de Interbank. Pues ahora me toca ir a cerrar la cuenta..porq así no me sirve. No puedo comprar un celular nuevo,not_applicable
1823,"La aplicación se ha vuelto lento. Para los trabajadores del banco es rápido y el problema es nuestro dispositivo. La versión anterior si era rápido. Además, con la versión actual no puedo pagar algunos servicios y tengo que recurrir al app de BCP para pagar ya que ahí funciona ok.",not_applicable
1824,"No se que le actualizaron, por el contrario parece que la empeoraron, al abrir demora una barbaridad si deseas hacer plin es casi imposible o se cierra solo o aparece un mensaje de cerrar o esperar , realmente yo era feliz con esta app y este banco pero ahora lo han complicado en vez de hacerlo simple , lo único que se ve que lo simple de antes ahors lo simple es complicado y lo peor de actualizacion nada ah e incluso si me hacen un plin mi banco no avisa a diferencia del app de tape. por favor solucionen de una vez esos problemas. Antes tamvien tenia abseso aver a quien tengo como tarjeta adicional y hasta eso borraron. y en la pagina web no puedo bajar mis estamos de cuenta anteriores. Todo un problema",not_applicable
1825,"Hasta hace 3 meses aproximadamente todo funcionaba muy bien, pero la app viene fallando mucho sobretodo las últimas 3 semanas. Terrible, se cierra intempestivamente al terminar una operación, no permite enviar constancia de pagos, el servicio de PLIN se cae constantemente. Es sabido que la agilidad bien llevada ofrece muchos beneficios al usuario final, pero pareciera que se enfocan en implementar funcionalidades o actualizaciones que están originando errores y problemas.",not_applicable
1826,"La aplicación no funciona cuando el celular se conecta al wifi. Con wifi aparece el siguiente mensaje: ""lo sentimos ocurrió un problema al conectarte con Interbank. Por favor intenta nuevamente en unos minutos"". Me parece terrible que no arreglen este problema ya que no puedo pagar mi tarjeta ni hacer operaciones. Tengo este problema en mi celular Xiaomi POCO X3 NFC. Cuando la trato de abrir con datos del celular si abre. Arreglen ese problema de que la aplicación no abra con wifi",not_applicable
1827,"En la App dice que no esta configurado para realizar operaciones, hago todos los pasos para activar y cuando llega la clave dinamica aparece un mensaje que dice que ""lo sentimos tu tiempo de conexión ha expirado"" desinstale y instalé unas 4 veces y sigue igual, llamo el centro de atención y no me brindan una solución, creo que es hora de cambiar de banco",authenticity
1828,"La actualización del App malogro todo el prestigio de Interbank, no se puede ingresar y cada vez que intento me bloquea saliendo un mensaje que mi contraseña esta errada o que se detectó un movimiento inusual. Lo peor es que uno los llama y se hacen los sorprendidos como si yo fuese el único con ese problema y no dan una solución.",authenticity
