ID,Comentario,Clasificacion_ISO_25010
1701,"La aplicación funcionaba perfecta, pero desde la última actualización me ha arrojado varias el mensaje que debo desinstalar y volver a instalar, lo hago y funciona un dia o dos, luego me vuelve a salir el mismo mensaje, acabi de volver a instalar, cambiar mi contraseña en la web y el ap me dice que ha ocurrido un problema y que lo resolveran pronto. Por favor resuelvanlo pronto, por ahora estoy usando solo las cuentas de otro banco.",not_applicable
1702,"Al realizar compras internacionales siempre se hace un cambio a dólares,incluso si la compra es en soles, haciendo que se pague más, esto no es informado de manera clara en ninguna parte e incluso si en tu cuenta tienes solo el dinero exacto para esa compra, se te permite entrar en deuda al pagar, haciendo así que termines con una deuda.",integrity
1703,"Ésta ves le doy un punto porque ya van como tres veces en poco tiempo que hago una transferencia pero no me sale la confirmación, sólo de qué hay un error y que revise pero igual la transferencia ya se hizo, eso me puede causar problemas, simplemente si no se puede o no hay buena señal que no se haga la transferencia porque así no se puede corroborar si se hizo realmente la transferencia. Es el único problema",accountability
1704,"Sres de INTERCORP, deberían mejorar en contratación de especialistas que mejoren totalmente la aplicación, como es posible que no haya la opción de disvincular la cuenta de otros dispositivos, esto es peligroso, cualquiera puede instalar la aplicación en diferentes dispositivos y no hay un control, robaron el celular de un compañero, y cuando quiso instalar su banca en un nuevo celular, resulta que estaba instalado en otro dispositivos, seguía instalado en el robado y ahora lo tiene en el nuevo",resistance
1705,"El servicio del banco en sí me gusta, pero el funcionamiento de la aplicación es un asco. No registra mis movimientos (compras y transacciones) de forma inmediata, tardan varios días en registrarla y mientras sólo ""falta dinero"" en la cuenta.. no te permite llevar el registro adecuadamente. Además de las constantes fallas que presenta la aplicación para ingresar a la misma. Decepción total.. arréglenla y actualícenla.",accountability
1706,"No me deja entrar a la aplicación. A pesar de tener un excelente equipo. Descubrí que tengo que darle muchos permisos para que funcione, esto resulta bastante invasivo. No existe la opción de no aceptar ciertas funcionalidades, no hay botón ""cancelar"" o ""no aceptar"", es un aplicativo mal diseñado. No sirve, por necesidad seguiré usando la PC, porque el App del móvil es invasivo.",confidentiality
1707,"No concluye correctamente la operación, dice que hubo un error, pero si me descuenta el dinero y no se refleja, tampoco envía el reporte al correo, tengo que salir 6 volver a ingresar para ver el saldo actual, tampoco graba operaciones frecuentes por el error, realmente, antes era mejor... espero la arreglen o será inoperativa al final y no se podrá usar, aún no pruebo plin en esta, al menos espero funcione bien eso o tendré que manejar mi dinero en otro banco otra app",integrity
1708,"Actualización: una cajera muy amable (la única) me ayudó a desafiliar y volver a afiliar. No entiendo por qué tenía que hacer eso pero ahora sí funciona! No puedo usar efectivamente la app. Ya afilié la clave dinámica por SMS y no me llega la clave al celular. Cuando me comunico por teléfono me hacen esperar 10 minutos, por WhatsApp no solucionan nada, me piden hacer tonterías como desintalar y volver a instalar. Llevo dos días teniendo la esperanza de que realmente funcione la app...",authenticity
1709,"Mal, la aplicación no te muestra a tiempo real tus movimientos, tarda más de un día para poder visualizarlo y no ayuda, tengo dos cuentas en dólares y soles y aveces los establecimientos te cobran en dólares cuando es en soles y no puedes verlo en la aplicación entonces para q sirve? Tampoco así te cobran doble. No me da seguridad, ni me ayuda",accountability
1710,"He tenido muchos inconvenientes, no figura movimientos de compras, tanto así que hay importe retenido por el banco por compras no procesadas. Es una irresponsabilidad de su parte y no la asumen, además quiero pasar saldo de mi alcancía a mi cuenta y disminuye la alcancía y no figura el monto que he pasado a cuenta. Voy al banco y no saben explicar lo que pasa. Es un desastre, que decepción solo espero tener todo en orden para pasarme a otro banco. Ni más interbank",accountability
1711,"Un problema recurrente en la App es que en las noches y fines de semana es prácticamente imposible hacer pagos porque ""ocurrió un problema y están trabajando en solucionarlo"", y si llamas al servicio telefónico después de las 4pm, NADIE te responde pese a entrar la llamada y que el horario indica que aun deberían estar trabajando. No tengo dudas de que el servicio IBK ha desmejorado y la App lo refleja en cada actualización.",not_applicable
1712,"La app está bien. Pero acaba de hacer hoy, varias compras por internet, pero al verificar la app no se ven registrados los montos del gasto de los movimientos. Seria muy útil ver cuánto uno consume y que figure en los movimientos. (Procedencia, monto, hora y fecha, etc). Edit 1 7/720: Ya corrigieron lo anterior. El problema ahora es que ya no guarda el número celular de las operaciones frecuentes. Ahora tengo que volver a escribir los números cada vez que quiera recargar el saldo de un número.",accountability
1713,"Estaba excelente hasta que la actualizaron, ahora no puedo pagar mi tarjeta a través del app porque no puedo visualizar mis 2 cuentas (débito/crédito) para poder realizar esta operación, obligan a sus clientes a ir al banco a realizar este pago, algo que demanda tiempo perdido, gracias interbank, no esperaba nada de ti, pero aún así lograste decepcionarme",not_applicable
1714,"Una vez dentro de la app, en los productos que uno posee, al hablar de tarjeta de crédito no te muestran el estado de la membresía (donde te indica que mes consumes y que mes, no) lo que te puede evitar pagar la membresía... Claramente eso no le conviene a Interbank. Sin embargo, al ingresar desde una laptop si aparece, lástima que no es el medio más usamos",confidentiality
1715,"Recomiendo al banco dejarse de idioteces. La nueva actualización además de ser súper lenta, borra tus datos para que los vuelvas a ingresar. Una vez lo haces te dice que intentaste muchas veces y tu clave fue bloqueada y la ceresita del pastel es que no permite el reconocimiento por huella dactilar. Asco de banco. Asco de servicio. 🤢 Le daría 0 estrellas.",authenticity
