numero_comentario,comentario,clasificacion_iso_25010
2001,"Sinceramente me gusta la interfaz y la remodelación que hicieron pero hay muchos errores , es confuso , las letras no son visibles y cada ves que quiero hacer un pago plin o inter está en constante cambio o reparación y muy lenta,espero que mejoren , que sea accesible y fácil de manejar con rapidez",not_applicable
2002,"Cada día el mismo problema, indicando que desinstale e instale nuevamente el app, ya van más de 5 veces que hago lo mismo y a las horas se repite igual. Cada vez peor después de cada actualización, en vez de facilitarnos y ayudarnos con la app, solo nos generan inconvenientes, lo digo como cliente.",not_applicable
2003,"Un desastre el aplicativo, genera problemas en las transferencias porque no pasan o se cuelga en plena transferencia lo cual genera confusiones o problemas, aparte de eso quitaron la opción de tomar capturas al app así no se puede verificar cuanto monto tenias o verificar algun descuento que no figura en los movimientos, interbank esta fallando y perjudica a los usuarios.",accountability
2004,"Después de la actualización tengo que estar eliminando el app e instalar nuevamente para poder acceder a mi cuenta, cada ves que ingreso me aparece el mensaje ""No es posible ingresar al Interbank App, por favor descarga la aplicación desde Google play"" y antes nunca me aparecía así se solicita que revisen urgente por favor. Gracias.",authenticity
2005,"No funciona el reconocimiento facial de su app. Ya desinstale la aplicación como me indicaron cuando llamé, ya fui al banco y nadie ha podido ayudarme. La última llamada el joven que me atendió por teléfono no me ayudó en nada, le dije que nada de lo que me indicaron funcionaba pero me dijo, si funciona. Y que no había solución. Pésimo servicio. Ahora no puede transferir ni usar plin por la app.",authenticity
2006,Esta app antes funcionaba bien para pagar con la tarjeta de crédito y ahora falla por completo. Con el plin no hay mucho problema. Tanto billete que tienen y no pueden mejorar la app. Es una porquería pues uno está obligado a hacer los pagos de servicios por la página web (que es bien lenta).,not_applicable
2007,"Terrible experiencia La aplicación no abre!! Me sale un msaje: ocurrió un problema al intentar conectar con interbank. Llevo días así, no puedo realizar operaciones y es una gran pérdida de tiempo y energía tener que ver otros medios. Solucionen ya el problema o me cambio de banca, como hará la mayoría aquí!",not_applicable
2008,"Tenía una imagen muy buena de este aplicativo pero desde su última actualización ya no puedo hacer transferencias interbancarias inmediatas y se demoran 2 días en llegarme el dinero, cuando en su version anterior altoque me llegaba el dinero a lo maximo 10 minutos esperaba , y ahora otro detalle cuando me dirijo al icono de operaciones se me cierra el aplicativo y eso que manejo un Samsung A72 para decir que es mi equipo el que no lo soporta. Por favor solucionen esos detalles",not_applicable
2009,"A app era buena pero esta pésimo con la actualización, requiero la app justo ahora y me sale el comunicado de: ""Lo sentimos, no hemos podido realizar tu operación. Estamos trabajando para solucionar el inconveniente"". Llevo la casi toda la tarde intentando ingresar y nada.",not_applicable
2010,"La nueva actualización es un desastre con la nueva UX, para ver los movimientos de la tarjeta no permite desplazarse hacia abajo, al arrastrar la tarjeta se superpone en sentido inverso, un desastre total, ademas ahora se puso mas lenta la app. Como pueden lanzar una actualización sin testear bien la UX",not_applicable
2011,"Hace poco recibí mi tarjeta y ya van 3 días que no puedo ingresar a la app... Intento todo el día y hasta e formateado mi celular,, y absolutamente nada.. ""Lo sentimos en este momento a ocurrido un problema.."" que estrés.. Y yo q me quejaba de mi tarjeta BBVA. Ahora lo extraño.. Que malisima este app.. La banca por Internet de la web tampoco carga.. Que esta ocurriendo!",not_applicable
2012,"Hasta hace unas semanas funcionaba muy bien, era la mejor app de bancos, pero de pronto o nose si por una actualización, no funciona como antes. Sale mucho mensaje de error. Cuando realizó algún pago o transferencia se cierra la aplicacion y no da opción a compartir el voucher",accountability
2013,"A cada rato tego que entrar para poner otra vez y otra vez mis datos. Ya me tiene harto, y es muy molesto por que la mayoría utiliza para hacer pagos mediante transferencias, y no es seguro andar a todo lado con tarjeta para estar poniendoa cada rato, es muy molesto que se borre todo los datos a cada rato.",authenticity
2014,"La peor aplicación de todos los bancos es increíble que un banco grande tenga una aplicación tan mala, parece que la hubieran desarrollado niños de 7 años, hasta las aplicaciones de las cajas municipales son mejores que la del interbank, gracias a ustedes ahora no dejo de andar con efectivo porque se que si quiero pagar con plin o transferencia lo más seguro es que acabe con un derrame, por la aplicación tan mala que tienen",not_applicable
2015,"Antes de las actualizaciones del App todo marchaba con normalidad, pero luego me pidió que actualizará el aplicativo, por lo que una vez realizado, ya no me permite ingresar al sistema, estamos para trabajando para el inconveniente, favor de solucionar este problema de carácter urgente.. Gracias",authenticity
2016,"Le habría dado cinco estrellas pero desde la última actualización (marzo), no puedo realizar pagos ni configurar mis tarjetas incluso las transferencias tienen problemas en los montos que se asignan. Señores de Interbank espero que solucionen esto a la brevedad posible.",integrity
2017,"Definitivamente la versión anterior era mucho mejor. En términos técnicos, está es lenta tengo problemas para algunas operaciones y la visión de historial es más reducida que antes. A Nivel estético es vacía, el blanco es muy intenso para los ojos y la distribución de la app me pierde un poco.",not_applicable
