ID,Comentario,Clasificacion_ISO_25010
1102,Actualización a cada rato,not_applicable
1103,1 estrella porque a cada rato estan actualizando la app y tambien porque todo los dias a las 12 de la noche no funciona para plinear es molestoso esto,not_applicable
1104,"Complican a uno, ya que con cada actualización nos perjudican. Ya que demanda mucha memoria y hay que eliminar programas instalados 😡",not_applicable
1105,"ya van horas que dice actualizar y se queda la pantalla en verde con el logo de Interbank, además cuando uso plin muchas veces me dice; no se pudo hacer la operación y cuando recién lo acepta resulta que he plineado más de una vez y no a quien quejarse , me ha sucedido en el taxi muchas veces",integrity
1106,siempre tiene una falla esta basura de app,not_applicable
1107,se espera un mejor servicio y menos caídas de su sistema ejemplo plin transporte no funciona y no lo publican q vergüenza de banco,not_applicable
1108,se cae su sistema cada rato,not_applicable
1109,Pésimo a cada rato actualización y encima es la app más lenta que existe,not_applicable
1110,Un desmadre,not_applicable
1111,"lo actualize y ahora sale modo cargando, hace 10min",not_applicable
1112,"cada actualización es peor, no llegan las claves dinámicas. pesimo",authenticity
1113,las actualizaciones son demasiado.. siguen con problemas de tecnologia,not_applicable
1114,no me gusta que no me deja tomar capturas,not_applicable
1115,"la app en general funciona muy bien, sin embargo, sacan actualizaciones dos o tres veces por semana, me ha tocado actualizar la app muy apurada por qué estaba por pagar algo en ese momento y no abría la app, deberían actualizar si , pero no tan seguido.",not_applicable
1116,el app se me laje constantemente me sale error y tengo que reiniciar mi cel para poder ingresar,not_applicable
1117,NO DEBE PEDIR A CADA MOMENTOS ACTUALIZACIONES SE PIERDE TIEMPO,not_applicable
1118,es muy lenta al abrir,not_applicable
1119,no me deja controlar mi cuy,not_applicable
1120,Se demora en cargar.,not_applicable
1121,"La última actualización, se demora demasiado el navegar de una pantalla a otra y en obtener la respuesta al consultar las operaciones. incluso se cierra la sesión por tanta demora 🥺 se pierde mucho tiempo....",not_applicable
1122,"la app se queda demasiadas veces, de un momento a otro",not_applicable
1123,"se cae el app en cualquier momento del día, sin aviso y es por ratos bastante largos, definitivamente las actualizaciones empeoraron algo que estaba bien",not_applicable
1124,bien,not_applicable
1125,Estoy intentando ingresar a la app desde ayer y no ingresa.,not_applicable
1126,"desde que actualizo la app no funciona, no puedo plinear ni hacer ninguna operación... ah parte que su personal es incompetente y no sabe resolver este tipo de problemas... mandan a comprar telefono nuevo cuando uno puede yapear comodamente desde cualquier teléfono",not_applicable
1127,"nunca me llega la clave dinámica, siempre tengo problemas con el aplicativo, no lo recomiendo, desgraciadamente la entidad con la que trabajo trabaja sus pagos por medio de este banco, pésimo",authenticity
1128,basura de aplicación no puedo transferir,not_applicable
