numero_comentario,comentario,clasificacion_iso_25010
2302,Para que miercoles le meten la mano a la app... Funcionaba muy bien hasta la Ultima actualizacio..... Se mueve desordenadamente los movimientos cuando uno quiere bajar...... Una porqueria..... Me largo al BCP es una app sencilla de usar.... En el banco ni saben dar una explicación ni orientacion...... Servicio pésimo de Interbank,not_applicable
2303,No actualiza los estados de cuenta de mi tarjeta de crédito e insiste que pague dos veces una compra que he realizado,integrity
2304,"A cada rato me pide actualizar la app, lo peor es que la actualizo y sigue siendo lo mismo de siempre....",not_applicable
2305,horrible aplicación cada rato actualizacion y no hay una mejora veo lo mismo envés me ha aparecido más publicidad,not_applicable
2306,"Le daba 5 stars pero esta última Actualización 18/02 no me funciona el botón de retirar o guardar de alcancía, porfas arreglendo Android 10 sam-S9",not_applicable
2307,"pésimo, pide actualizar a cada rato... no sé puede pagar rápido con Plim porque pide actualización, malísima aplicación",not_applicable
2308,mala pide mucha actualización y como que se cae el sistema y a veces no abre,not_applicable
2309,Ya voy 3 días después que me pide actualizar y no puedo hacer ninguna transferencia y tampoco funciona la alcancía virtual,not_applicable
2310,"actualicen, hagan mantenimiento a la app en horas de madrugada, no durante el día Que eso es molesto",not_applicable
2311,no necesito actualización estoy de viaje y no se hacer esos tipos de actualizaciones yo necesito ayuda no puedo ver ni mis saldos.,not_applicable
2312,"La App de Interbank, está hasta el perno, cada actualización es peor... Quiero Plinear, no arroja la Clave Dinámica, Quiero transferir tampoco arroja la clave Dinámica... Se cuelga a cada rato, lo mismo sucede con App. Izipay Ya, lo mismo no arroja la Clave Dinámica... Que pasa con Interbank??? Cada día peor... Tuve que hacer un Pago Urgente, y ningúna de las App de este Banco me funcionó...👎🏻",authenticity
2313,"Ahora las operaciones y acciones comunes que haría se tardan una eternidad, por no decir que se quedan congeladas. Pésima actualización que ni siquiera debería de llamarse así porque esto se trataría de una involución. ¿Pero qué estándares tienen para que algo así se apruebe y aplique?, diría que ok si fuera una beta pero como es oficial no daré mi mano a torcer.",not_applicable
2314,"Deja mucho que desear, con frecuencia me sale un mensaje que están trabajando en la aplicación.",not_applicable
