ID,Comentario,Clasificacion_ISO_25010
601,"Srs. de Interbank, desde hace un tiempo tengo problemas con la clave dinámica, en una ocasión tuve una emergencia y no pude realizar un pago, deberían ver alguna actualización para solucionar esto, entiendo que no soy el único.",authenticity
602,"Deberían mejorar sus sistemas, una hora para poder transferir dinero. pésima app",authenticity
603,"Las claves dinámicas no llegan hasta 1 hora después, una emergencia que tenga recurro a otro banco. Paupérrima actualizacion!!!",authenticity
604,que pesima app,not_applicable
605,no se puede ni plinear ni transferir no llega el código,authenticity
606,"No le pondría ninguna estrella porque son una basura, le puse una estrella porque sino no deja publicar la opinión, su app solo es pérdida de tiempo. No se puede hacer ninguna transacción porque la bendita clave dinámica nunca llega.",authenticity
607,con la última actualización no llega el código de verificación,authenticity
608,"Pésimo servicio, no me permite hacer transferencias ni yapear a otro número. Llevo varios días sin poder retirar el saldo de mi cuenta, solo puedo optar por cajero.",integrity
609,"desde la última actualización no me deja hacer pagos por plin ni yape , ese era el único motivo por el cual tenia esta aplicación pero ahora que ya no se puede por que el código nunca llega toca cambiar de banco",authenticity
610,"PÉSIMO!!! PARA CUANDO PIENSAN ARREGLAR SUS FALLAS DE SISTEMA COMO LA MALDITA CLAVE DINÁMICA QUE NUNCA LLEGA!!! PARA UNA EMERGENCIA RETIRAR O PODER HACER TRANSFERENCIA POR EMERGENCIAS LA CLAVE DINÁMICA NUNCA. LLEGA O LLEGA LUEGO DE 10 MINUTOS!! MAL, MALÍSIMO,PÉSIMO.!!",authenticity
611,"Ya me queje hace más de 1 mes y nada que dan solución está pésimo , la clave dinámica demora en llegar de 15 a 30 minutos y no se puede realizar ningún pago .",authenticity
612,cada rato se actualiza y aburre,not_applicable
613,"desde su última actualización ya no llega el código de verificación, tengo q estar reiniciando el móvil para q el app funcione",authenticity
614,está horrible desde la nueva actualización nunca me llegan los códigos para hacer los pagos y si me llegan son códigos anteriores y no sirve está hasta el pincho,authenticity
615,pésima App 🤮,not_applicable
616,siempre que estoy a punto de hacer un pago importante nunca llega el código de verificación. asco de banco 🤮,authenticity
617,su toque falla mucho . el aplicativo esta un desastre .,not_applicable
618,"La clave dinámica nunca, NUNCA LLEGA! si tengo que pagar o hacer transferencias no se puede!",authenticity
619,mucho falla pésima la.aplicacion,not_applicable
620,"no merece ninguna estrella, quieren hacer un Plin y los códigos de verificación nunca llegan. no se puede realizar compras mediante este medio. en una emergencia quedo al aire, pésima aplicación",authenticity
