ID,Comentario,Clasificacion_ISO_25010
801,La app esta pesima no llega nunca la clave dinamica,authenticity
802,un asco de app,not_applicable
803,la ultima actualización no permite realizar ningún pago ...,not_applicable
804,"Muy molestas las notificaciones que intentan venderte algo. Prefiero desactivar las notificaciones e ingresar a la app si necesito verificar algún pago por Plin. Le pondría 1/2 estrella.",not_applicable
805,"el app es terrible no se puede realizar ninguna operación, es totalmente inservible.",not_applicable
806,Se cuelga constantemente y no da respuesta,not_applicable
807,la anterior app era mucho mejor,not_applicable
808,La verdad cada fin de mes y 15 ka aplicacion no funciona bie a la ves tengo una cuenta en dolares q no se visualiza,accountability
809,Es normal que las claves dinámicas demoren demasiado en llegar ? o hay una variable que impida que llegue rápido,authenticity
810,esta fallando demora mucho tiempo en enviar código d verificación y es un tema eso debería de actualizar la app,authenticity
811,"Desde la última actualización no se puede hacer casi nada en la app, las claves dinámicas demoran en llegar aunque quieras plinear 1 bendito sol tienes que esperar que esa clave dinámica llegue pero nunca llega y si llega es después de 15 min cuando ya ni vale la clave.",authenticity
812,"Pésima app, demora en llegar la clave dinámica y hasta eso ya se paso el tiempo.",authenticity
813,"Pésima aplicación, varias veces no deja ingresar a la app, perjudicandonos como usuarios al momento de cancelar algun pago",authenticity
814,la clave dinámica nunca llega es una porquería la app,authenticity
815,"no puedo ingresar a la app hace varios días, asco",authenticity
816,"llevo exactamente 24 horas tratando de ingresar a ver sobre una institución y que van a solucionar ... en verdad un desastre! una App es para realizar movimientos rápidos y seguros, ahora prácticamente tengo que ir al banco a hacer los trámites, que mal",authenticity
817,"Terrible servicio, no me permite ingresar a mi cuenta, pese a instalarlo en varias oportunidades",authenticity
818,son varias veces donde la app no me funciona por dias,not_applicable
819,"Cuando quiero pagar mi préstamo el día de vencimiento por la noche, me sale siempre error. Se supone que por algo ponen fecha de vencimiento, no hora. No me deja pagar ese día y tengo que hacerlo al día siguiente, con su consiguiente mora. Pésimo!",integrity
820,interbank cada vez esta peor,not_applicable
821,el app es demaciado lento,not_applicable
822,pésima! el peor banco del Perú. La clave dinámica llega en 10 minutos y la app ya no la acepta por que el tiempo de sesión es largo. no tiene lógica. No puedo retirar mi dinero. Mañana mismo elimino mi cuenta. Interbank nunca más!!,authenticity
823,es una porquería de App. la clave dinámica nunca llega. no puedo hacer ninguna operación. si duda el Yape es mucho mejor y más amigable. no tiene tanta estupidez de calve dinámica que sirve para nada.,authenticity
824,casi nunca me llega la clave dinámica y es un dolor de cabeza deben mejorar su sistema,authenticity
825,Es una app que no ayuda en nada actualizan pero cada vez está peor no llega ningún código de confirmación y el plin no funciona.,authenticity
826,nivel de seguridad malísima y demora en hacer operaciones,authenticity
827,"Se va la señal a cada momento, no te permite ingresar tienes que estas descargando a cada momento la aplicación",not_applicable
828,"Desde las ultimas actualizaciones su funcionamiento deja mucho qur desear, realmente pésima app",not_applicable
829,muy mala,not_applicable
830,"Desde la última actualización no deja pagar, siempre aparece que esta en mantenimiento.",not_applicable
831,Muchas fallas en el plin,not_applicable
832,ineficiente. a cada rato falla el sistema y no se puede hacer transacciones,not_applicable
833,"cada vez que no puedas ingresar a tu cuenta x la APP, después que se restablece, el monto cambia por céntimos meno o soles menos. ojala vengan otros bancos que compitan y CRP se vaya al crj.",integrity
834,"Que pésima actualización, no permite hacer plin a otra entidad... solo sale INCONVENIENTES. YA no funciona tan bien como antes.",not_applicable
835,dejo de ser el mejor app de lo bueno a lo peor,not_applicable
