ID,Comentario,Clasificacion_ISO_25010
1,mucho problema y se pierde tiempo,not_applicable
2,Lass claves dinámicas demoran hasta una hora en llegar,not_applicable
3,"Hace días que me pide actualizar la APP, lo hago y me pregunta por mí dispositivo, le pongo OK y me dice que en breve se instalará la nueva versión y nunca lo hace. Desinstalé y volví a instalar la APP y no puedo ingresar porque me pide actualizar otra vez y vuelve a lo mismo y el ciclo se repite hasta agotarse. Un desastre",not_applicable
4,"actualización del 03 de julio. Deja sin poder usar la aplicación, me indica el celular no es compatible. Llame a servicio de atención al cliente y no tienen mucha información al respecto. Solo indican que la app requiere Android 10 a más. Yo tengo Android 11 Motorola G9 play, sin embargo no funciona. Corrijan el error. Tuve que instalar en otro Celular versión de Android 9 y funciona normal.",not_applicable
5,"pésima App de banca, llevo 2 años presentando el mismo reclamo que su aplicación no envía el código de operación en 3 diferentes dispositivos y hasta la fecha no lo solucionan.",not_applicable
6,"los últimos 30 días se cuelga, no recibo el pin para las operaciones, no funcionan los beneficios, un desastre de aplicación los últimos días",not_applicable
7,"he cambiado de celular y quiero cambiar mi contraseña de la aplicación, no me llega el código de verificación. pésimo voy 1 semana intentando y nada",authenticity
8,pésimo,not_applicable
9,"Desde hace 2 meses que no puedo entrar a girar la ruleta ya que cuento con un préstamo, cada vez que entro a la opción se cierra el app, ya la he desinstalado e instalado pero sigue con el mismo error, quiero una solución ofrecen cosas que no se puede usar.",not_applicable
10,"Porque nos obligan a actualizar una versión supuestamente mejorada, ustedes son un excelente banco y debe ser lo mismo con su app.",not_applicable
11,pésima app,not_applicable
12,me aparece actualizar y ya esta actualizado,not_applicable
13,"Esta empeorando su app para enviar dinero plin a yape en el momento aparece el recibo de enviado pero no gasta el saldo de dinero, es decir no se realiza el pago y eso genera desconfianza entre el comprador y proveedor piensan que se está queriendo estafarle, me paso en 3 oportunidades por eso mejor uso yape el plin genera desconfianza y malos ratos. 👎",integrity
14,su clave dinamica no llega por eso no puedo hacer pagos de recibos😑,authenticity
15,no me parece bien que me obligen a actualizar la aplicación.,not_applicable
16,"Pésimo, no deja hacer transferencia, no permite hacer movimientos",not_applicable
17,no se puede plinear sale erros,not_applicable
18,"pésima aplicación, hay que estar actualizandola cada mes, eso es inaceptable!!! 👎🏻👎🏻",not_applicable
19,No me deja plinear ni hacer transferencias,not_applicable
20,no me carga la app que está pasando,not_applicable
21,"En mi S24 ultra me pide actualizar y cuando doy en el botón, me manda directo a la play store y no hay actualizaciones disponibles. No puedo utilizar la app.",not_applicable
22,"No está funcionanfo luego de la última actualización, me dice constantemente que actualice el app luego de haberlo hecho, de mal en peor el. Banco",not_applicable
23,la clave dinámica demora demasiados minutos en llegar y cuando llega ya expiró. Esto se repite cíclicamente.,authenticity
24,"Para ser un banco de ""Renombre"", la peor app y peor experiencia, a cada momento falla, se supone que la banca por internet es para hacer tus transacciones rápido y fácil, y nada que ver. cundo necesitas pgr con urgencia algo, da errores, tengo un teléfono nuevo de lata gala, pensando que era mi anterior teléfono y no, con esto compruebo que es la pésima app.Tampoco el comprobante te permite personalizar o ponerle una nota como otros bancos, en fin lo peor de lo peor interbank. NO LO RECOMIENDO.",not_applicable
25,Aun no resuelven la incompatibilidad con las versiones beta del sistema operativo de IOS,not_applicable
26,desde que lo hackearon a Interbank Yano puedo abrir la aplicación,resistance
27,porque no puedo actualizar,not_applicable
28,"Siempre se corta esta aplicación, no entran los datos",not_applicable
29,"es la peor aplicación, en tema de seguridad es estupido igual que su gente ""sale notificacion porque es tema de seguridad""... que estupidez, me acaban de robar mi celular y tengo dinero en mi apk Interbank... desde otro celular intento entrar a mi cuenta y no me deja, le pongo mi escaneo de rostro y eso normal... pero a la hora del correo, pongo el codigo que llega y me dice la apk ""este codigo ys fue usado"" y asi varias veces hasta que dice ""llego al limite"" y su soporte nunca contesta,prueben",authenticity
30,por que se cerro el interbank de mi celular estaba abierta mi cuenta,not_applicable
31,pésimo servicio siempre está en mantenimiento,not_applicable
32,actualización pésima lo actualice hace dos días y los dos dias ya me dejó mal no puedo hacer transferencia ni plinear porque no me llega la clave dinámica porfa corrigen eso de lo contrario será cambiarse de banco,authenticity
33,"Que estupidez de obligarme a cambiar contraseña cada vez que actualizan la aplicación. yo deberia de decidir cuando cambiarla, ademas te bloquea a seguir con otra contraseña si ya intentaste hacerlo una vez y no resultó, hasta el dia siguiente..... estan decepcionando.",authenticity
34,"Desde hace unos meses está súper leeentaaa, ya no da ni ganas de usar este banco. ¿Tanto dinero tiene el dueño de Interbank y no puede hacer una app decente? Mientras más simple es mejor, le añaden cosas inservibles, por eso se buggea hasta en lo más básico.",not_applicable
35,antes funcionaba muy bien y ahora no funciona bien,not_applicable
36,"Mailisima, No llega la clave dinámica a tiempo",authenticity
37,"es el segundo dia q me estan enviando mensajes en la barra de tareas del celular como si fuera su misma app para actualizar la aplicación,con su cuadradito logo de interbank, no la toqué e ingresé a playstore manualmente para ver si era cierto pero no hay ninguna actualizacion pendiente. esto da un poco de miedo,nose si seguiran hackeando.aclaro q puedo ingresar tranquilamente a mi app y ver mis productos sin problemas,pero es molesto ver esos mensajes q nose si es de la misma app o de alguien +",resistance
38,"horrible el aplicativo, se necesita ante alguna emergencia no deja pagar con plin",not_applicable
39,pésima aplicación desmora en llegar la clave dinámica 3 minutos demora porque no se actualizan con las transferencias y plin con rapidez,authenticity
40,"según leí los comentarios la actualización generará descontento y problemas, desconfío descargar la actualización",not_applicable
41,problemas al abrir la aplicación.,not_applicable
42,"Desde la última actualización que tuvo la app, no puedo realizar ningún tipo de pago o transferencia que solucionen lo más pronto el problema ya que no puedo hacer ningún movimiento en la app Espero lo tomen en cuenta para solucuonarlo lo más pronto posible",not_applicable
43,siempre se cuelga o está en mantenimiento,not_applicable
44,"Estamos satisfechos con su servicio de Interbank APP gracias por su buen servicio, para todos los clientes.",not_applicable
45,"Ya son dos actualizaciones que me piden en la semana pésimo,hace un momento hice la actualización y sigue el problema 😵‍💫 no puedo ingresar a mi aplicativo",not_applicable
46,"mejoren la banca móvil! en los detalles de los movimientos no se ve absolutamente nada o sea al menos pongan la cuenta de origen la cuenta de destino mínimo no¿?, como en otros bancos.",accountability
47,"No me gusta que no se pueda tomar capturas de pantalla, eso es evidencia para nosotros, pésimo",non_repudiation
48,porque se debe actualizar App de Interbank a cada momento da mucha incomodidad,not_applicable
49,este banco no otorga préstamo por tal razón no lo califica,not_applicable
50,"pésima aplicación, demora una eternidad en cargar la clave dinámica o en todo caso no carga nunca.",authenticity
51,muy mala,not_applicable
52,La ultima actualizacion pesima. demora mucho y no llega la clave dinámica,not_applicable
53,"está app es horrible en seriooooo, horrible",not_applicable
54,Pésima,not_applicable
55,"Desastrosa forma de manejar una app, cada nada se congela y no permite visualizar la transacción. Desinstalando...",not_applicable
56,basura,not_applicable
57,"pesimo servicio, te pide actualizar y estas en emergencia y no abre la app",not_applicable
58,Se demora un monton en cargar cada cosa con esta nueva actualización,not_applicable
59,"deberían habilitar la opción de poner la descripción a cada movimiento, así facilita recordar el tipo de uso de cada transferencia o plin",accountability
60,"Siempre el aplicativo tiene errores. siempre tengo q eliminar y volver a instalar y configurar el aplicativo. y te falla cuando más lo necesitas. Deberían invertir en sistemas, no me pasa lo mismo con otras apps de otros bancos.",not_applicable
61,Hoy 04/08 otra vez actualización Monse pasen por favor La app está muy bien Pero porque piden a cada rato actualizarla molesta en serio el resto muy bien. hoy 23/05 otra vez piden q actualize el app q les pasa en serio a cada rato se está volviendo muy malo ni el BCP... en serio ya es molesto esto hoy 29 de mayo otra vez me pide actualización q mal y q feo q a cada rato se actualize está cosa en serio molesta y cansa q FEO DEBERIAN DE VER ESTO SRS...,not_applicable
62,no actualiza,not_applicable
63,la actualización es mala es muy lenta comparado como funcionaba antes.,not_applicable
64,de mal a pero con cada actualización,not_applicable
65,"con la nueva actualización, ahora se han tomado la potestad de enviar notificaciones con publicidad a su gusto. que incómodo. yo tengo activadas las notificaciones por si avisan de algún consumo indebido y debo andar soportando esto.",resistance
66,demora mucho,not_applicable
67,horrible aplicación,not_applicable
68,"La instalo y me sale q tiene una versión buena para mi dispositivo, no entiendo porq me pide actualizar si la acabo de instalar, y en la play store no me sale q tenga una actualización me manda a abrir directamente . Solucionen ese problema",not_applicable
69,"recontra lenta, mejor es yape",not_applicable
70,PORQUERIA DE SERVICIO . PLIN SE CUELGA Y CUANDO SE NECESITA PAGAR URGENTE SALE MENSAJE ERROR,not_applicable
71,cerca de la medianoche suele irse el sistema y es cuando uno más necesita. hay que mejorar en ese tema importante,not_applicable
72,"la antigua versión era mejor ahora no puedo ingresar, sin la huella",authenticity
73,Pésima,not_applicable
